source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5206940997057388
1,0,1.0,0,0,0,0,0,1.5206940997057388
1,2,1.0,0,0,0,0,0,1.5304747096511702
2,1,1.0,0,0,0,0,0,1.5304747096511702
2,3,1.0,0,0,0,0,0,1.5320978256802211
3,2,1.0,0,0,0,0,0,1.5320978256802211
3,4,1.0,0,0,0,0,0,1.5312150639252908
4,3,1.0,0,0,0,0,0,1.5312150639252908
4,5,1.0,0,0,0,0,0,1.531891292075309
5,4,1.0,0,0,0,0,0,1.531891292075309
5,6,1.0,0,0,0,0,0,1.5317298356514246
6,5,1.0,0,0,0,0,0,1.5317298356514246
6,7,1.0,0,0,0,0,0,1.5313945237815274
7,6,1.0,0,0,0,0,0,1.5313945237815274
7,8,1.0,0,0,0,0,0,1.5325330543621647
8,7,1.0,0,0,0,0,0,1.5325330543621647
8,9,1.0,0,0,0,0,0,1.532177604008782
9,8,1.0,0,0,0,0,0,1.532177604008782
9,10,1.0,0,0,0,0,0,1.5314624493469389
10,9,1.0,0,0,0,0,0,1.5314624493469389
10,11,1.0,0,0,0,0,0,1.5329676580355471
11,10,1.0,0,0,0,0,0,1.5329676580355471
11,12,1.0,0,0,0,0,0,1.53271786959942
12,11,1.0,0,0,0,0,0,1.53271786959942
12,13,1.0,0,0,0,0,0,1.5320788117007988
13,12,1.0,0,0,0,0,0,1.5320788117007988
13,14,1.0,0,0,0,0,0,1.5284039755274186
14,13,1.0,0,0,0,0,0,1.5284039755274186
14,15,1.0,0,0,0,0,0,1.5109202053623763
15,14,1.0,0,0,0,0,0,1.5109202053623763
15,16,2.0,1,0,0,0,0,1.222398592034367
16,15,2.0,1,0,0,0,0,1.222398592034367
15,17,1.0,1,0,0,0,0,1.362186511372353
17,15,1.0,1,0,0,0,0,1.362186511372353
17,18,1.0,0,0,0,0,0,1.436418778891278
18,17,1.0,0,0,0,0,0,1.436418778891278
18,19,1.0,0,0,0,0,0,1.535571520846434
19,18,1.0,0,0,0,0,0,1.535571520846434
19,20,1.0,0,0,0,0,0,1.5348212541758355
20,19,1.0,0,0,0,0,0,1.5348212541758355
20,21,1.0,0,0,0,0,0,1.4178238837284154
21,20,1.0,0,0,0,0,0,1.4178238837284154
21,22,1.0,0,0,0,0,0,1.6012900566529893
22,21,1.0,0,0,0,0,0,1.6012900566529893
22,23,2.0,0,0,0,0,0,1.4926271308729309
23,22,2.0,0,0,0,0,0,1.4926271308729309
22,24,1.0,0,0,0,0,0,1.601353510141328
24,22,1.0,0,0,0,0,0,1.601353510141328
22,25,1.0,0,0,0,0,0,1.6045109034160994
25,22,1.0,0,0,0,0,0,1.6045109034160994
25,26,1.0,0,0,0,0,0,1.4220218014449928
26,25,1.0,0,0,0,0,0,1.4220218014449928
26,27,1.0,0,0,0,0,0,1.5323554169046787
27,26,1.0,0,0,0,0,0,1.5323554169046787
27,28,1.0,0,0,0,0,0,1.4350155377471463
28,27,1.0,0,0,0,0,0,1.4350155377471463
27,29,1.0,0,0,0,0,0,1.5314384921580282
29,27,1.0,0,0,0,0,0,1.5314384921580282
29,30,1.0,0,0,0,0,0,1.426116750376892
30,29,1.0,0,0,0,0,0,1.426116750376892
19,31,1.0,0,0,0,0,0,1.447121632025393
31,19,1.0,0,0,0,0,0,1.447121632025393
31,32,1.0,1,0,0,0,0,1.359926724018276
32,31,1.0,1,0,0,0,0,1.359926724018276
32,33,2.0,1,0,0,0,0,1.2233478053577662
33,32,2.0,1,0,0,0,0,1.2233478053577662
32,34,1.0,0,0,0,0,0,1.509701429743386
34,32,1.0,0,0,0,0,0,1.509701429743386
34,35,1.0,0,0,0,0,0,1.5281491608196105
35,34,1.0,0,0,0,0,0,1.5281491608196105
35,36,1.0,0,0,0,0,0,1.5332118803396126
36,35,1.0,0,0,0,0,0,1.5332118803396126
36,37,1.0,0,0,0,0,0,1.5319082155043362
37,36,1.0,0,0,0,0,0,1.5319082155043362
37,38,1.0,0,0,0,0,0,1.5314422241392058
38,37,1.0,0,0,0,0,0,1.5314422241392058
38,39,1.0,0,0,0,0,0,1.5309694383298857
39,38,1.0,0,0,0,0,0,1.5309694383298857
39,40,1.0,0,0,0,0,0,1.5315660117405476
40,39,1.0,0,0,0,0,0,1.5315660117405476
40,41,1.0,0,0,0,0,0,1.532469411275559
41,40,1.0,0,0,0,0,0,1.532469411275559
41,42,1.0,0,0,0,0,0,1.532523543606141
42,41,1.0,0,0,0,0,0,1.532523543606141
42,43,1.0,0,0,0,0,0,1.5312195209069546
43,42,1.0,0,0,0,0,0,1.5312195209069546
43,44,1.0,0,0,0,0,0,1.5321788208913123
44,43,1.0,0,0,0,0,0,1.5321788208913123
44,45,1.0,0,0,0,0,0,1.5317732434046196
45,44,1.0,0,0,0,0,0,1.5317732434046196
45,46,1.0,0,0,0,0,0,1.531896157507889
46,45,1.0,0,0,0,0,0,1.531896157507889
46,47,1.0,0,0,0,0,0,1.5300091426277562
47,46,1.0,0,0,0,0,0,1.5300091426277562
47,48,1.0,0,0,0,0,0,1.520628563826701
48,47,1.0,0,0,0,0,0,1.520628563826701
