source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5221867282726516
1,0,1.0,0,0,0,0,0,1.5221867282726516
1,2,1.0,0,0,0,0,0,1.5315364703713088
2,1,1.0,0,0,0,0,0,1.5315364703713088
2,3,1.0,0,0,0,0,0,1.5319916521665025
3,2,1.0,0,0,0,0,0,1.5319916521665025
3,4,1.0,0,0,0,0,0,1.5320700272521657
4,3,1.0,0,0,0,0,0,1.5320700272521657
4,5,1.0,0,0,0,0,0,1.530423100821472
5,4,1.0,0,0,0,0,0,1.530423100821472
5,6,1.0,0,0,0,0,0,1.5323130121392228
6,5,1.0,0,0,0,0,0,1.5323130121392228
6,7,1.0,0,0,0,0,0,1.5330490480441914
7,6,1.0,0,0,0,0,0,1.5330490480441914
7,8,1.0,0,0,0,0,0,1.5334691908288471
8,7,1.0,0,0,0,0,0,1.5334691908288471
8,9,1.0,0,0,0,0,0,1.535242917920842
9,8,1.0,0,0,0,0,0,1.535242917920842
9,10,1.0,0,0,0,4,0,1.5042685168868937
10,9,1.0,0,0,0,4,0,1.5042685168868937
10,11,2.0,0,0,2,0,0,1.3444673685274735
11,10,2.0,0,0,2,0,0,1.3444673685274735
11,12,1.0,0,0,0,3,0,1.5025386953659932
12,11,1.0,0,0,0,3,0,1.5025386953659932
12,13,1.0,0,0,0,0,0,1.5309263126381827
13,12,1.0,0,0,0,0,0,1.5309263126381827
13,14,1.0,0,0,0,0,0,1.5341769707902868
14,13,1.0,0,0,0,0,0,1.5341769707902868
14,15,1.0,0,0,0,0,0,1.5295505406153322
15,14,1.0,0,0,0,0,0,1.5295505406153322
15,16,1.0,0,0,0,0,0,1.5340821285132293
16,15,1.0,0,0,0,0,0,1.5340821285132293
16,17,1.0,0,0,0,0,0,1.5328146095219417
17,16,1.0,0,0,0,0,0,1.5328146095219417
17,18,1.0,0,0,0,0,0,1.5306426885386284
18,17,1.0,0,0,0,0,0,1.5306426885386284
18,19,1.0,0,0,0,0,0,1.5319104855328507
19,18,1.0,0,0,0,0,0,1.5319104855328507
19,20,1.0,0,0,0,0,0,1.5282377077715459
20,19,1.0,0,0,0,0,0,1.5282377077715459
20,21,1.0,0,0,0,0,0,1.509500994312601
