source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5197564041359075
1,0,1.0,0,0,0,0,0,1.5197564041359075
1,2,1.0,0,0,0,0,0,1.5319651705561113
2,1,1.0,0,0,0,0,0,1.5319651705561113
2,3,1.0,0,0,0,0,0,1.532848230321005
3,2,1.0,0,0,0,0,0,1.532848230321005
3,4,1.0,0,0,0,4,0,1.502053184966289
4,3,1.0,0,0,0,4,0,1.502053184966289
4,5,2.0,0,0,2,0,0,1.3436416927152015
5,4,2.0,0,0,2,0,0,1.3436416927152015
5,6,1.0,0,0,0,3,0,1.502793309887373
6,5,1.0,0,0,0,3,0,1.502793309887373
6,7,1.0,0,0,0,4,0,1.5027860213941948
7,6,1.0,0,0,0,4,0,1.5027860213941948
7,8,2.0,0,0,2,0,0,1.343569639766419
8,7,2.0,0,0,2,0,0,1.343569639766419
8,9,1.0,0,0,0,3,0,1.5025727878115784
9,8,1.0,0,0,0,3,0,1.5025727878115784
9,10,1.0,0,0,0,0,0,1.5316259198739157
10,9,1.0,0,0,0,0,0,1.5316259198739157
10,11,1.0,0,0,0,0,0,1.5335322087753034
11,10,1.0,0,0,0,0,0,1.5335322087753034
11,12,1.0,0,0,0,0,0,1.5303898612404616
12,11,1.0,0,0,0,0,0,1.5303898612404616
12,13,1.0,0,0,0,0,0,1.5316958329181871
13,12,1.0,0,0,0,0,0,1.5316958329181871
13,14,1.0,0,0,0,0,0,1.5333741590614944
14,13,1.0,0,0,0,0,0,1.5333741590614944
14,15,1.0,0,0,0,0,0,1.525438118320853
15,14,1.0,0,0,0,0,0,1.525438118320853
15,16,1.0,0,0,0,0,0,1.5077166498146886
16,15,1.0,0,0,0,0,0,1.5077166498146886
16,17,2.0,1,0,0,0,0,1.2233433992834217
17,16,2.0,1,0,0,0,0,1.2233433992834217
16,18,1.0,1,0,0,0,0,1.3568936585940299
18,16,1.0,1,0,0,0,0,1.3568936585940299
18,19,1.0,0,0,0,0,0,1.4493191007666144
19,18,1.0,0,0,0,0,0,1.4493191007666144
19,20,1.0,0,0,0,0,0,1.5341590347985283
20,19,1.0,0,0,0,0,0,1.5341590347985283
20,21,1.0,0,0,0,0,0,1.440432694373268
21,20,1.0,0,0,0,0,0,1.440432694373268
21,22,1.0,1,0,0,0,0,1.3618415386375275
22,21,1.0,1,0,0,0,0,1.3618415386375275
22,23,2.0,1,0,0,0,0,1.222021161716603
23,22,2.0,1,0,0,0,0,1.222021161716603
22,24,1.0,0,0,0,0,0,1.5116408979485376
24,22,1.0,0,0,0,0,0,1.5116408979485376
24,25,1.0,0,0,0,0,0,1.5282980736442557
25,24,1.0,0,0,0,0,0,1.5282980736442557
25,26,1.0,0,0,0,0,0,1.5332899735022714
26,25,1.0,0,0,0,0,0,1.5332899735022714
26,27,1.0,0,0,0,0,0,1.531514409510208
27,26,1.0,0,0,0,0,0,1.531514409510208
27,28,1.0,0,0,0,0,0,1.5325699162485815
28,27,1.0,0,0,0,0,0,1.5325699162485815
28,29,1.0,0,0,0,0,0,1.5322131412830147
29,28,1.0,0,0,0,0,0,1.5322131412830147
29,30,1.0,0,0,0,0,0,1.5290133205819245
30,29,1.0,0,0,0,0,0,1.5290133205819245
30,31,1.0,0,0,0,0,0,1.5334170469180952
31,30,1.0,0,0,0,0,0,1.5334170469180952
31,32,1.0,0,0,0,0,0,1.5333569216121101
32,31,1.0,0,0,0,0,0,1.5333569216121101
32,33,1.0,0,0,0,0,0,1.5305496526295013
33,32,1.0,0,0,0,0,0,1.5305496526295013
33,34,1.0,0,0,0,0,0,1.5301366951995106
34,33,1.0,0,0,0,0,0,1.5301366951995106
34,35,1.0,0,0,0,0,0,1.5209437868614333
35,34,1.0,0,0,0,0,0,1.5209437868614333
19,36,1.0,0,0,0,0,0,1.531444966145445
36,19,1.0,0,0,0,0,0,1.531444966145445
36,37,1.0,0,0,0,0,0,1.4227686270992388
37,36,1.0,0,0,0,0,0,1.4227686270992388
37,38,1.0,0,0,0,0,0,1.6150835506298276
38,37,1.0,0,0,0,0,0,1.6150835506298276
38,39,2.0,0,0,0,0,0,1.5049528366925378
39,38,2.0,0,0,0,0,0,1.5049528366925378
38,40,1.0,0,0,0,0,0,1.505457727169906
40,38,1.0,0,0,0,0,0,1.505457727169906
38,41,1.0,0,0,0,0,0,1.622346209217226
41,38,1.0,0,0,0,0,0,1.622346209217226
41,42,1.0,0,0,0,0,0,1.4132870148097898
42,41,1.0,0,0,0,0,0,1.4132870148097898
42,43,1.0,0,0,0,0,0,1.5330870926309044
43,42,1.0,0,0,0,0,0,1.5330870926309044
43,44,1.0,0,0,0,0,0,1.5522504500685659
44,43,1.0,0,0,0,0,0,1.5522504500685659
44,45,1.0,0,0,0,0,0,1.534650284463265
45,44,1.0,0,0,0,0,0,1.534650284463265
44,46,1.0,0,0,0,0,0,1.5182463652897704
46,44,1.0,0,0,0,0,0,1.5182463652897704
44,47,1.0,0,0,0,0,0,1.515519923123919
47,44,1.0,0,0,0,0,0,1.515519923123919
