source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5202580169110385
1,0,1.0,0,0,0,0,0,1.5202580169110385
1,2,1.0,0,0,0,0,0,1.530214919133575
2,1,1.0,0,0,0,0,0,1.530214919133575
2,3,1.0,0,0,0,0,0,1.5306621060508214
3,2,1.0,0,0,0,0,0,1.5306621060508214
3,4,1.0,0,0,0,0,0,1.5311791272115143
4,3,1.0,0,0,0,0,0,1.5311791272115143
4,5,1.0,0,0,0,0,0,1.5325651017498516
5,4,1.0,0,0,0,0,0,1.5325651017498516
5,6,1.0,0,0,0,0,0,1.5323326634386336
6,5,1.0,0,0,0,0,0,1.5323326634386336
6,7,1.0,0,0,0,4,0,1.5038915987389463
7,6,1.0,0,0,0,4,0,1.5038915987389463
7,8,2.0,0,0,2,0,0,1.343408007352904
8,7,2.0,0,0,2,0,0,1.343408007352904
8,9,1.0,0,0,0,3,0,1.5039686350692727
9,8,1.0,0,0,0,3,0,1.5039686350692727
9,10,1.0,0,0,0,0,0,1.5319780321963452
10,9,1.0,0,0,0,0,0,1.5319780321963452
10,11,1.0,0,0,0,0,0,1.5325919354690016
11,10,1.0,0,0,0,0,0,1.5325919354690016
11,12,1.0,0,0,0,0,0,1.5316037604251593
12,11,1.0,0,0,0,0,0,1.5316037604251593
12,13,1.0,0,0,0,0,0,1.5299815268826031
13,12,1.0,0,0,0,0,0,1.5299815268826031
13,14,1.0,0,0,0,0,0,1.5332777262545725
14,13,1.0,0,0,0,0,0,1.5332777262545725
14,15,1.0,0,0,0,0,0,1.5279527816701113
15,14,1.0,0,0,0,0,0,1.5279527816701113
15,16,1.0,0,0,0,0,0,1.5101052437477063
16,15,1.0,0,0,0,0,0,1.5101052437477063
16,17,2.0,1,0,0,0,0,1.2229544007046833
17,16,2.0,1,0,0,0,0,1.2229544007046833
16,18,1.0,1,0,0,0,0,1.3591252783011867
18,16,1.0,1,0,0,0,0,1.3591252783011867
18,19,1.0,0,0,0,0,0,1.4489290709314004
19,18,1.0,0,0,0,0,0,1.4489290709314004
19,20,1.0,0,0,0,0,0,1.535093314110266
20,19,1.0,0,0,0,0,0,1.535093314110266
20,21,1.0,0,0,0,0,0,1.4342658447715635
21,20,1.0,0,0,0,0,0,1.4342658447715635
21,22,1.0,1,0,0,0,0,1.3598010890442844
22,21,1.0,1,0,0,0,0,1.3598010890442844
22,23,2.0,1,0,0,0,0,1.2243657555561254
23,22,2.0,1,0,0,0,0,1.2243657555561254
22,24,1.0,0,0,0,0,0,1.5100989105320264
24,22,1.0,0,0,0,0,0,1.5100989105320264
24,25,1.0,0,0,0,0,0,1.52793986196976
25,24,1.0,0,0,0,0,0,1.52793986196976
25,26,1.0,0,0,0,0,0,1.5332041712776636
26,25,1.0,0,0,0,0,0,1.5332041712776636
26,27,1.0,0,0,0,0,0,1.5311691421553706
27,26,1.0,0,0,0,0,0,1.5311691421553706
27,28,1.0,0,0,0,0,0,1.5325748488015454
28,27,1.0,0,0,0,0,0,1.5325748488015454
28,29,1.0,0,0,0,0,0,1.532703883027873
29,28,1.0,0,0,0,0,0,1.532703883027873
29,30,1.0,0,0,0,0,0,1.5308770839062897
30,29,1.0,0,0,0,0,0,1.5308770839062897
30,31,1.0,0,0,0,4,0,1.5037332855447123
31,30,1.0,0,0,0,4,0,1.5037332855447123
31,32,2.0,0,0,2,0,0,1.3430919825510546
32,31,2.0,0,0,2,0,0,1.3430919825510546
32,33,1.0,0,0,0,3,0,1.5034242207681798
33,32,1.0,0,0,0,3,0,1.5034242207681798
33,34,1.0,0,0,0,0,0,1.5309891881568973
34,33,1.0,0,0,0,0,0,1.5309891881568973
34,35,1.0,0,0,0,0,0,1.5308701990192866
35,34,1.0,0,0,0,0,0,1.5308701990192866
35,36,1.0,0,0,0,0,0,1.531935594050412
36,35,1.0,0,0,0,0,0,1.531935594050412
36,37,1.0,0,0,0,0,0,1.5326174261794372
37,36,1.0,0,0,0,0,0,1.5326174261794372
37,38,1.0,0,0,0,0,0,1.5313125996352057
38,37,1.0,0,0,0,0,0,1.5313125996352057
38,39,1.0,0,0,0,0,0,1.5299849520819595
39,38,1.0,0,0,0,0,0,1.5299849520819595
39,40,1.0,0,0,0,0,0,1.5205328712683592
40,39,1.0,0,0,0,0,0,1.5205328712683592
19,41,1.0,0,0,0,0,0,1.5339101917617801
41,19,1.0,0,0,0,0,0,1.5339101917617801
41,42,1.0,0,0,0,0,0,1.4168365844624293
42,41,1.0,0,0,0,0,0,1.4168365844624293
42,43,1.0,0,0,0,0,0,1.6138574876044829
43,42,1.0,0,0,0,0,0,1.6138574876044829
43,44,2.0,0,0,0,0,0,1.5051250534691771
