atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.065371434292695,1.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.055876722330081764,0.9444444444444444
2,6,0,2,4,0,0,0,0,2,12.011,-0.05008764720437865,0.8888888888888888
3,6,0,2,4,0,0,0,0,2,12.011,-0.03508353483841016,0.8333333333333334
4,6,0,2,3,0,0,0,0,1,12.011,-0.08853945726910756,0.7777777777777778
5,6,0,2,3,0,0,0,0,1,12.011,-0.08853928352511575,0.7222222222222222
6,6,0,2,4,0,0,0,0,2,12.011,-0.03507346739570981,0.6666666666666666
7,6,0,2,4,0,0,0,0,2,12.011,-0.04982501703074709,0.6111111111111112
8,6,0,2,4,0,0,0,0,2,12.011,-0.05301106352471906,0.5555555555555556
9,6,0,2,4,0,0,0,0,2,12.011,-0.05329502386401171,0.5
10,6,0,2,4,0,0,0,0,2,12.011,-0.0533057877508055,0.4444444444444444
11,6,0,2,4,0,0,0,0,2,12.011,-0.053305969714820885,0.3888888888888889
12,6,0,2,4,0,0,0,0,2,12.011,-0.05330575235772631,0.3333333333333333
13,6,0,2,4,0,0,0,0,2,12.011,-0.05329057162616569,0.2777777777777778
14,6,0,2,4,0,0,0,0,2,12.011,-0.05274809703842782,0.2222222222222222
15,6,0,2,4,0,0,0,0,2,12.011,-0.04278907209374107,0.16666666666666666
16,6,0,2,4,0,0,0,0,2,12.011,0.04532375591772393,0.1111111111111111
17,6,0,3,3,0,0,0,0,0,12.011,0.3028395565321837,0.05555555555555555
18,8,0,1,3,0,0,0,0,0,15.999,-0.25248586920066685,0.0
19,8,0,1,3,0,0,0,0,1,15.999,-0.481230389785217,0.1111111111111111
