source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.520444812390459
1,0,1.0,0,0,0,0,0,1.520444812390459
1,2,1.0,0,0,0,0,0,1.5292344236052307
2,1,1.0,0,0,0,0,0,1.5292344236052307
2,3,1.0,0,0,0,0,0,1.5312061270587587
3,2,1.0,0,0,0,0,0,1.5312061270587587
3,4,1.0,0,0,0,0,0,1.5318174335553794
4,3,1.0,0,0,0,0,0,1.5318174335553794
4,5,1.0,0,0,0,0,0,1.531363261784188
5,4,1.0,0,0,0,0,0,1.531363261784188
5,6,1.0,0,0,0,4,0,1.5035024918478601
6,5,1.0,0,0,0,4,0,1.5035024918478601
6,7,2.0,0,0,2,0,0,1.3434590249669307
7,6,2.0,0,0,2,0,0,1.3434590249669307
7,8,1.0,0,0,0,3,0,1.5026531159692318
8,7,1.0,0,0,0,3,0,1.5026531159692318
8,9,1.0,0,0,0,0,0,1.5317173013713066
9,8,1.0,0,0,0,0,0,1.5317173013713066
9,10,1.0,0,0,0,0,0,1.531389266742097
10,9,1.0,0,0,0,0,0,1.531389266742097
10,11,1.0,0,0,0,0,0,1.5311168020763497
11,10,1.0,0,0,0,0,0,1.5311168020763497
11,12,1.0,0,0,0,0,0,1.5317673022360132
12,11,1.0,0,0,0,0,0,1.5317673022360132
12,13,1.0,0,0,0,0,0,1.530421292639613
13,12,1.0,0,0,0,0,0,1.530421292639613
13,14,1.0,0,0,0,0,0,1.5317736415826673
14,13,1.0,0,0,0,0,0,1.5317736415826673
14,15,1.0,0,0,0,0,0,1.5327316461480864
15,14,1.0,0,0,0,0,0,1.5327316461480864
15,16,1.0,0,0,0,0,0,1.5272294282766772
16,15,1.0,0,0,0,0,0,1.5272294282766772
16,17,1.0,0,0,0,0,0,1.5100321767251186
17,16,1.0,0,0,0,0,0,1.5100321767251186
17,18,2.0,1,0,0,0,0,1.2236471591406466
18,17,2.0,1,0,0,0,0,1.2236471591406466
17,19,1.0,1,0,0,0,0,1.3599219038744377
19,17,1.0,1,0,0,0,0,1.3599219038744377
19,20,1.0,0,0,0,0,0,1.4374936117497996
20,19,1.0,0,0,0,0,0,1.4374936117497996
20,21,1.0,0,0,0,0,0,1.5340563047650613
21,20,1.0,0,0,0,0,0,1.5340563047650613
21,22,1.0,0,0,0,0,0,1.5313229434912534
22,21,1.0,0,0,0,0,0,1.5313229434912534
22,23,1.0,0,0,0,0,0,1.4193056888755102
23,22,1.0,0,0,0,0,0,1.4193056888755102
23,24,1.0,0,0,0,0,0,1.614129856270179
24,23,1.0,0,0,0,0,0,1.614129856270179
24,25,2.0,0,0,0,0,0,1.5040857804892869
25,24,2.0,0,0,0,0,0,1.5040857804892869
24,26,1.0,0,0,0,0,0,1.5063045324143984
26,24,1.0,0,0,0,0,0,1.5063045324143984
24,27,1.0,0,0,0,0,0,1.6243724130259705
27,24,1.0,0,0,0,0,0,1.6243724130259705
27,28,1.0,0,0,0,0,0,1.4142927712617204
28,27,1.0,0,0,0,0,0,1.4142927712617204
28,29,1.0,0,0,0,0,0,1.5349269568190889
29,28,1.0,0,0,0,0,0,1.5349269568190889
29,30,1.0,0,0,0,0,0,1.552054907435377
30,29,1.0,0,0,0,0,0,1.552054907435377
30,31,1.0,0,0,0,0,0,1.5223824247217852
31,30,1.0,0,0,0,0,0,1.5223824247217852
30,32,1.0,0,0,0,0,0,1.5221086853303585
32,30,1.0,0,0,0,0,0,1.5221086853303585
30,33,1.0,0,0,0,0,0,1.526178732085856
33,30,1.0,0,0,0,0,0,1.526178732085856
