source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5224802218381488
1,0,1.0,0,0,0,0,0,1.5224802218381488
1,2,1.0,0,0,0,0,0,1.531974511577771
2,1,1.0,0,0,0,0,0,1.531974511577771
2,3,1.0,0,0,0,0,0,1.5299905338637203
3,2,1.0,0,0,0,0,0,1.5299905338637203
3,4,1.0,0,0,0,4,0,1.5018350904728812
4,3,1.0,0,0,0,4,0,1.5018350904728812
4,5,2.0,0,0,2,0,0,1.3425823984850755
5,4,2.0,0,0,2,0,0,1.3425823984850755
5,6,1.0,0,0,0,3,0,1.5016329167257374
6,5,1.0,0,0,0,3,0,1.5016329167257374
6,7,1.0,0,0,0,0,0,1.5294339612373231
7,6,1.0,0,0,0,0,0,1.5294339612373231
7,8,1.0,0,0,0,0,0,1.5312988079778957
8,7,1.0,0,0,0,0,0,1.5312988079778957
8,9,1.0,0,0,0,0,0,1.5324786775071697
9,8,1.0,0,0,0,0,0,1.5324786775071697
9,10,1.0,0,0,0,0,0,1.533195508080218
10,9,1.0,0,0,0,0,0,1.533195508080218
10,11,1.0,0,0,0,0,0,1.529394486438533
11,10,1.0,0,0,0,0,0,1.529394486438533
11,12,1.0,0,0,0,0,0,1.5292297194832702
12,11,1.0,0,0,0,0,0,1.5292297194832702
12,13,1.0,0,0,0,0,0,1.5126839161363694
13,12,1.0,0,0,0,0,0,1.5126839161363694
13,14,2.0,1,0,0,0,0,1.223325235164419
14,13,2.0,1,0,0,0,0,1.223325235164419
13,15,1.0,1,0,0,0,0,1.360123300304661
15,13,1.0,1,0,0,0,0,1.360123300304661
15,16,1.0,0,0,0,0,0,1.4476510103851115
16,15,1.0,0,0,0,0,0,1.4476510103851115
16,17,1.0,0,0,0,0,0,1.5355536133619938
17,16,1.0,0,0,0,0,0,1.5355536133619938
17,18,1.0,0,0,0,0,0,1.44119208635638
18,17,1.0,0,0,0,0,0,1.44119208635638
18,19,1.0,1,0,0,0,0,1.3601937495224246
19,18,1.0,1,0,0,0,0,1.3601937495224246
19,20,2.0,1,0,0,0,0,1.2245588254635582
20,19,2.0,1,0,0,0,0,1.2245588254635582
19,21,1.0,0,0,0,0,0,1.5064975969837002
21,19,1.0,0,0,0,0,0,1.5064975969837002
21,22,1.0,0,0,0,0,0,1.5243082682707403
22,21,1.0,0,0,0,0,0,1.5243082682707403
22,23,1.0,0,0,0,4,0,1.5048467554392189
23,22,1.0,0,0,0,4,0,1.5048467554392189
23,24,2.0,0,0,2,0,0,1.34442893429156
24,23,2.0,0,0,2,0,0,1.34442893429156
24,25,1.0,0,0,0,3,0,1.5031753360468016
25,24,1.0,0,0,0,3,0,1.5031753360468016
25,26,1.0,0,0,0,4,0,1.501252677795111
26,25,1.0,0,0,0,4,0,1.501252677795111
26,27,2.0,0,0,2,0,0,1.3435887794597794
27,26,2.0,0,0,2,0,0,1.3435887794597794
27,28,1.0,0,0,0,3,0,1.4995665579737405
28,27,1.0,0,0,0,3,0,1.4995665579737405
28,29,1.0,0,0,0,4,0,1.5012622152581039
29,28,1.0,0,0,0,4,0,1.5012622152581039
29,30,2.0,0,0,2,0,0,1.3435487267459167
30,29,2.0,0,0,2,0,0,1.3435487267459167
30,31,1.0,0,0,0,3,0,1.5010156225484308
31,30,1.0,0,0,0,3,0,1.5010156225484308
31,32,1.0,0,0,0,4,0,1.5013389165077435
32,31,1.0,0,0,0,4,0,1.5013389165077435
