source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5214124004945542
1,0,1.0,0,0,0,0,0,1.5214124004945542
1,2,1.0,0,0,0,0,0,1.5303134470237978
2,1,1.0,0,0,0,0,0,1.5303134470237978
2,3,1.0,0,0,0,0,0,1.5313926621172205
3,2,1.0,0,0,0,0,0,1.5313926621172205
3,4,1.0,0,0,0,0,0,1.5325605653349135
4,3,1.0,0,0,0,0,0,1.5325605653349135
4,5,1.0,0,0,0,0,0,1.5322000215098408
5,4,1.0,0,0,0,0,0,1.5322000215098408
5,6,1.0,0,0,0,4,0,1.50225276380045
6,5,1.0,0,0,0,4,0,1.50225276380045
6,7,2.0,0,0,2,0,0,1.343124357896732
7,6,2.0,0,0,2,0,0,1.343124357896732
7,8,1.0,0,0,0,3,0,1.50244043341436
8,7,1.0,0,0,0,3,0,1.50244043341436
8,9,1.0,0,0,0,0,0,1.531245250864529
9,8,1.0,0,0,0,0,0,1.531245250864529
9,10,1.0,0,0,0,0,0,1.530916720708446
10,9,1.0,0,0,0,0,0,1.530916720708446
10,11,1.0,0,0,0,0,0,1.5309260819774428
11,10,1.0,0,0,0,0,0,1.5309260819774428
11,12,1.0,0,0,0,0,0,1.5311939945998574
12,11,1.0,0,0,0,0,0,1.5311939945998574
12,13,1.0,0,0,0,0,0,1.5315056524764945
13,12,1.0,0,0,0,0,0,1.5315056524764945
13,14,1.0,0,0,0,0,0,1.5323958894228524
14,13,1.0,0,0,0,0,0,1.5323958894228524
14,15,1.0,0,0,0,0,0,1.5326392448772685
15,14,1.0,0,0,0,0,0,1.5326392448772685
15,16,1.0,0,0,0,0,0,1.5274645241532196
16,15,1.0,0,0,0,0,0,1.5274645241532196
16,17,1.0,0,0,0,0,0,1.50945867090975
17,16,1.0,0,0,0,0,0,1.50945867090975
17,18,2.0,1,0,0,0,0,1.2237752838011136
18,17,2.0,1,0,0,0,0,1.2237752838011136
17,19,1.0,1,0,0,0,0,1.3608031607912152
19,17,1.0,1,0,0,0,0,1.3608031607912152
19,20,1.0,0,0,0,0,0,1.4388847900449593
20,19,1.0,0,0,0,0,0,1.4388847900449593
20,21,1.0,0,0,0,0,0,1.5345578158717217
21,20,1.0,0,0,0,0,0,1.5345578158717217
21,22,1.0,0,0,0,0,0,1.5347895341922329
22,21,1.0,0,0,0,0,0,1.5347895341922329
22,23,1.0,0,0,0,0,0,1.4204523042862893
23,22,1.0,0,0,0,0,0,1.4204523042862893
23,24,1.0,0,0,0,0,0,1.6163090441616739
24,23,1.0,0,0,0,0,0,1.6163090441616739
24,25,2.0,0,0,0,0,0,1.5039453691427176
25,24,2.0,0,0,0,0,0,1.5039453691427176
24,26,1.0,0,0,0,0,0,1.5047157551147106
26,24,1.0,0,0,0,0,0,1.5047157551147106
24,27,1.0,0,0,0,0,0,1.6247781444570861
27,24,1.0,0,0,0,0,0,1.6247781444570861
27,28,1.0,0,0,0,0,0,1.413859764598941
28,27,1.0,0,0,0,0,0,1.413859764598941
28,29,1.0,0,0,0,0,0,1.5335968050313913
29,28,1.0,0,0,0,0,0,1.5335968050313913
29,30,1.0,0,0,0,0,0,1.5520386666354555
30,29,1.0,0,0,0,0,0,1.5520386666354555
30,31,1.0,0,0,0,0,0,1.5236548812125705
31,30,1.0,0,0,0,0,0,1.5236548812125705
30,32,1.0,0,0,0,0,0,1.5207505362130926
32,30,1.0,0,0,0,0,0,1.5207505362130926
30,33,1.0,0,0,0,0,0,1.5211513135886323
33,30,1.0,0,0,0,0,0,1.5211513135886323
21,34,1.0,0,0,0,0,0,1.4486601518477358
34,21,1.0,0,0,0,0,0,1.4486601518477358
34,35,1.0,1,0,0,0,0,1.3592835729411648
35,34,1.0,1,0,0,0,0,1.3592835729411648
35,36,2.0,1,0,0,0,0,1.2240801764195548
36,35,2.0,1,0,0,0,0,1.2240801764195548
35,37,1.0,0,0,0,0,0,1.5100951103619447
37,35,1.0,0,0,0,0,0,1.5100951103619447
37,38,1.0,0,0,0,0,0,1.5281861515666197
38,37,1.0,0,0,0,0,0,1.5281861515666197
38,39,1.0,0,0,0,0,0,1.5321470035316125
39,38,1.0,0,0,0,0,0,1.5321470035316125
39,40,1.0,0,0,0,0,0,1.5321366987129865
40,39,1.0,0,0,0,0,0,1.5321366987129865
40,41,1.0,0,0,0,0,0,1.5306932933750168
41,40,1.0,0,0,0,0,0,1.5306932933750168
41,42,1.0,0,0,0,0,0,1.5310314959545606
42,41,1.0,0,0,0,0,0,1.5310314959545606
42,43,1.0,0,0,0,0,0,1.5317239688729096
43,42,1.0,0,0,0,0,0,1.5317239688729096
43,44,1.0,0,0,0,0,0,1.5303735130331477
44,43,1.0,0,0,0,0,0,1.5303735130331477
44,45,1.0,0,0,0,0,0,1.5320443665796173
45,44,1.0,0,0,0,0,0,1.5320443665796173
45,46,1.0,0,0,0,0,0,1.531577387474503
46,45,1.0,0,0,0,0,0,1.531577387474503
46,47,1.0,0,0,0,0,0,1.5302075750582398
47,46,1.0,0,0,0,0,0,1.5302075750582398
47,48,1.0,0,0,0,0,0,1.5316681035662278
48,47,1.0,0,0,0,0,0,1.5316681035662278
48,49,1.0,0,0,0,0,0,1.5311688353526915
49,48,1.0,0,0,0,0,0,1.5311688353526915
49,50,1.0,0,0,0,0,0,1.5293738046502132
50,49,1.0,0,0,0,0,0,1.5293738046502132
50,51,1.0,0,0,0,0,0,1.5210710974789967
51,50,1.0,0,0,0,0,0,1.5210710974789967
