source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5205806044739283
1,0,1.0,0,0,0,0,0,1.5205806044739283
1,2,1.0,0,0,0,4,0,1.5013419040195377
2,1,1.0,0,0,0,4,0,1.5013419040195377
2,3,2.0,0,0,2,0,0,1.3437221140938305
3,2,2.0,0,0,2,0,0,1.3437221140938305
3,4,1.0,0,0,0,3,0,1.5027776138186453
4,3,1.0,0,0,0,3,0,1.5027776138186453
4,5,1.0,0,0,0,4,0,1.502634890429499
5,4,1.0,0,0,0,4,0,1.502634890429499
5,6,2.0,0,0,2,0,0,1.3445679875697598
6,5,2.0,0,0,2,0,0,1.3445679875697598
6,7,1.0,0,0,0,3,0,1.5022030496248227
7,6,1.0,0,0,0,3,0,1.5022030496248227
7,8,1.0,0,0,0,4,0,1.5023435913947858
8,7,1.0,0,0,0,4,0,1.5023435913947858
8,9,2.0,0,0,2,0,0,1.343718013648014
9,8,2.0,0,0,2,0,0,1.343718013648014
9,10,1.0,0,0,0,3,0,1.5035052618452416
10,9,1.0,0,0,0,3,0,1.5035052618452416
10,11,1.0,0,0,0,0,0,1.5317863269985346
11,10,1.0,0,0,0,0,0,1.5317863269985346
11,12,1.0,0,0,0,0,0,1.5322450586502783
12,11,1.0,0,0,0,0,0,1.5322450586502783
12,13,1.0,0,0,0,0,0,1.5320079658065089
13,12,1.0,0,0,0,0,0,1.5320079658065089
13,14,1.0,0,0,0,0,0,1.5319295444604375
14,13,1.0,0,0,0,0,0,1.5319295444604375
14,15,1.0,0,0,0,0,0,1.532263264471997
15,14,1.0,0,0,0,0,0,1.532263264471997
15,16,1.0,0,0,0,0,0,1.5269736968411711
16,15,1.0,0,0,0,0,0,1.5269736968411711
16,17,1.0,0,0,0,0,0,1.5093248402696597
17,16,1.0,0,0,0,0,0,1.5093248402696597
17,18,2.0,1,0,0,0,0,1.2240518296561542
18,17,2.0,1,0,0,0,0,1.2240518296561542
17,19,1.0,1,0,0,0,0,1.3585839066363565
19,17,1.0,1,0,0,0,0,1.3585839066363565
19,20,1.0,0,0,0,0,0,1.439987016417042
20,19,1.0,0,0,0,0,0,1.439987016417042
20,21,1.0,0,0,0,0,0,1.534584106365993
21,20,1.0,0,0,0,0,0,1.534584106365993
21,22,1.0,0,0,0,0,0,1.5316124939929494
22,21,1.0,0,0,0,0,0,1.5316124939929494
22,23,1.0,0,0,0,0,0,1.4194083036311764
23,22,1.0,0,0,0,0,0,1.4194083036311764
23,24,1.0,0,0,0,0,0,1.6181442022022636
24,23,1.0,0,0,0,0,0,1.6181442022022636
24,25,2.0,0,0,0,0,0,1.5021800630083575
25,24,2.0,0,0,0,0,0,1.5021800630083575
24,26,1.0,0,0,0,0,0,1.5048269787063453
26,24,1.0,0,0,0,0,0,1.5048269787063453
24,27,1.0,0,0,0,0,0,1.6246118277880783
27,24,1.0,0,0,0,0,0,1.6246118277880783
27,28,1.0,0,0,0,0,0,1.4143773698850226
28,27,1.0,0,0,0,0,0,1.4143773698850226
28,29,1.0,0,0,0,0,0,1.5305243521893446
29,28,1.0,0,0,0,0,0,1.5305243521893446
29,30,1.0,0,0,0,0,0,1.5523275899117148
30,29,1.0,0,0,0,0,0,1.5523275899117148
30,31,1.0,0,0,0,0,0,1.523390006469594
31,30,1.0,0,0,0,0,0,1.523390006469594
30,32,1.0,0,0,0,0,0,1.5202689593023344
32,30,1.0,0,0,0,0,0,1.5202689593023344
30,33,1.0,0,0,0,0,0,1.5224784436295695
33,30,1.0,0,0,0,0,0,1.5224784436295695
21,34,1.0,0,0,0,0,0,1.4479494847355656
34,21,1.0,0,0,0,0,0,1.4479494847355656
34,35,1.0,1,0,0,0,0,1.35885834419434
35,34,1.0,1,0,0,0,0,1.35885834419434
35,36,2.0,1,0,0,0,0,1.2232820360970469
36,35,2.0,1,0,0,0,0,1.2232820360970469
35,37,1.0,0,0,0,0,0,1.5095919356740939
37,35,1.0,0,0,0,0,0,1.5095919356740939
37,38,1.0,0,0,0,0,0,1.5276602748834947
38,37,1.0,0,0,0,0,0,1.5276602748834947
38,39,1.0,0,0,0,0,0,1.5318062693594432
39,38,1.0,0,0,0,0,0,1.5318062693594432
39,40,1.0,0,0,0,0,0,1.530836132757091
40,39,1.0,0,0,0,0,0,1.530836132757091
40,41,1.0,0,0,0,0,0,1.5325059185070649
41,40,1.0,0,0,0,0,0,1.5325059185070649
41,42,1.0,0,0,0,0,0,1.531945691303204
42,41,1.0,0,0,0,0,0,1.531945691303204
42,43,1.0,0,0,0,4,0,1.5026065538483588
