source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5208649517777748
1,0,1.0,0,0,0,0,0,1.5208649517777748
1,2,1.0,0,0,0,0,0,1.5291869244820628
2,1,1.0,0,0,0,0,0,1.5291869244820628
2,3,1.0,0,0,0,0,0,1.5310640600050132
3,2,1.0,0,0,0,0,0,1.5310640600050132
3,4,1.0,0,0,0,0,0,1.5318348519056098
4,3,1.0,0,0,0,0,0,1.5318348519056098
4,5,1.0,0,0,0,0,0,1.5319024827752117
5,4,1.0,0,0,0,0,0,1.5319024827752117
5,6,1.0,0,0,0,4,0,1.503006466610695
6,5,1.0,0,0,0,4,0,1.503006466610695
6,7,2.0,0,0,2,0,0,1.342940542934078
7,6,2.0,0,0,2,0,0,1.342940542934078
7,8,1.0,0,0,0,3,0,1.5023816936151941
8,7,1.0,0,0,0,3,0,1.5023816936151941
8,9,1.0,0,0,0,0,0,1.5322857960269256
9,8,1.0,0,0,0,0,0,1.5322857960269256
9,10,1.0,0,0,0,0,0,1.532643528977634
10,9,1.0,0,0,0,0,0,1.532643528977634
10,11,1.0,0,0,0,0,0,1.5316368842208137
11,10,1.0,0,0,0,0,0,1.5316368842208137
11,12,1.0,0,0,0,0,0,1.5317755548655079
12,11,1.0,0,0,0,0,0,1.5317755548655079
12,13,1.0,0,0,0,0,0,1.531664980002739
13,12,1.0,0,0,0,0,0,1.531664980002739
13,14,1.0,0,0,0,0,0,1.5311392398182457
14,13,1.0,0,0,0,0,0,1.5311392398182457
14,15,1.0,0,0,0,0,0,1.5306270058111549
15,14,1.0,0,0,0,0,0,1.5306270058111549
15,16,1.0,0,0,0,0,0,1.5272649379969803
16,15,1.0,0,0,0,0,0,1.5272649379969803
16,17,1.0,0,0,0,0,0,1.5098550616172077
17,16,1.0,0,0,0,0,0,1.5098550616172077
17,18,2.0,1,0,0,0,0,1.223616396986242
18,17,2.0,1,0,0,0,0,1.223616396986242
17,19,1.0,1,0,0,0,0,1.358738450604995
19,17,1.0,1,0,0,0,0,1.358738450604995
19,20,1.0,0,0,0,0,0,1.449414308263849
20,19,1.0,0,0,0,0,0,1.449414308263849
20,21,1.0,0,0,0,0,0,1.5342069195957115
21,20,1.0,0,0,0,0,0,1.5342069195957115
21,22,1.0,0,0,0,0,0,1.4392040132654398
22,21,1.0,0,0,0,0,0,1.4392040132654398
22,23,1.0,1,0,0,0,0,1.3578118921682019
23,22,1.0,1,0,0,0,0,1.3578118921682019
23,24,2.0,1,0,0,0,0,1.2246268473954658
24,23,2.0,1,0,0,0,0,1.2246268473954658
23,25,1.0,0,0,0,0,0,1.5091709480954585
25,23,1.0,0,0,0,0,0,1.5091709480954585
25,26,1.0,0,0,0,0,0,1.5265662438670655
26,25,1.0,0,0,0,0,0,1.5265662438670655
26,27,1.0,0,0,0,0,0,1.53133658528782
27,26,1.0,0,0,0,0,0,1.53133658528782
27,28,1.0,0,0,0,0,0,1.531219966422412
28,27,1.0,0,0,0,0,0,1.531219966422412
28,29,1.0,0,0,0,0,0,1.5306446345660987
29,28,1.0,0,0,0,0,0,1.5306446345660987
29,30,1.0,0,0,0,0,0,1.530849147842639
30,29,1.0,0,0,0,0,0,1.530849147842639
30,31,1.0,0,0,0,0,0,1.5308270236241923
31,30,1.0,0,0,0,0,0,1.5308270236241923
31,32,1.0,0,0,0,0,0,1.531359445487786
32,31,1.0,0,0,0,0,0,1.531359445487786
32,33,1.0,0,0,0,0,0,1.5314941998325422
33,32,1.0,0,0,0,0,0,1.5314941998325422
33,34,1.0,0,0,0,0,0,1.532187407533987
