source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5204572508205942
1,0,1.0,0,0,0,0,0,1.5204572508205942
1,2,1.0,0,0,0,0,0,1.529626302190392
2,1,1.0,0,0,0,0,0,1.529626302190392
2,3,1.0,0,0,0,0,0,1.5312242378291534
3,2,1.0,0,0,0,0,0,1.5312242378291534
3,4,1.0,0,0,0,0,0,1.532193849656288
4,3,1.0,0,0,0,0,0,1.532193849656288
4,5,1.0,0,0,0,0,0,1.5313763019067583
5,4,1.0,0,0,0,0,0,1.5313763019067583
5,6,1.0,0,0,0,0,0,1.5314668566469416
6,5,1.0,0,0,0,0,0,1.5314668566469416
6,7,1.0,0,0,0,0,0,1.5325742138315657
7,6,1.0,0,0,0,0,0,1.5325742138315657
7,8,1.0,0,0,0,0,0,1.5326934138517054
8,7,1.0,0,0,0,0,0,1.5326934138517054
8,9,1.0,0,0,0,0,0,1.5308942515570194
9,8,1.0,0,0,0,0,0,1.5308942515570194
9,10,1.0,0,0,0,0,0,1.530655837771808
10,9,1.0,0,0,0,0,0,1.530655837771808
10,11,1.0,0,0,0,0,0,1.5331158030745538
11,10,1.0,0,0,0,0,0,1.5331158030745538
11,12,1.0,0,0,0,0,0,1.5329067804602583
12,11,1.0,0,0,0,0,0,1.5329067804602583
12,13,1.0,0,0,0,4,0,1.505452984279487
13,12,1.0,0,0,0,4,0,1.505452984279487
13,14,2.0,0,0,3,0,0,1.3436670126456334
14,13,2.0,0,0,3,0,0,1.3436670126456334
14,15,1.0,0,0,0,4,0,1.506734972154239
15,14,1.0,0,0,0,4,0,1.506734972154239
15,16,1.0,0,0,0,0,0,1.4317744901437959
16,15,1.0,0,0,0,0,0,1.4317744901437959
15,17,1.0,0,0,0,0,0,1.5560720112144286
17,15,1.0,0,0,0,0,0,1.5560720112144286
17,18,1.0,0,0,0,0,0,1.544433343254088
18,17,1.0,0,0,0,0,0,1.544433343254088
18,19,1.0,0,0,0,0,0,1.4291286417550033
19,18,1.0,0,0,0,0,0,1.4291286417550033
19,20,1.0,0,0,0,0,0,1.428377277555892
20,19,1.0,0,0,0,0,0,1.428377277555892
20,21,1.0,0,1,0,0,0,1.4296813992738355
21,20,1.0,0,1,0,0,0,1.4296813992738355
