source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.520661659889503
1,0,1.0,0,0,0,0,0,1.520661659889503
1,2,1.0,0,0,0,0,0,1.529599833746934
2,1,1.0,0,0,0,0,0,1.529599833746934
2,3,1.0,0,0,0,0,0,1.5320358864938197
3,2,1.0,0,0,0,0,0,1.5320358864938197
3,4,1.0,0,0,0,0,0,1.5317792131281953
4,3,1.0,0,0,0,0,0,1.5317792131281953
4,5,1.0,0,0,0,4,0,1.502634926184824
5,4,1.0,0,0,0,4,0,1.502634926184824
5,6,2.0,0,0,2,0,0,1.3434136280257096
6,5,2.0,0,0,2,0,0,1.3434136280257096
6,7,1.0,0,0,0,3,0,1.5022102856362936
7,6,1.0,0,0,0,3,0,1.5022102856362936
7,8,1.0,0,0,0,4,0,1.502368467626734
8,7,1.0,0,0,0,4,0,1.502368467626734
8,9,2.0,0,0,2,0,0,1.3445192494114642
9,8,2.0,0,0,2,0,0,1.3445192494114642
9,10,1.0,0,0,0,3,0,1.5021189092977267
10,9,1.0,0,0,0,3,0,1.5021189092977267
10,11,1.0,0,0,0,4,0,1.5016109189292826
11,10,1.0,0,0,0,4,0,1.5016109189292826
11,12,2.0,0,0,2,0,0,1.3444894597690855
12,11,2.0,0,0,2,0,0,1.3444894597690855
12,13,1.0,0,0,0,3,0,1.5019150344815713
13,12,1.0,0,0,0,3,0,1.5019150344815713
13,14,1.0,0,0,0,4,0,1.5022392526538237
14,13,1.0,0,0,0,4,0,1.5022392526538237
14,15,2.0,0,0,2,0,0,1.3434161940109515
15,14,2.0,0,0,2,0,0,1.3434161940109515
15,16,1.0,0,0,0,3,0,1.5018553663461187
16,15,1.0,0,0,0,3,0,1.5018553663461187
16,17,1.0,0,0,0,0,0,1.5309124486176204
17,16,1.0,0,0,0,0,0,1.5309124486176204
17,18,1.0,0,0,0,0,0,1.5266242982972433
18,17,1.0,0,0,0,0,0,1.5266242982972433
18,19,1.0,0,0,0,0,0,1.508219080763276
19,18,1.0,0,0,0,0,0,1.508219080763276
19,20,2.0,1,0,0,0,0,1.223087206751758
20,19,2.0,1,0,0,0,0,1.223087206751758
19,21,1.0,1,0,0,0,0,1.3605631892923733
21,19,1.0,1,0,0,0,0,1.3605631892923733
21,22,1.0,0,0,0,0,0,1.4470050063808713
22,21,1.0,0,0,0,0,0,1.4470050063808713
22,23,1.0,0,0,0,0,0,1.5356491761349527
23,22,1.0,0,0,0,0,0,1.5356491761349527
23,24,1.0,0,0,0,0,0,1.4392103087884283
24,23,1.0,0,0,0,0,0,1.4392103087884283
24,25,1.0,1,0,0,0,0,1.3610531076945531
25,24,1.0,1,0,0,0,0,1.3610531076945531
25,26,2.0,1,0,0,0,0,1.223268682638688
26,25,2.0,1,0,0,0,0,1.223268682638688
25,27,1.0,0,0,0,0,0,1.5086023773125912
27,25,1.0,0,0,0,0,0,1.5086023773125912
27,28,1.0,0,0,0,0,0,1.5269978532911783
28,27,1.0,0,0,0,0,0,1.5269978532911783
28,29,1.0,0,0,0,0,0,1.5310497231808164
29,28,1.0,0,0,0,0,0,1.5310497231808164
29,30,1.0,0,0,0,0,0,1.530150555437032
30,29,1.0,0,0,0,0,0,1.530150555437032
30,31,1.0,0,0,0,0,0,1.5309461092488335
31,30,1.0,0,0,0,0,0,1.5309461092488335
31,32,1.0,0,0,0,0,0,1.529945770256453
32,31,1.0,0,0,0,0,0,1.529945770256453
32,33,1.0,0,0,0,0,0,1.53092840416427
33,32,1.0,0,0,0,0,0,1.53092840416427
33,34,1.0,0,0,0,0,0,1.5320074296380228
34,33,1.0,0,0,0,0,0,1.5320074296380228
34,35,1.0,0,0,0,0,0,1.531569917785291
35,34,1.0,0,0,0,0,0,1.531569917785291
35,36,1.0,0,0,0,0,0,1.5311514210017265
36,35,1.0,0,0,0,0,0,1.5311514210017265
36,37,1.0,0,0,0,0,0,1.53171743929764
37,36,1.0,0,0,0,0,0,1.53171743929764
37,38,1.0,0,0,0,0,0,1.5307931847886844
38,37,1.0,0,0,0,0,0,1.5307931847886844
38,39,1.0,0,0,0,0,0,1.5305133030991052
39,38,1.0,0,0,0,0,0,1.5305133030991052
39,40,1.0,0,0,0,0,0,1.5293665043457492
40,39,1.0,0,0,0,0,0,1.5293665043457492
