source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5207562852522305
1,0,1.0,0,0,0,0,0,1.5207562852522305
1,2,1.0,0,0,0,0,0,1.5300825625603804
2,1,1.0,0,0,0,0,0,1.5300825625603804
2,3,1.0,0,0,0,0,0,1.5313569960733753
3,2,1.0,0,0,0,0,0,1.5313569960733753
3,4,1.0,0,0,0,0,0,1.532251419241275
4,3,1.0,0,0,0,0,0,1.532251419241275
4,5,1.0,0,0,0,0,0,1.5315804126311747
5,4,1.0,0,0,0,0,0,1.5315804126311747
5,6,1.0,0,0,0,0,0,1.5318702222867266
6,5,1.0,0,0,0,0,0,1.5318702222867266
6,7,1.0,0,0,0,0,0,1.5322949225001954
7,6,1.0,0,0,0,0,0,1.5322949225001954
7,8,1.0,0,0,0,0,0,1.5306936961791981
8,7,1.0,0,0,0,0,0,1.5306936961791981
8,9,1.0,0,0,0,0,0,1.5332361333486417
9,8,1.0,0,0,0,0,0,1.5332361333486417
9,10,1.0,0,0,0,0,0,1.532900970631643
10,9,1.0,0,0,0,0,0,1.532900970631643
10,11,1.0,0,0,0,4,0,1.5016841929671012
11,10,1.0,0,0,0,4,0,1.5016841929671012
11,12,2.0,0,0,3,0,0,1.3442885081508724
12,11,2.0,0,0,3,0,0,1.3442885081508724
12,13,1.0,0,0,0,4,0,1.5093084355225568
13,12,1.0,0,0,0,4,0,1.5093084355225568
13,14,1.0,0,0,0,0,0,1.4310713048075971
14,13,1.0,0,0,0,0,0,1.4310713048075971
13,15,1.0,0,0,0,0,0,1.559459357667789
15,13,1.0,0,0,0,0,0,1.559459357667789
15,16,1.0,0,0,0,0,0,1.5396921769610448
16,15,1.0,0,0,0,0,0,1.5396921769610448
16,17,1.0,0,0,0,0,0,1.423668862992466
17,16,1.0,0,0,0,0,0,1.423668862992466
17,18,1.0,0,0,0,0,0,1.6158552487457776
18,17,1.0,0,0,0,0,0,1.6158552487457776
18,19,2.0,0,0,0,0,0,1.5040839368535748
19,18,2.0,0,0,0,0,0,1.5040839368535748
18,20,1.0,0,0,0,0,0,1.5033493841865253
20,18,1.0,0,0,0,0,0,1.5033493841865253
18,21,1.0,0,0,0,0,0,1.624182220605812
21,18,1.0,0,0,0,0,0,1.624182220605812
21,22,1.0,0,0,0,0,0,1.416999922690685
22,21,1.0,0,0,0,0,0,1.416999922690685
22,23,1.0,0,0,0,0,0,1.5342105488191915
23,22,1.0,0,0,0,0,0,1.5342105488191915
23,24,1.0,0,0,0,0,0,1.5520003083413807
24,23,1.0,0,0,0,0,0,1.5520003083413807
24,25,1.0,0,0,0,0,0,1.5229011388684235
25,24,1.0,0,0,0,0,0,1.5229011388684235
24,26,1.0,0,0,0,0,0,1.5231055239348008
26,24,1.0,0,0,0,0,0,1.5231055239348008
24,27,1.0,0,0,0,0,0,1.5208630916556665
27,24,1.0,0,0,0,0,0,1.5208630916556665
15,28,1.0,0,0,0,0,0,1.4742987549929183
28,15,1.0,0,0,0,0,0,1.4742987549929183
28,29,1.0,1,0,0,0,0,1.3768395243315992
29,28,1.0,1,0,0,0,0,1.3768395243315992
29,30,2.0,1,0,0,0,0,1.2256229396018437
30,29,2.0,1,0,0,0,0,1.2256229396018437
29,31,1.0,0,0,0,0,0,1.5175552282715696
31,29,1.0,0,0,0,0,0,1.5175552282715696
31,32,1.0,0,0,0,0,0,1.527864173281117
32,31,1.0,0,0,0,0,0,1.527864173281117
32,33,1.0,0,0,0,0,0,1.5329207253116681
33,32,1.0,0,0,0,0,0,1.5329207253116681
33,34,1.0,0,0,0,0,0,1.5333285518719266
34,33,1.0,0,0,0,0,0,1.5333285518719266
34,35,1.0,0,0,0,0,0,1.5320355568324855
35,34,1.0,0,0,0,0,0,1.5320355568324855
35,36,1.0,0,0,0,0,0,1.5328618436820598
36,35,1.0,0,0,0,0,0,1.5328618436820598
36,37,1.0,0,0,0,0,0,1.5306967485862735
37,36,1.0,0,0,0,0,0,1.5306967485862735
37,38,1.0,0,0,0,0,0,1.5304392786034142
38,37,1.0,0,0,0,0,0,1.5304392786034142
38,39,1.0,0,0,0,0,0,1.5323692590176003
39,38,1.0,0,0,0,0,0,1.5323692590176003
39,40,1.0,0,0,0,0,0,1.5320294190701615
40,39,1.0,0,0,0,0,0,1.5320294190701615
40,41,1.0,0,0,0,0,0,1.5319326921709886
41,40,1.0,0,0,0,0,0,1.5319326921709886
41,42,1.0,0,0,0,0,0,1.5323110188136992
42,41,1.0,0,0,0,0,0,1.5323110188136992
42,43,1.0,0,0,0,0,0,1.531531839546625
43,42,1.0,0,0,0,0,0,1.531531839546625
43,44,1.0,0,0,0,0,0,1.5313276936210316
44,43,1.0,0,0,0,0,0,1.5313276936210316
44,45,1.0,0,0,0,0,0,1.5320819575745868
45,44,1.0,0,0,0,0,0,1.5320819575745868
45,46,1.0,0,0,0,0,0,1.5320654913715457
46,45,1.0,0,0,0,0,0,1.5320654913715457
46,47,1.0,0,0,0,0,0,1.5320742877701001
47,46,1.0,0,0,0,0,0,1.5320742877701001
47,48,1.0,0,0,0,0,0,1.5313517768348346
48,47,1.0,0,0,0,0,0,1.5313517768348346
48,49,1.0,0,0,0,0,0,1.532142268557532
49,48,1.0,0,0,0,0,0,1.532142268557532
49,50,1.0,0,0,0,0,0,1.531587005048614
50,49,1.0,0,0,0,0,0,1.531587005048614
50,51,1.0,0,0,0,0,0,1.531273466959801
51,50,1.0,0,0,0,0,0,1.531273466959801
51,52,1.0,0,0,0,0,0,1.529146970122376
52,51,1.0,0,0,0,0,0,1.529146970122376
52,53,1.0,0,0,0,0,0,1.5208718525226643
53,52,1.0,0,0,0,0,0,1.5208718525226643
