source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5204446092697617
1,0,1.0,0,0,0,0,0,1.5204446092697617
1,2,1.0,0,0,0,0,0,1.5304724373794198
2,1,1.0,0,0,0,0,0,1.5304724373794198
2,3,1.0,0,0,0,0,0,1.532732089988042
3,2,1.0,0,0,0,0,0,1.532732089988042
3,4,1.0,0,0,0,0,0,1.5306270383724943
4,3,1.0,0,0,0,0,0,1.5306270383724943
4,5,1.0,0,0,0,0,0,1.5328629561626852
5,4,1.0,0,0,0,0,0,1.5328629561626852
5,6,1.0,0,0,0,0,0,1.5323637913908028
6,5,1.0,0,0,0,0,0,1.5323637913908028
6,7,1.0,0,0,0,0,0,1.532505937777738
7,6,1.0,0,0,0,0,0,1.532505937777738
7,8,1.0,0,0,0,4,0,1.5031630193488275
8,7,1.0,0,0,0,4,0,1.5031630193488275
8,9,2.0,0,0,2,0,0,1.3429120945003012
9,8,2.0,0,0,2,0,0,1.3429120945003012
9,10,1.0,0,0,0,3,0,1.5029345698207164
10,9,1.0,0,0,0,3,0,1.5029345698207164
10,11,1.0,0,0,0,0,0,1.5323498215928908
11,10,1.0,0,0,0,0,0,1.5323498215928908
11,12,1.0,0,0,0,0,0,1.5325760004505562
12,11,1.0,0,0,0,0,0,1.5325760004505562
12,13,1.0,0,0,0,0,0,1.5331786899587327
13,12,1.0,0,0,0,0,0,1.5331786899587327
13,14,1.0,0,0,0,0,0,1.5309340488329817
14,13,1.0,0,0,0,0,0,1.5309340488329817
14,15,1.0,0,0,0,0,0,1.5312784856060733
15,14,1.0,0,0,0,0,0,1.5312784856060733
15,16,1.0,0,0,0,0,0,1.5246500042603988
16,15,1.0,0,0,0,0,0,1.5246500042603988
16,17,1.0,0,0,0,0,0,1.5065469197526078
17,16,1.0,0,0,0,0,0,1.5065469197526078
17,18,2.0,1,0,0,0,0,1.2238303223482236
18,17,2.0,1,0,0,0,0,1.2238303223482236
17,19,1.0,1,0,0,0,0,1.3572572515044894
19,17,1.0,1,0,0,0,0,1.3572572515044894
19,20,1.0,0,0,0,0,0,1.4486840406762587
20,19,1.0,0,0,0,0,0,1.4486840406762587
20,21,1.0,0,0,0,0,0,1.5388528259514533
21,20,1.0,0,0,0,0,0,1.5388528259514533
21,22,1.0,0,0,0,0,0,1.4310480275441577
22,21,1.0,0,0,0,0,0,1.4310480275441577
22,23,1.0,0,0,0,0,0,1.4259967571621606
23,22,1.0,0,0,0,0,0,1.4259967571621606
23,24,1.0,0,0,0,0,0,1.5250805897906752
24,23,1.0,0,0,0,0,0,1.5250805897906752
24,25,1.0,0,0,0,0,0,1.5291727720825037
25,24,1.0,0,0,0,0,0,1.5291727720825037
25,26,1.0,0,0,0,0,0,1.532368735426413
26,25,1.0,0,0,0,0,0,1.532368735426413
26,27,1.0,0,0,0,0,0,1.533440399258033
27,26,1.0,0,0,0,0,0,1.533440399258033
27,28,1.0,0,0,0,0,0,1.5283209599719234
28,27,1.0,0,0,0,0,0,1.5283209599719234
28,29,1.0,0,0,0,0,0,1.5314991422042765
29,28,1.0,0,0,0,0,0,1.5314991422042765
29,30,1.0,0,0,0,0,0,1.5282897990125268
30,29,1.0,0,0,0,0,0,1.5282897990125268
30,31,1.0,0,0,0,0,0,1.5326755877004234
31,30,1.0,0,0,0,0,0,1.5326755877004234
31,32,1.0,0,0,0,0,0,1.5324219511563217
32,31,1.0,0,0,0,0,0,1.5324219511563217
32,33,1.0,0,0,0,0,0,1.5315547048850073
33,32,1.0,0,0,0,0,0,1.5315547048850073
33,34,1.0,0,0,0,0,0,1.5309250326435593
34,33,1.0,0,0,0,0,0,1.5309250326435593
34,35,1.0,0,0,0,0,0,1.5314619964576262
35,34,1.0,0,0,0,0,0,1.5314619964576262
35,36,1.0,0,0,0,0,0,1.5324980204835736
36,35,1.0,0,0,0,0,0,1.5324980204835736
36,37,1.0,0,0,0,0,0,1.531489312972094
37,36,1.0,0,0,0,0,0,1.531489312972094
37,38,1.0,0,0,0,0,0,1.5187641027877095
38,37,1.0,0,0,0,0,0,1.5187641027877095
20,39,1.0,0,0,0,0,0,1.529173387738577
39,20,1.0,0,0,0,0,0,1.529173387738577
39,40,1.0,0,0,0,0,0,1.424095662274836
40,39,1.0,0,0,0,0,0,1.424095662274836
40,41,1.0,0,0,0,0,0,1.614941071264141
41,40,1.0,0,0,0,0,0,1.614941071264141
41,42,2.0,0,0,0,0,0,1.507059281178187
42,41,2.0,0,0,0,0,0,1.507059281178187
41,43,1.0,0,0,0,0,0,1.5020110629577148
43,41,1.0,0,0,0,0,0,1.5020110629577148
41,44,1.0,0,0,0,0,0,1.625229049738907
44,41,1.0,0,0,0,0,0,1.625229049738907
44,45,1.0,0,0,0,0,0,1.409807949234162
45,44,1.0,0,0,0,0,0,1.409807949234162
45,46,1.0,0,0,0,0,0,1.5314161307857403
46,45,1.0,0,0,0,0,0,1.5314161307857403
46,47,1.0,0,0,0,0,0,1.5484981620957199
47,46,1.0,0,0,0,0,0,1.5484981620957199
47,48,1.0,0,0,0,0,0,1.516661774252819
48,47,1.0,0,0,0,0,0,1.516661774252819
47,49,1.0,0,0,0,0,0,1.5219229950902686
49,47,1.0,0,0,0,0,0,1.5219229950902686
47,50,1.0,0,0,0,0,0,1.5345913171551513
50,47,1.0,0,0,0,0,0,1.5345913171551513
