source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5208240093066598
1,0,1.0,0,0,0,0,0,1.5208240093066598
1,2,1.0,0,0,0,0,0,1.5289062144603114
2,1,1.0,0,0,0,0,0,1.5289062144603114
2,3,1.0,0,0,0,0,0,1.5320840804948441
3,2,1.0,0,0,0,0,0,1.5320840804948441
3,4,1.0,0,0,0,0,0,1.5315947725293857
4,3,1.0,0,0,0,0,0,1.5315947725293857
4,5,1.0,0,0,0,4,0,1.5017653691384236
5,4,1.0,0,0,0,4,0,1.5017653691384236
5,6,2.0,0,0,2,0,0,1.3436830796658679
6,5,2.0,0,0,2,0,0,1.3436830796658679
6,7,1.0,0,0,0,3,0,1.501893943306171
7,6,1.0,0,0,0,3,0,1.501893943306171
7,8,1.0,0,0,0,4,0,1.5021866366975083
8,7,1.0,0,0,0,4,0,1.5021866366975083
8,9,2.0,0,0,2,0,0,1.3434979653509498
9,8,2.0,0,0,2,0,0,1.3434979653509498
9,10,1.0,0,0,0,3,0,1.50211670038799
10,9,1.0,0,0,0,3,0,1.50211670038799
10,11,1.0,0,0,0,0,0,1.5321903617486288
11,10,1.0,0,0,0,0,0,1.5321903617486288
11,12,1.0,0,0,0,0,0,1.5327310663083806
12,11,1.0,0,0,0,0,0,1.5327310663083806
12,13,1.0,0,0,0,0,0,1.531018095214818
13,12,1.0,0,0,0,0,0,1.531018095214818
13,14,1.0,0,0,0,0,0,1.5317605658177038
14,13,1.0,0,0,0,0,0,1.5317605658177038
14,15,1.0,0,0,0,0,0,1.5327207584354103
15,14,1.0,0,0,0,0,0,1.5327207584354103
15,16,1.0,0,0,0,0,0,1.5264971726338905
16,15,1.0,0,0,0,0,0,1.5264971726338905
16,17,1.0,0,0,0,0,0,1.5089445876730931
17,16,1.0,0,0,0,0,0,1.5089445876730931
17,18,2.0,1,0,0,0,0,1.2229290763152298
18,17,2.0,1,0,0,0,0,1.2229290763152298
17,19,1.0,1,0,0,0,0,1.3615391709188465
19,17,1.0,1,0,0,0,0,1.3615391709188465
19,20,1.0,0,0,0,0,0,1.4397789608100469
20,19,1.0,0,0,0,0,0,1.4397789608100469
20,21,1.0,0,0,0,0,0,1.534591170222503
21,20,1.0,0,0,0,0,0,1.534591170222503
21,22,1.0,0,0,0,0,0,1.5322290924452382
22,21,1.0,0,0,0,0,0,1.5322290924452382
22,23,1.0,0,0,0,0,0,1.4225033107772285
23,22,1.0,0,0,0,0,0,1.4225033107772285
23,24,1.0,0,0,0,0,0,1.603267248706495
24,23,1.0,0,0,0,0,0,1.603267248706495
24,25,2.0,0,0,0,0,0,1.4916720710242544
25,24,2.0,0,0,0,0,0,1.4916720710242544
24,26,1.0,0,0,0,0,0,1.601710593333775
26,24,1.0,0,0,0,0,0,1.601710593333775
24,27,1.0,0,0,0,0,0,1.6044171421514595
27,24,1.0,0,0,0,0,0,1.6044171421514595
27,28,1.0,0,0,0,0,0,1.422760136490673
28,27,1.0,0,0,0,0,0,1.422760136490673
28,29,1.0,0,0,0,0,0,1.5290886415349139
29,28,1.0,0,0,0,0,0,1.5290886415349139
29,30,1.0,0,0,0,0,0,1.4355253648448634
30,29,1.0,0,0,0,0,0,1.4355253648448634
29,31,1.0,0,0,0,0,0,1.531421768714799
31,29,1.0,0,0,0,0,0,1.531421768714799
31,32,1.0,0,0,0,0,0,1.4266179443943063
32,31,1.0,0,0,0,0,0,1.4266179443943063
21,33,1.0,0,0,0,0,0,1.4477187139006487
33,21,1.0,0,0,0,0,0,1.4477187139006487
33,34,1.0,1,0,0,0,0,1.359692063257263
34,33,1.0,1,0,0,0,0,1.359692063257263
34,35,2.0,1,0,0,0,0,1.2225954992096153
35,34,2.0,1,0,0,0,0,1.2225954992096153
34,36,1.0,0,0,0,0,0,1.5089786302867545
36,34,1.0,0,0,0,0,0,1.5089786302867545
36,37,1.0,0,0,0,0,0,1.5273034083778134
37,36,1.0,0,0,0,0,0,1.5273034083778134
37,38,1.0,0,0,0,0,0,1.532796299934685
38,37,1.0,0,0,0,0,0,1.532796299934685
38,39,1.0,0,0,0,0,0,1.5313327882261318
39,38,1.0,0,0,0,0,0,1.5313327882261318
39,40,1.0,0,0,0,0,0,1.5319231793278114
40,39,1.0,0,0,0,0,0,1.5319231793278114
40,41,1.0,0,0,0,0,0,1.5330319881635266
41,40,1.0,0,0,0,0,0,1.5330319881635266
41,42,1.0,0,0,0,0,0,1.5321900154052823
42,41,1.0,0,0,0,0,0,1.5321900154052823
42,43,1.0,0,0,0,4,0,1.5020763832756547
43,42,1.0,0,0,0,4,0,1.5020763832756547
43,44,2.0,0,0,2,0,0,1.342890083680437
44,43,2.0,0,0,2,0,0,1.342890083680437
44,45,1.0,0,0,0,3,0,1.5026930490471815
45,44,1.0,0,0,0,3,0,1.5026930490471815
45,46,1.0,0,0,0,0,0,1.5312197071773974
46,45,1.0,0,0,0,0,0,1.5312197071773974
46,47,1.0,0,0,0,0,0,1.532343507444001
47,46,1.0,0,0,0,0,0,1.532343507444001
47,48,1.0,0,0,0,0,0,1.5311266501733967
48,47,1.0,0,0,0,0,0,1.5311266501733967
48,49,1.0,0,0,0,0,0,1.5297411764632582
49,48,1.0,0,0,0,0,0,1.5297411764632582
49,50,1.0,0,0,0,0,0,1.5207051118465382
50,49,1.0,0,0,0,0,0,1.5207051118465382
