source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.52083832992454
1,0,1.0,0,0,0,0,0,1.52083832992454
1,2,1.0,0,0,0,0,0,1.5306076158726847
2,1,1.0,0,0,0,0,0,1.5306076158726847
2,3,1.0,0,0,0,0,0,1.531800609694652
3,2,1.0,0,0,0,0,0,1.531800609694652
3,4,1.0,0,0,0,0,0,1.531758047052057
4,3,1.0,0,0,0,0,0,1.531758047052057
4,5,1.0,0,0,0,0,0,1.531650851990514
5,4,1.0,0,0,0,0,0,1.531650851990514
5,6,1.0,0,0,0,0,0,1.5311366214767808
6,5,1.0,0,0,0,0,0,1.5311366214767808
6,7,1.0,0,0,0,0,0,1.5317691435696053
7,6,1.0,0,0,0,0,0,1.5317691435696053
7,8,1.0,0,0,0,0,0,1.5311519948796362
8,7,1.0,0,0,0,0,0,1.5311519948796362
8,9,1.0,0,0,0,0,0,1.5311960297071667
9,8,1.0,0,0,0,0,0,1.5311960297071667
9,10,1.0,0,0,0,0,0,1.531991364733549
10,9,1.0,0,0,0,0,0,1.531991364733549
10,11,1.0,0,0,0,0,0,1.532689501941876
11,10,1.0,0,0,0,0,0,1.532689501941876
11,12,1.0,0,0,0,0,0,1.5282834737794704
12,11,1.0,0,0,0,0,0,1.5282834737794704
12,13,1.0,0,0,0,0,0,1.5103669510546107
13,12,1.0,0,0,0,0,0,1.5103669510546107
13,14,2.0,1,0,0,0,0,1.222918514766402
14,13,2.0,1,0,0,0,0,1.222918514766402
13,15,1.0,1,0,0,0,0,1.3623585110195535
15,13,1.0,1,0,0,0,0,1.3623585110195535
15,16,1.0,0,0,0,0,0,1.4385948183210355
16,15,1.0,0,0,0,0,0,1.4385948183210355
16,17,1.0,0,0,0,0,0,1.5355485095949455
17,16,1.0,0,0,0,0,0,1.5355485095949455
17,18,1.0,0,0,0,0,0,1.5335231798590574
18,17,1.0,0,0,0,0,0,1.5335231798590574
18,19,1.0,0,0,0,0,0,1.4207519629595309
19,18,1.0,0,0,0,0,0,1.4207519629595309
19,20,1.0,0,0,0,0,0,1.6036980830036842
20,19,1.0,0,0,0,0,0,1.6036980830036842
20,21,2.0,0,0,0,0,0,1.4919467632014902
21,20,2.0,0,0,0,0,0,1.4919467632014902
20,22,1.0,0,0,0,0,0,1.6011209250048766
22,20,1.0,0,0,0,0,0,1.6011209250048766
20,23,1.0,0,0,0,0,0,1.6037203188416775
23,20,1.0,0,0,0,0,0,1.6037203188416775
23,24,1.0,0,0,0,0,0,1.4198016727389196
24,23,1.0,0,0,0,0,0,1.4198016727389196
24,25,1.0,0,0,0,0,0,1.5310265231009574
25,24,1.0,0,0,0,0,0,1.5310265231009574
25,26,1.0,0,0,0,0,0,1.4650579841108566
26,25,1.0,0,0,0,0,0,1.4650579841108566
17,27,1.0,0,0,0,0,0,1.4473484117345676
27,17,1.0,0,0,0,0,0,1.4473484117345676
27,28,1.0,1,0,0,0,0,1.3598587557839206
28,27,1.0,1,0,0,0,0,1.3598587557839206
28,29,2.0,1,0,0,0,0,1.2230390145695629
29,28,2.0,1,0,0,0,0,1.2230390145695629
28,30,1.0,0,0,0,0,0,1.5090357868393947
30,28,1.0,0,0,0,0,0,1.5090357868393947
30,31,1.0,0,0,0,0,0,1.5279428153294374
31,30,1.0,0,0,0,0,0,1.5279428153294374
31,32,1.0,0,0,0,0,0,1.5326782859763899
32,31,1.0,0,0,0,0,0,1.5326782859763899
32,33,1.0,0,0,0,0,0,1.531232692424229
33,32,1.0,0,0,0,0,0,1.531232692424229
33,34,1.0,0,0,0,0,0,1.531813693034271
34,33,1.0,0,0,0,0,0,1.531813693034271
34,35,1.0,0,0,0,0,0,1.5317367132453767
35,34,1.0,0,0,0,0,0,1.5317367132453767
35,36,1.0,0,0,0,0,0,1.5322083769759933
36,35,1.0,0,0,0,0,0,1.5322083769759933
36,37,1.0,0,0,0,0,0,1.5315892534904494
37,36,1.0,0,0,0,0,0,1.5315892534904494
37,38,1.0,0,0,0,0,0,1.531555844954625
38,37,1.0,0,0,0,0,0,1.531555844954625
38,39,1.0,0,0,0,0,0,1.5320015976543413
39,38,1.0,0,0,0,0,0,1.5320015976543413
39,40,1.0,0,0,0,0,0,1.5316780680734827
40,39,1.0,0,0,0,0,0,1.5316780680734827
40,41,1.0,0,0,0,0,0,1.530209714778904
41,40,1.0,0,0,0,0,0,1.530209714778904
41,42,1.0,0,0,0,0,0,1.5208793960946854
42,41,1.0,0,0,0,0,0,1.5208793960946854
