source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5216070388977625
1,0,1.0,0,0,0,0,0,1.5216070388977625
1,2,1.0,0,0,0,4,0,1.5014744669444793
2,1,1.0,0,0,0,4,0,1.5014744669444793
2,3,2.0,0,0,2,0,0,1.343178421115662
3,2,2.0,0,0,2,0,0,1.343178421115662
3,4,1.0,0,0,0,3,0,1.5022860439573182
4,3,1.0,0,0,0,3,0,1.5022860439573182
4,5,1.0,0,0,0,4,0,1.501922313004429
5,4,1.0,0,0,0,4,0,1.501922313004429
5,6,2.0,0,0,2,0,0,1.344704730419424
6,5,2.0,0,0,2,0,0,1.344704730419424
6,7,1.0,0,0,0,3,0,1.501623733223117
7,6,1.0,0,0,0,3,0,1.501623733223117
7,8,1.0,0,0,0,4,0,1.501764957764394
8,7,1.0,0,0,0,4,0,1.501764957764394
8,9,2.0,0,0,2,0,0,1.3446545197649051
9,8,2.0,0,0,2,0,0,1.3446545197649051
9,10,1.0,0,0,0,3,0,1.5016088763723263
10,9,1.0,0,0,0,3,0,1.5016088763723263
10,11,1.0,0,0,0,4,0,1.5010862537090237
11,10,1.0,0,0,0,4,0,1.5010862537090237
11,12,2.0,0,0,2,0,0,1.3450319356788232
12,11,2.0,0,0,2,0,0,1.3450319356788232
12,13,1.0,0,0,0,3,0,1.5024296915667301
13,12,1.0,0,0,0,3,0,1.5024296915667301
13,14,1.0,0,0,0,4,0,1.5026475897796887
14,13,1.0,0,0,0,4,0,1.5026475897796887
14,15,2.0,0,0,2,0,0,1.3437311299991066
15,14,2.0,0,0,2,0,0,1.3437311299991066
15,16,1.0,0,0,0,3,0,1.4997566982160264
16,15,1.0,0,0,0,3,0,1.4997566982160264
16,17,1.0,0,0,0,0,0,1.5339744025940834
17,16,1.0,0,0,0,0,0,1.5339744025940834
17,18,1.0,0,0,0,0,0,1.534563515067057
18,17,1.0,0,0,0,0,0,1.534563515067057
18,19,1.0,0,0,0,0,0,1.5311920921620776
19,18,1.0,0,0,0,0,0,1.5311920921620776
19,20,1.0,0,0,0,0,0,1.5247114163100306
20,19,1.0,0,0,0,0,0,1.5247114163100306
20,21,1.0,0,0,0,0,0,1.506523151986134
21,20,1.0,0,0,0,0,0,1.506523151986134
21,22,2.0,1,0,0,0,0,1.2241463776819077
22,21,2.0,1,0,0,0,0,1.2241463776819077
21,23,1.0,1,0,0,0,0,1.3618134548336243
23,21,1.0,1,0,0,0,0,1.3618134548336243
23,24,1.0,0,0,0,0,0,1.4430943742795426
24,23,1.0,0,0,0,0,0,1.4430943742795426
24,25,1.0,0,0,0,0,0,1.5388153311661275
25,24,1.0,0,0,0,0,0,1.5388153311661275
25,26,1.0,0,0,0,0,0,1.4414732337343765
26,25,1.0,0,0,0,0,0,1.4414732337343765
26,27,1.0,1,0,0,0,0,1.359182282601665
27,26,1.0,1,0,0,0,0,1.359182282601665
27,28,2.0,1,0,0,0,0,1.2240106768004304
28,27,2.0,1,0,0,0,0,1.2240106768004304
27,29,1.0,0,0,0,0,0,1.5073707198548445
29,27,1.0,0,0,0,0,0,1.5073707198548445
29,30,1.0,0,0,0,0,0,1.5251531501756015
30,29,1.0,0,0,0,0,0,1.5251531501756015
30,31,1.0,0,0,0,0,0,1.5301978921408579
31,30,1.0,0,0,0,0,0,1.5301978921408579
31,32,1.0,0,0,0,0,0,1.5302961331133207
32,31,1.0,0,0,0,0,0,1.5302961331133207
32,33,1.0,0,0,0,0,0,1.5306657890586013
33,32,1.0,0,0,0,0,0,1.5306657890586013
33,34,1.0,0,0,0,0,0,1.5314009135905375
34,33,1.0,0,0,0,0,0,1.5314009135905375
34,35,1.0,0,0,0,0,0,1.5316485996162152
35,34,1.0,0,0,0,0,0,1.5316485996162152
35,36,1.0,0,0,0,4,0,1.5032463937204834
36,35,1.0,0,0,0,4,0,1.5032463937204834
36,37,2.0,0,0,2,0,0,1.343354449366751
