source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5211385587071997
1,0,1.0,0,0,0,0,0,1.5211385587071997
1,2,1.0,0,0,0,0,0,1.5298930489480844
2,1,1.0,0,0,0,0,0,1.5298930489480844
2,3,1.0,0,0,0,0,0,1.5314699516801027
3,2,1.0,0,0,0,0,0,1.5314699516801027
3,4,1.0,0,0,0,0,0,1.5309582566709334
4,3,1.0,0,0,0,0,0,1.5309582566709334
4,5,1.0,0,0,0,0,0,1.5315261854812052
5,4,1.0,0,0,0,0,0,1.5315261854812052
5,6,1.0,0,0,0,0,0,1.5319356360162
6,5,1.0,0,0,0,0,0,1.5319356360162
6,7,1.0,0,0,0,0,0,1.5333811284675354
7,6,1.0,0,0,0,0,0,1.5333811284675354
7,8,1.0,0,0,0,0,0,1.531991261935244
8,7,1.0,0,0,0,0,0,1.531991261935244
8,9,1.0,0,0,0,0,0,1.5311595493392267
9,8,1.0,0,0,0,0,0,1.5311595493392267
9,10,1.0,0,0,0,0,0,1.5312688494794853
10,9,1.0,0,0,0,0,0,1.5312688494794853
10,11,1.0,0,0,0,0,0,1.5339901440305863
11,10,1.0,0,0,0,0,0,1.5339901440305863
11,12,1.0,0,0,0,0,0,1.534300204499528
12,11,1.0,0,0,0,0,0,1.534300204499528
12,13,1.0,0,0,0,4,0,1.504325182434966
13,12,1.0,0,0,0,4,0,1.504325182434966
13,14,2.0,1,0,3,0,0,1.3416950225943878
14,13,2.0,1,0,3,0,0,1.3416950225943878
14,15,1.0,1,0,0,4,0,1.4455317455079908
15,14,1.0,1,0,0,4,0,1.4455317455079908
15,16,2.0,1,0,3,0,0,1.3410290669903153
16,15,2.0,1,0,3,0,0,1.3410290669903153
16,17,1.0,1,0,0,4,0,1.4760830443364987
17,16,1.0,1,0,0,4,0,1.4760830443364987
17,18,2.0,1,0,0,0,0,1.2216318385694724
18,17,2.0,1,0,0,0,0,1.2216318385694724
17,19,1.0,1,0,0,0,0,1.3533088638976825
