source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5206217699261
1,0,1.0,0,0,0,0,0,1.5206217699261
1,2,1.0,0,0,0,0,0,1.5303080792549482
2,1,1.0,0,0,0,0,0,1.5303080792549482
2,3,1.0,0,0,0,0,0,1.5317928524911517
3,2,1.0,0,0,0,0,0,1.5317928524911517
3,4,1.0,0,0,0,0,0,1.531328646572009
4,3,1.0,0,0,0,0,0,1.531328646572009
4,5,1.0,0,0,0,0,0,1.531896681466728
5,4,1.0,0,0,0,0,0,1.531896681466728
5,6,1.0,0,0,0,0,0,1.5325380104690174
6,5,1.0,0,0,0,0,0,1.5325380104690174
6,7,1.0,0,0,0,0,0,1.531713949117044
7,6,1.0,0,0,0,0,0,1.531713949117044
7,8,1.0,0,0,0,0,0,1.5318956038189744
8,7,1.0,0,0,0,0,0,1.5318956038189744
8,9,1.0,0,0,0,0,0,1.5327184649409624
9,8,1.0,0,0,0,0,0,1.5327184649409624
9,10,1.0,0,0,0,0,0,1.53109982560045
10,9,1.0,0,0,0,0,0,1.53109982560045
10,11,1.0,0,0,0,0,0,1.5326820515438206
11,10,1.0,0,0,0,0,0,1.5326820515438206
11,12,1.0,0,0,0,0,0,1.5327110627752556
12,11,1.0,0,0,0,0,0,1.5327110627752556
12,13,1.0,0,0,0,0,0,1.530923921532527
13,12,1.0,0,0,0,0,0,1.530923921532527
13,14,1.0,0,0,0,0,0,1.5347715746362924
14,13,1.0,0,0,0,0,0,1.5347715746362924
14,15,1.0,0,0,0,0,0,1.539660616538517
15,14,1.0,0,0,0,0,0,1.539660616538517
15,16,1.0,0,0,0,0,0,1.433094980289808
16,15,1.0,0,0,0,0,0,1.433094980289808
15,17,1.0,0,0,0,0,0,1.5524076397971978
17,15,1.0,0,0,0,0,0,1.5524076397971978
17,18,1.0,0,0,0,0,0,1.5421981218760057
18,17,1.0,0,0,0,0,0,1.5421981218760057
18,19,1.0,0,0,0,0,0,1.4275537052238907
19,18,1.0,0,0,0,0,0,1.4275537052238907
17,20,1.0,0,0,0,0,0,1.468759855547673
20,17,1.0,0,0,0,0,0,1.468759855547673
20,21,1.0,1,0,0,0,0,1.376081792504198
21,20,1.0,1,0,0,0,0,1.376081792504198
21,22,2.0,1,0,0,0,0,1.2256686524641904
22,21,2.0,1,0,0,0,0,1.2256686524641904
21,23,1.0,0,0,0,0,0,1.516669637469477
23,21,1.0,0,0,0,0,0,1.516669637469477
23,24,1.0,0,0,0,0,0,1.528070113635811
24,23,1.0,0,0,0,0,0,1.528070113635811
24,25,1.0,0,0,0,0,0,1.5329850453965281
25,24,1.0,0,0,0,0,0,1.5329850453965281
25,26,1.0,0,0,0,0,0,1.5320020782675963
26,25,1.0,0,0,0,0,0,1.5320020782675963
26,27,1.0,0,0,0,0,0,1.5323134868007653
27,26,1.0,0,0,0,0,0,1.5323134868007653
27,28,1.0,0,0,0,0,0,1.5313572748059112
28,27,1.0,0,0,0,0,0,1.5313572748059112
28,29,1.0,0,0,0,0,0,1.5318071503472677
29,28,1.0,0,0,0,0,0,1.5318071503472677
29,30,1.0,0,0,0,0,0,1.5316380475137918
30,29,1.0,0,0,0,0,0,1.5316380475137918
30,31,1.0,0,0,0,0,0,1.532518913887804
31,30,1.0,0,0,0,0,0,1.532518913887804
31,32,1.0,0,0,0,0,0,1.5314538076198896
32,31,1.0,0,0,0,0,0,1.5314538076198896
32,33,1.0,0,0,0,0,0,1.5324794461578486
33,32,1.0,0,0,0,0,0,1.5324794461578486
33,34,1.0,0,0,0,0,0,1.5325529994356262
34,33,1.0,0,0,0,0,0,1.5325529994356262
34,35,1.0,0,0,0,0,0,1.5316445218798325
35,34,1.0,0,0,0,0,0,1.5316445218798325
35,36,1.0,0,0,0,0,0,1.5320796464176794
36,35,1.0,0,0,0,0,0,1.5320796464176794
36,37,1.0,0,0,0,0,0,1.5325127451766387
37,36,1.0,0,0,0,0,0,1.5325127451766387
37,38,1.0,0,0,0,0,0,1.5321383889725326
38,37,1.0,0,0,0,0,0,1.5321383889725326
38,39,1.0,0,0,0,0,0,1.5315232399163565
39,38,1.0,0,0,0,0,0,1.5315232399163565
39,40,1.0,0,0,0,0,0,1.5311336953858228
