source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5350433327342479
1,0,1.0,0,0,0,0,0,1.5350433327342479
1,2,1.0,0,0,0,0,0,1.4168757444047455
2,1,1.0,0,0,0,0,0,1.4168757444047455
2,3,1.0,0,0,0,0,0,1.6131831829518468
3,2,1.0,0,0,0,0,0,1.6131831829518468
3,4,2.0,0,0,0,0,0,1.5060406862829931
4,3,2.0,0,0,0,0,0,1.5060406862829931
3,5,1.0,0,0,0,0,0,1.504522309306525
5,3,1.0,0,0,0,0,0,1.504522309306525
3,6,1.0,0,0,0,0,0,1.630130047183895
6,3,1.0,0,0,0,0,0,1.630130047183895
6,7,1.0,0,0,0,0,0,1.4156422168560263
7,6,1.0,0,0,0,0,0,1.4156422168560263
7,8,1.0,0,0,0,0,0,1.5399291984682713
8,7,1.0,0,0,0,0,0,1.5399291984682713
8,9,1.0,0,0,0,0,0,1.5634061200395581
9,8,1.0,0,0,0,0,0,1.5634061200395581
9,10,1.0,0,0,0,0,0,1.5078006528977266
10,9,1.0,0,0,0,0,0,1.5078006528977266
9,11,1.0,0,0,0,0,0,1.520488796867242
11,9,1.0,0,0,0,0,0,1.520488796867242
9,12,1.0,0,0,0,0,0,1.5320178170275862
12,9,1.0,0,0,0,0,0,1.5320178170275862
0,13,1.0,0,0,0,0,0,1.447296316574422
13,0,1.0,0,0,0,0,0,1.447296316574422
13,14,1.0,1,0,0,0,0,1.360985586293313
14,13,1.0,1,0,0,0,0,1.360985586293313
14,15,1.0,0,0,0,0,0,1.511379150845546
15,14,1.0,0,0,0,0,0,1.511379150845546
15,16,1.0,0,0,0,0,0,1.5286962259446175
16,15,1.0,0,0,0,0,0,1.5286962259446175
16,17,1.0,0,0,0,0,0,1.5323585291847324
17,16,1.0,0,0,0,0,0,1.5323585291847324
17,18,1.0,0,0,0,0,0,1.5313845401649782
18,17,1.0,0,0,0,0,0,1.5313845401649782
18,19,1.0,0,0,0,0,0,1.5307947772894006
19,18,1.0,0,0,0,0,0,1.5307947772894006
19,20,1.0,0,0,0,0,0,1.5308736365154867
20,19,1.0,0,0,0,0,0,1.5308736365154867
20,21,1.0,0,0,0,0,0,1.5302162676407831
21,20,1.0,0,0,0,0,0,1.5302162676407831
21,22,1.0,0,0,0,0,0,1.5320685197764508
22,21,1.0,0,0,0,0,0,1.5320685197764508
22,23,1.0,0,0,0,0,0,1.5324544579366624
23,22,1.0,0,0,0,0,0,1.5324544579366624
23,24,1.0,0,0,0,0,0,1.532233079455385
24,23,1.0,0,0,0,0,0,1.532233079455385
24,25,1.0,0,0,0,0,0,1.532072610854058
25,24,1.0,0,0,0,0,0,1.532072610854058
