source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5296984392814819
1,0,1.0,0,0,0,0,0,1.5296984392814819
1,2,1.0,0,0,0,0,0,1.5298536764424189
2,1,1.0,0,0,0,0,0,1.5298536764424189
1,3,1.0,0,0,0,0,0,1.5407272543437924
3,1,1.0,0,0,0,0,0,1.5407272543437924
3,4,1.0,0,0,0,0,0,1.532407905408869
4,3,1.0,0,0,0,0,0,1.532407905408869
4,5,1.0,0,0,0,0,0,1.532371246967475
5,4,1.0,0,0,0,0,0,1.532371246967475
5,6,1.0,0,0,0,0,0,1.5321946287257056
6,5,1.0,0,0,0,0,0,1.5321946287257056
6,7,1.0,0,0,0,0,0,1.5303138746212983
7,6,1.0,0,0,0,0,0,1.5303138746212983
7,8,1.0,0,0,0,0,0,1.531400402863177
8,7,1.0,0,0,0,0,0,1.531400402863177
8,9,1.0,0,0,0,0,0,1.5325928517892398
9,8,1.0,0,0,0,0,0,1.5325928517892398
9,10,1.0,0,0,0,0,0,1.5335312227165971
10,9,1.0,0,0,0,0,0,1.5335312227165971
10,11,1.0,0,0,0,0,0,1.5332853737074517
11,10,1.0,0,0,0,0,0,1.5332853737074517
11,12,1.0,0,0,0,4,0,1.5047650577934693
12,11,1.0,0,0,0,4,0,1.5047650577934693
12,13,2.0,0,0,3,0,0,1.3437914774455104
13,12,2.0,0,0,3,0,0,1.3437914774455104
13,14,1.0,0,0,0,4,0,1.5079425288294261
14,13,1.0,0,0,0,4,0,1.5079425288294261
14,15,1.0,0,0,0,0,0,1.4322842813118348
15,14,1.0,0,0,0,0,0,1.4322842813118348
14,16,1.0,0,0,0,0,0,1.5567782401636692
16,14,1.0,0,0,0,0,0,1.5567782401636692
16,17,1.0,0,0,0,0,0,1.5426545629144361
17,16,1.0,0,0,0,0,0,1.5426545629144361
17,18,1.0,0,0,0,0,0,1.431165878633047
18,17,1.0,0,0,0,0,0,1.431165878633047
18,19,1.0,0,0,0,0,0,1.4287824890246144
19,18,1.0,0,0,0,0,0,1.4287824890246144
