source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.520661213835244
1,0,1.0,0,0,0,0,0,1.520661213835244
1,2,1.0,0,0,0,0,0,1.529478929829247
2,1,1.0,0,0,0,0,0,1.529478929829247
2,3,1.0,0,0,0,0,0,1.5323478964193311
3,2,1.0,0,0,0,0,0,1.5323478964193311
3,4,1.0,0,0,0,0,0,1.5326664466307278
4,3,1.0,0,0,0,0,0,1.5326664466307278
4,5,1.0,0,0,0,4,0,1.5026303063983852
5,4,1.0,0,0,0,4,0,1.5026303063983852
5,6,2.0,0,0,2,0,0,1.3432133918576008
6,5,2.0,0,0,2,0,0,1.3432133918576008
6,7,1.0,0,0,0,3,0,1.5027630061980823
7,6,1.0,0,0,0,3,0,1.5027630061980823
7,8,1.0,0,0,0,0,0,1.5304675780359127
8,7,1.0,0,0,0,0,0,1.5304675780359127
8,9,1.0,0,0,0,0,0,1.5322003286015184
9,8,1.0,0,0,0,0,0,1.5322003286015184
9,10,1.0,0,0,0,0,0,1.530886037669065
10,9,1.0,0,0,0,0,0,1.530886037669065
10,11,1.0,0,0,0,0,0,1.5307758807048546
11,10,1.0,0,0,0,0,0,1.5307758807048546
11,12,1.0,0,0,0,0,0,1.5328346118602938
12,11,1.0,0,0,0,0,0,1.5328346118602938
12,13,1.0,0,0,0,0,0,1.5285477983324942
13,12,1.0,0,0,0,0,0,1.5285477983324942
13,14,1.0,0,0,0,0,0,1.511557445942043
14,13,1.0,0,0,0,0,0,1.511557445942043
14,15,2.0,1,0,0,0,0,1.2244748673720252
15,14,2.0,1,0,0,0,0,1.2244748673720252
14,16,1.0,1,0,0,0,0,1.3560965978973236
16,14,1.0,1,0,0,0,0,1.3560965978973236
16,17,1.0,0,0,0,0,0,1.447237036896163
17,16,1.0,0,0,0,0,0,1.447237036896163
17,18,1.0,0,0,0,0,0,1.5335825965500343
18,17,1.0,0,0,0,0,0,1.5335825965500343
18,19,1.0,0,0,0,0,0,1.4390477080852802
19,18,1.0,0,0,0,0,0,1.4390477080852802
19,20,1.0,1,0,0,0,0,1.3595344372042888
20,19,1.0,1,0,0,0,0,1.3595344372042888
20,21,2.0,1,0,0,0,0,1.225004088534347
21,20,2.0,1,0,0,0,0,1.225004088534347
20,22,1.0,0,0,0,0,0,1.5105844344164912
22,20,1.0,0,0,0,0,0,1.5105844344164912
22,23,1.0,0,0,0,0,0,1.527928185394239
23,22,1.0,0,0,0,0,0,1.527928185394239
23,24,1.0,0,0,0,0,0,1.5315989191321668
24,23,1.0,0,0,0,0,0,1.5315989191321668
24,25,1.0,0,0,0,0,0,1.5323070517860706
25,24,1.0,0,0,0,0,0,1.5323070517860706
25,26,1.0,0,0,0,0,0,1.5300413421204389
26,25,1.0,0,0,0,0,0,1.5300413421204389
26,27,1.0,0,0,0,0,0,1.5324245073964349
27,26,1.0,0,0,0,0,0,1.5324245073964349
27,28,1.0,0,0,0,0,0,1.5330045598796318
28,27,1.0,0,0,0,0,0,1.5330045598796318
28,29,1.0,0,0,0,4,0,1.5039533086489083
29,28,1.0,0,0,0,4,0,1.5039533086489083
29,30,2.0,0,0,2,0,0,1.3433936024422855
30,29,2.0,0,0,2,0,0,1.3433936024422855
30,31,1.0,0,0,0,3,0,1.5028530470111758
31,30,1.0,0,0,0,3,0,1.5028530470111758
31,32,1.0,0,0,0,0,0,1.5311331234699062
32,31,1.0,0,0,0,0,0,1.5311331234699062
32,33,1.0,0,0,0,0,0,1.5314734645687955
33,32,1.0,0,0,0,0,0,1.5314734645687955
33,34,1.0,0,0,0,0,0,1.531509258979957
34,33,1.0,0,0,0,0,0,1.531509258979957
34,35,1.0,0,0,0,0,0,1.5310987262982025
35,34,1.0,0,0,0,0,0,1.5310987262982025
35,36,1.0,0,0,0,0,0,1.5321915800972112
36,35,1.0,0,0,0,0,0,1.5321915800972112
36,37,1.0,0,0,0,0,0,1.5300082386581881
37,36,1.0,0,0,0,0,0,1.5300082386581881
37,38,1.0,0,0,0,0,0,1.5207383654860764
38,37,1.0,0,0,0,0,0,1.5207383654860764
17,39,1.0,0,0,0,0,0,1.5325962443981396
39,17,1.0,0,0,0,0,0,1.5325962443981396
39,40,1.0,0,0,0,0,0,1.4188364988423792
40,39,1.0,0,0,0,0,0,1.4188364988423792
40,41,1.0,0,0,0,0,0,1.616914915066907
41,40,1.0,0,0,0,0,0,1.616914915066907
41,42,2.0,0,0,0,0,0,1.5038195595027573
42,41,2.0,0,0,0,0,0,1.5038195595027573
41,43,1.0,0,0,0,0,0,1.504732024876346
43,41,1.0,0,0,0,0,0,1.504732024876346
41,44,1.0,0,0,0,0,0,1.624917212335801
44,41,1.0,0,0,0,0,0,1.624917212335801
44,45,1.0,0,0,0,0,0,1.4135557694437666
45,44,1.0,0,0,0,0,0,1.4135557694437666
45,46,1.0,0,0,0,0,0,1.531543990065294
46,45,1.0,0,0,0,0,0,1.531543990065294
46,47,1.0,0,0,0,0,0,1.5515183727944417
47,46,1.0,0,0,0,0,0,1.5515183727944417
47,48,1.0,0,0,0,0,0,1.5146834382890477
48,47,1.0,0,0,0,0,0,1.5146834382890477
47,49,1.0,0,0,0,0,0,1.5243398019248542
49,47,1.0,0,0,0,0,0,1.5243398019248542
47,50,1.0,0,0,0,0,0,1.5278740341628765
50,47,1.0,0,0,0,0,0,1.5278740341628765
