source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.4302074089681482
1,0,1.0,0,0,0,0,0,1.4302074089681482
1,2,1.0,0,0,0,0,0,1.5391785822407609
2,1,1.0,0,0,0,0,0,1.5391785822407609
2,3,1.0,0,0,0,0,0,1.4711227093904904
3,2,1.0,0,0,0,0,0,1.4711227093904904
3,4,1.0,1,0,0,0,0,1.3779373241786852
4,3,1.0,1,0,0,0,0,1.3779373241786852
4,5,2.0,1,0,0,0,0,1.2253199973926479
5,4,2.0,1,0,0,0,0,1.2253199973926479
4,6,1.0,0,0,0,0,0,1.5177005044756922
6,4,1.0,0,0,0,0,0,1.5177005044756922
6,7,1.0,0,0,0,0,0,1.5285318688829588
7,6,1.0,0,0,0,0,0,1.5285318688829588
7,8,1.0,0,0,0,0,0,1.5327804225224753
8,7,1.0,0,0,0,0,0,1.5327804225224753
8,9,1.0,0,0,0,0,0,1.5319105552349566
9,8,1.0,0,0,0,0,0,1.5319105552349566
9,10,1.0,0,0,0,0,0,1.5322230693786587
10,9,1.0,0,0,0,0,0,1.5322230693786587
10,11,1.0,0,0,0,0,0,1.5324663530559122
11,10,1.0,0,0,0,0,0,1.5324663530559122
11,12,1.0,0,0,0,0,0,1.5332487407571607
12,11,1.0,0,0,0,0,0,1.5332487407571607
12,13,1.0,0,0,0,0,0,1.5322380301259306
13,12,1.0,0,0,0,0,0,1.5322380301259306
13,14,1.0,0,0,0,0,0,1.531901421380802
14,13,1.0,0,0,0,0,0,1.531901421380802
14,15,1.0,0,0,0,0,0,1.5323643640143676
15,14,1.0,0,0,0,0,0,1.5323643640143676
15,16,1.0,0,0,0,0,0,1.532174458823705
16,15,1.0,0,0,0,0,0,1.532174458823705
16,17,1.0,0,0,0,0,0,1.532361480082497
17,16,1.0,0,0,0,0,0,1.532361480082497
17,18,1.0,0,0,0,0,0,1.532508128582821
18,17,1.0,0,0,0,0,0,1.532508128582821
18,19,1.0,0,0,0,0,0,1.5316320299500505
19,18,1.0,0,0,0,0,0,1.5316320299500505
19,20,1.0,0,0,0,0,0,1.531723075785725
20,19,1.0,0,0,0,0,0,1.531723075785725
20,21,1.0,0,0,0,0,0,1.5322603896928746
21,20,1.0,0,0,0,0,0,1.5322603896928746
21,22,1.0,0,0,0,0,0,1.532040777258666
22,21,1.0,0,0,0,0,0,1.532040777258666
22,23,1.0,0,0,0,0,0,1.5318596674751888
23,22,1.0,0,0,0,0,0,1.5318596674751888
23,24,1.0,0,0,0,0,0,1.5323454067681972
24,23,1.0,0,0,0,0,0,1.5323454067681972
24,25,1.0,0,0,0,0,0,1.5315158116362941
25,24,1.0,0,0,0,0,0,1.5315158116362941
25,26,1.0,0,0,0,0,0,1.532907745059127
26,25,1.0,0,0,0,0,0,1.532907745059127
26,27,1.0,0,0,0,0,0,1.5326694483095402
27,26,1.0,0,0,0,0,0,1.5326694483095402
27,28,1.0,0,0,0,0,0,1.53097843085149
28,27,1.0,0,0,0,0,0,1.53097843085149
28,29,1.0,0,0,0,0,0,1.5313269011597528
29,28,1.0,0,0,0,0,0,1.5313269011597528
29,30,1.0,0,0,0,0,0,1.5322700160996974
30,29,1.0,0,0,0,0,0,1.5322700160996974
30,31,1.0,0,0,0,0,0,1.5315110976392303
31,30,1.0,0,0,0,0,0,1.5315110976392303
31,32,1.0,0,0,0,0,0,1.5315974742223473
32,31,1.0,0,0,0,0,0,1.5315974742223473
32,33,1.0,0,0,0,0,0,1.5298122424582317
33,32,1.0,0,0,0,0,0,1.5298122424582317
33,34,1.0,0,0,0,0,0,1.520953605663926
34,33,1.0,0,0,0,0,0,1.520953605663926
2,35,1.0,0,0,0,0,0,1.5538245664253312
35,2,1.0,0,0,0,0,0,1.5538245664253312
35,36,1.0,0,0,0,0,0,1.4390015054561915
36,35,1.0,0,0,0,0,0,1.4390015054561915
35,37,1.0,0,0,0,0,0,1.5501620569773953
37,35,1.0,0,0,0,0,0,1.5501620569773953
37,38,1.0,0,0,0,0,0,1.433087508228679
38,37,1.0,0,0,0,0,0,1.433087508228679
37,39,1.0,0,0,0,0,0,1.5383455014429588
39,37,1.0,0,0,0,0,0,1.5383455014429588
39,40,1.0,0,0,0,0,0,1.5339012951577704
40,39,1.0,0,0,0,0,0,1.5339012951577704
40,41,1.0,0,0,0,0,0,1.532446407996055
41,40,1.0,0,0,0,0,0,1.532446407996055
41,42,1.0,0,0,0,0,0,1.5313811775016994
42,41,1.0,0,0,0,0,0,1.5313811775016994
42,43,1.0,0,0,0,0,0,1.532949036022189
43,42,1.0,0,0,0,0,0,1.532949036022189
43,44,1.0,0,0,0,0,0,1.532922570813508
44,43,1.0,0,0,0,0,0,1.532922570813508
44,45,1.0,0,0,0,0,0,1.5325326631335665
45,44,1.0,0,0,0,0,0,1.5325326631335665
45,46,1.0,0,0,0,0,0,1.5323847957389163
46,45,1.0,0,0,0,0,0,1.5323847957389163
46,47,1.0,0,0,0,0,0,1.5319847175072125
47,46,1.0,0,0,0,0,0,1.5319847175072125
47,48,1.0,0,0,0,0,0,1.531415856231729
48,47,1.0,0,0,0,0,0,1.531415856231729
48,49,1.0,0,0,0,0,0,1.5309888398109603
49,48,1.0,0,0,0,0,0,1.5309888398109603
49,50,1.0,0,0,0,0,0,1.5317781960815842
50,49,1.0,0,0,0,0,0,1.5317781960815842
50,51,1.0,0,0,0,0,0,1.530181240694264
51,50,1.0,0,0,0,0,0,1.530181240694264
51,52,1.0,0,0,0,0,0,1.521106753923149
52,51,1.0,0,0,0,0,0,1.521106753923149
