source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5213395125719906
1,0,1.0,0,0,0,0,0,1.5213395125719906
1,2,1.0,0,0,0,0,0,1.529008567224481
2,1,1.0,0,0,0,0,0,1.529008567224481
2,3,1.0,0,0,0,0,0,1.5300403106302314
3,2,1.0,0,0,0,0,0,1.5300403106302314
3,4,1.0,0,0,0,4,0,1.5034410827957385
4,3,1.0,0,0,0,4,0,1.5034410827957385
4,5,2.0,0,0,2,0,0,1.3430795331662417
5,4,2.0,0,0,2,0,0,1.3430795331662417
5,6,1.0,0,0,0,3,0,1.503840813491546
6,5,1.0,0,0,0,3,0,1.503840813491546
6,7,1.0,0,0,0,0,0,1.532369856602713
7,6,1.0,0,0,0,0,0,1.532369856602713
7,8,1.0,0,0,0,0,0,1.5347392791367291
8,7,1.0,0,0,0,0,0,1.5347392791367291
8,9,1.0,0,0,0,0,0,1.530918409691951
9,8,1.0,0,0,0,0,0,1.530918409691951
9,10,1.0,0,0,0,0,0,1.5341443451332843
10,9,1.0,0,0,0,0,0,1.5341443451332843
10,11,1.0,0,0,0,0,0,1.5327187521080397
11,10,1.0,0,0,0,0,0,1.5327187521080397
11,12,1.0,0,0,0,0,0,1.5289634223482862
12,11,1.0,0,0,0,0,0,1.5289634223482862
12,13,1.0,0,0,0,0,0,1.5323969964026876
13,12,1.0,0,0,0,0,0,1.5323969964026876
13,14,1.0,0,0,0,0,0,1.533028185333488
14,13,1.0,0,0,0,0,0,1.533028185333488
14,15,1.0,0,0,0,0,0,1.529868052428519
15,14,1.0,0,0,0,0,0,1.529868052428519
15,16,1.0,0,0,0,0,0,1.5266872958878366
16,15,1.0,0,0,0,0,0,1.5266872958878366
16,17,1.0,0,0,0,0,0,1.5090334536195829
17,16,1.0,0,0,0,0,0,1.5090334536195829
17,18,2.0,1,0,0,0,0,1.225299898062163
18,17,2.0,1,0,0,0,0,1.225299898062163
17,19,1.0,1,0,0,0,0,1.359596484085419
19,17,1.0,1,0,0,0,0,1.359596484085419
19,20,1.0,0,0,0,0,0,1.4464632394699366
20,19,1.0,0,0,0,0,0,1.4464632394699366
20,21,1.0,0,0,0,0,0,1.5300848675410734
21,20,1.0,0,0,0,0,0,1.5300848675410734
21,22,1.0,0,0,0,0,0,1.4364428542805225
22,21,1.0,0,0,0,0,0,1.4364428542805225
22,23,1.0,1,0,0,0,0,1.3571778208916472
23,22,1.0,1,0,0,0,0,1.3571778208916472
23,24,2.0,1,0,0,0,0,1.2249858672121812
24,23,2.0,1,0,0,0,0,1.2249858672121812
23,25,1.0,0,0,0,0,0,1.5103390526680855
25,23,1.0,0,0,0,0,0,1.5103390526680855
25,26,1.0,0,0,0,0,0,1.52949007731473
26,25,1.0,0,0,0,0,0,1.52949007731473
26,27,1.0,0,0,0,0,0,1.5338483542168007
27,26,1.0,0,0,0,0,0,1.5338483542168007
27,28,1.0,0,0,0,0,0,1.529858600304009
28,27,1.0,0,0,0,0,0,1.529858600304009
28,29,1.0,0,0,0,0,0,1.5335909537231711
29,28,1.0,0,0,0,0,0,1.5335909537231711
29,30,1.0,0,0,0,0,0,1.5314409836199883
30,29,1.0,0,0,0,0,0,1.5314409836199883
30,31,1.0,0,0,0,0,0,1.5290121614187535
31,30,1.0,0,0,0,0,0,1.5290121614187535
31,32,1.0,0,0,0,0,0,1.531000486314205
32,31,1.0,0,0,0,0,0,1.531000486314205
32,33,1.0,0,0,0,0,0,1.529643744053883
33,32,1.0,0,0,0,0,0,1.529643744053883
