source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5207827119169937
1,0,1.0,0,0,0,0,0,1.5207827119169937
1,2,1.0,0,0,0,0,0,1.5307118380219797
2,1,1.0,0,0,0,0,0,1.5307118380219797
2,3,1.0,0,0,0,0,0,1.5321831345693508
3,2,1.0,0,0,0,0,0,1.5321831345693508
3,4,1.0,0,0,0,4,0,1.5033038944110793
4,3,1.0,0,0,0,4,0,1.5033038944110793
4,5,2.0,0,0,2,0,0,1.3435961744783895
5,4,2.0,0,0,2,0,0,1.3435961744783895
5,6,1.0,0,0,0,3,0,1.5025502716083294
6,5,1.0,0,0,0,3,0,1.5025502716083294
6,7,1.0,0,0,0,4,0,1.502375411584293
7,6,1.0,0,0,0,4,0,1.502375411584293
7,8,2.0,0,0,2,0,0,1.3440458913106714
8,7,2.0,0,0,2,0,0,1.3440458913106714
8,9,1.0,0,0,0,3,0,1.5026883654969798
9,8,1.0,0,0,0,3,0,1.5026883654969798
9,10,1.0,0,0,0,0,0,1.5322874796742016
10,9,1.0,0,0,0,0,0,1.5322874796742016
10,11,1.0,0,0,0,0,0,1.5318523016803096
11,10,1.0,0,0,0,0,0,1.5318523016803096
11,12,1.0,0,0,0,0,0,1.5312668400664815
12,11,1.0,0,0,0,0,0,1.5312668400664815
12,13,1.0,0,0,0,0,0,1.5319179758941457
13,12,1.0,0,0,0,0,0,1.5319179758941457
13,14,1.0,0,0,0,0,0,1.5319978478812035
14,13,1.0,0,0,0,0,0,1.5319978478812035
14,15,1.0,0,0,0,0,0,1.5278542927374628
15,14,1.0,0,0,0,0,0,1.5278542927374628
15,16,1.0,0,0,0,0,0,1.5104594511941651
16,15,1.0,0,0,0,0,0,1.5104594511941651
16,17,2.0,1,0,0,0,0,1.2229598428041981
17,16,2.0,1,0,0,0,0,1.2229598428041981
16,18,1.0,1,0,0,0,0,1.3603102153441167
18,16,1.0,1,0,0,0,0,1.3603102153441167
18,19,1.0,0,0,0,0,0,1.4416549877044595
19,18,1.0,0,0,0,0,0,1.4416549877044595
19,20,1.0,0,0,0,0,0,1.5332452623183472
20,19,1.0,0,0,0,0,0,1.5332452623183472
20,21,1.0,0,0,0,0,0,1.5304107833876737
21,20,1.0,0,0,0,0,0,1.5304107833876737
21,22,1.0,0,0,0,0,0,1.4198156234809272
22,21,1.0,0,0,0,0,0,1.4198156234809272
22,23,1.0,0,0,0,0,0,1.6162222087750924
23,22,1.0,0,0,0,0,0,1.6162222087750924
23,24,2.0,0,0,0,0,0,1.5035932279991622
24,23,2.0,0,0,0,0,0,1.5035932279991622
23,25,1.0,0,0,0,0,0,1.5054812275695288
25,23,1.0,0,0,0,0,0,1.5054812275695288
23,26,1.0,0,0,0,0,0,1.6225303742366595
26,23,1.0,0,0,0,0,0,1.6225303742366595
26,27,1.0,0,0,0,0,0,1.4130623392594326
27,26,1.0,0,0,0,0,0,1.4130623392594326
27,28,1.0,0,0,0,0,0,1.5321860000168277
28,27,1.0,0,0,0,0,0,1.5321860000168277
28,29,1.0,0,0,0,0,0,1.5514372194559525
29,28,1.0,0,0,0,0,0,1.5514372194559525
29,30,1.0,0,0,0,0,0,1.5244847506903865
30,29,1.0,0,0,0,0,0,1.5244847506903865
29,31,1.0,0,0,0,0,0,1.5255135679359415
31,29,1.0,0,0,0,0,0,1.5255135679359415
29,32,1.0,0,0,0,0,0,1.5174185007054353
32,29,1.0,0,0,0,0,0,1.5174185007054353
20,33,1.0,0,0,0,0,0,1.4483589966300365
33,20,1.0,0,0,0,0,0,1.4483589966300365
33,34,1.0,1,0,0,0,0,1.3572818250982897
34,33,1.0,1,0,0,0,0,1.3572818250982897
34,35,2.0,1,0,0,0,0,1.2240975046122065
35,34,2.0,1,0,0,0,0,1.2240975046122065
34,36,1.0,0,0,0,0,0,1.5095419349068118
36,34,1.0,0,0,0,0,0,1.5095419349068118
36,37,1.0,0,0,0,0,0,1.527948972344267
37,36,1.0,0,0,0,0,0,1.527948972344267
37,38,1.0,0,0,0,0,0,1.5327904488924005
38,37,1.0,0,0,0,0,0,1.5327904488924005
38,39,1.0,0,0,0,0,0,1.5322431065612816
39,38,1.0,0,0,0,0,0,1.5322431065612816
39,40,1.0,0,0,0,0,0,1.530908022470105
40,39,1.0,0,0,0,0,0,1.530908022470105
40,41,1.0,0,0,0,0,0,1.5314799110852095
41,40,1.0,0,0,0,0,0,1.5314799110852095
41,42,1.0,0,0,0,0,0,1.53234584793661
42,41,1.0,0,0,0,0,0,1.53234584793661
42,43,1.0,0,0,0,0,0,1.5318309160634995
43,42,1.0,0,0,0,0,0,1.5318309160634995
43,44,1.0,0,0,0,0,0,1.5311158617145573
44,43,1.0,0,0,0,0,0,1.5311158617145573
44,45,1.0,0,0,0,0,0,1.531709055398393
45,44,1.0,0,0,0,0,0,1.531709055398393
45,46,1.0,0,0,0,0,0,1.530652978160866
46,45,1.0,0,0,0,0,0,1.530652978160866
46,47,1.0,0,0,0,0,0,1.5306727353412657
47,46,1.0,0,0,0,0,0,1.5306727353412657
47,48,1.0,0,0,0,0,0,1.529433025610228
48,47,1.0,0,0,0,0,0,1.529433025610228
48,49,1.0,0,0,0,0,0,1.520830833455467
49,48,1.0,0,0,0,0,0,1.520830833455467
