atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063182704,0.02631578947368421
2,6,0,2,4,0,0,0,0,2,12.011,-0.05356864271905036,0.05263157894736842
3,6,0,2,4,0,0,0,0,2,12.011,-0.053316030800072294,0.07894736842105263
4,6,0,2,4,0,0,0,0,2,12.011,-0.053305960030673456,0.10526315789473684
5,6,0,2,4,0,0,0,0,2,12.011,-0.053295025240741124,0.13157894736842105
6,6,0,2,4,0,0,0,0,2,12.011,-0.05301106352997276,0.15789473684210525
7,6,0,2,4,0,0,0,0,2,12.011,-0.04982501703074705,0.18421052631578946
8,6,0,2,4,0,0,0,0,2,12.011,-0.035073467390462444,0.21052631578947367
9,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884,0.23684210526315788
10,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215613828,0.2631578947368421
11,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461364,0.2894736842105263
12,6,0,2,4,0,0,0,0,2,12.011,-0.049825015426065926,0.3157894736842105
13,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096483504,0.34210526315789475
14,6,0,2,4,0,0,0,0,2,12.011,-0.05327962203832768,0.3684210526315789
15,6,0,2,4,0,0,0,0,2,12.011,-0.0527478239612063,0.39473684210526316
16,6,0,2,4,0,0,0,0,2,12.011,-0.04278333650097684,0.42105263157894735
17,6,0,2,4,0,0,0,0,2,12.011,0.045503081092782956,0.4473684210526316
18,6,0,3,3,0,0,0,0,0,12.011,0.30541557304048067,0.47368421052631576
19,8,0,1,3,0,0,0,0,0,15.999,-0.25229764155829826,0.5
20,8,0,2,3,0,0,0,0,0,15.999,-0.4616281734359622,0.5
21,6,0,2,4,0,0,0,0,2,12.011,0.1305566763231715,0.5263157894736842
22,6,0,3,4,0,0,2,1,1,12.011,0.15953034100268254,0.5526315789473685
23,6,0,2,4,0,0,0,0,2,12.011,0.09906639178516113,0.5789473684210527
24,8,0,2,4,0,0,0,0,0,15.999,-0.28295178197940385,0.6052631578947368
25,15,0,4,4,0,0,0,1,0,30.974,0.47185923902497584,0.631578947368421
26,8,0,1,3,0,0,0,0,0,15.999,-0.22811573216615202,0.6578947368421053
27,8,0,1,4,0,0,0,0,1,15.999,-0.302493280978392,0.6578947368421053
28,8,0,2,4,0,0,0,0,0,15.999,-0.2856744169745546,0.6578947368421053
29,6,0,2,4,0,0,0,0,2,12.011,0.0708092457307307,0.6842105263157895
30,6,0,2,4,0,0,0,0,2,12.011,0.01655901295458745,0.7105263157894737
31,7,0,1,4,0,0,0,0,2,14.007,-0.32823384187988364,0.7368421052631579
32,8,0,2,3,0,0,0,0,0,15.999,-0.45621842036133037,0.5789473684210527
33,6,0,3,3,0,0,0,0,0,12.011,0.30576582160090876,0.6052631578947368
34,8,0,1,3,0,0,0,0,0,15.999,-0.25228433694092306,0.631578947368421
35,6,0,2,4,0,0,0,0,2,12.011,0.04551623840167547,0.631578947368421
36,6,0,2,4,0,0,0,0,2,12.011,-0.0427831190792017,0.6578947368421053
37,6,0,2,4,0,0,0,0,2,12.011,-0.05274800729363011,0.6842105263157895
38,6,0,2,4,0,0,0,0,2,12.011,-0.05329057095479251,0.7105263157894737
39,6,0,2,4,0,0,0,0,2,12.011,-0.05330575236084003,0.7368421052631579
40,6,0,2,4,0,0,0,0,2,12.011,-0.053305971184599135,0.7631578947368421
41,6,0,2,4,0,0,0,0,2,12.011,-0.053305972783275674,0.7894736842105263
42,6,0,2,4,0,0,0,0,2,12.011,-0.053305972789114885,0.8157894736842105
43,6,0,2,4,0,0,0,0,2,12.011,-0.05330597279436938,0.8421052631578947
44,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466,0.868421052631579
45,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844,0.8947368421052632
46,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.9210526315789473
47,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.9473684210526315
48,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.9736842105263158
49,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
