source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5203626097535126
1,0,1.0,0,0,0,0,0,1.5203626097535126
1,2,1.0,0,0,0,4,0,1.5013029597586678
2,1,1.0,0,0,0,4,0,1.5013029597586678
2,3,2.0,0,0,2,0,0,1.3438411120324543
3,2,2.0,0,0,2,0,0,1.3438411120324543
3,4,1.0,0,0,0,3,0,1.5022854136042498
4,3,1.0,0,0,0,3,0,1.5022854136042498
4,5,1.0,0,0,0,4,0,1.501521276851017
5,4,1.0,0,0,0,4,0,1.501521276851017
5,6,2.0,0,0,2,0,0,1.344276110707194
6,5,2.0,0,0,2,0,0,1.344276110707194
6,7,1.0,0,0,0,3,0,1.5020592691580752
7,6,1.0,0,0,0,3,0,1.5020592691580752
7,8,1.0,0,0,0,4,0,1.5026353131164778
8,7,1.0,0,0,0,4,0,1.5026353131164778
8,9,2.0,0,0,2,0,0,1.34465637587165
9,8,2.0,0,0,2,0,0,1.34465637587165
9,10,1.0,0,0,0,3,0,1.5004034236774504
10,9,1.0,0,0,0,3,0,1.5004034236774504
10,11,1.0,0,0,0,4,0,1.5027397095089974
11,10,1.0,0,0,0,4,0,1.5027397095089974
11,12,2.0,0,0,2,0,0,1.3443105776834696
12,11,2.0,0,0,2,0,0,1.3443105776834696
12,13,1.0,0,0,0,3,0,1.5007604869134317
13,12,1.0,0,0,0,3,0,1.5007604869134317
13,14,1.0,0,0,0,4,0,1.5024061343380057
14,13,1.0,0,0,0,4,0,1.5024061343380057
14,15,2.0,0,0,2,0,0,1.3437509136857384
15,14,2.0,0,0,2,0,0,1.3437509136857384
15,16,1.0,0,0,0,3,0,1.5024276781439614
16,15,1.0,0,0,0,3,0,1.5024276781439614
16,17,1.0,0,0,0,0,0,1.5319328967498234
17,16,1.0,0,0,0,0,0,1.5319328967498234
17,18,1.0,0,0,0,0,0,1.5319195678229107
18,17,1.0,0,0,0,0,0,1.5319195678229107
18,19,1.0,0,0,0,0,0,1.53189234579539
19,18,1.0,0,0,0,0,0,1.53189234579539
19,20,1.0,0,0,0,0,0,1.5269715119414327
20,19,1.0,0,0,0,0,0,1.5269715119414327
20,21,1.0,0,0,0,0,0,1.5079291857336408
21,20,1.0,0,0,0,0,0,1.5079291857336408
21,22,2.0,1,0,0,0,0,1.223282077018018
22,21,2.0,1,0,0,0,0,1.223282077018018
21,23,1.0,1,0,0,0,0,1.360246458889579
23,21,1.0,1,0,0,0,0,1.360246458889579
23,24,1.0,0,0,0,0,0,1.4388829520822757
24,23,1.0,0,0,0,0,0,1.4388829520822757
24,25,1.0,0,0,0,0,0,1.5349432344264322
25,24,1.0,0,0,0,0,0,1.5349432344264322
25,26,1.0,0,0,0,0,0,1.5343271575549544
26,25,1.0,0,0,0,0,0,1.5343271575549544
26,27,1.0,0,0,0,0,0,1.438344274127415
27,26,1.0,0,0,0,0,0,1.438344274127415
27,28,1.0,1,0,0,0,0,1.3611974710679187
28,27,1.0,1,0,0,0,0,1.3611974710679187
28,29,2.0,1,0,0,0,0,1.2227051924735122
29,28,2.0,1,0,0,0,0,1.2227051924735122
28,30,1.0,0,0,0,0,0,1.5102220590755617
30,28,1.0,0,0,0,0,0,1.5102220590755617
30,31,1.0,0,0,0,0,0,1.528084745438666
31,30,1.0,0,0,0,0,0,1.528084745438666
31,32,1.0,0,0,0,0,0,1.5317634178846444
32,31,1.0,0,0,0,0,0,1.5317634178846444
32,33,1.0,0,0,0,0,0,1.531250615097433
33,32,1.0,0,0,0,0,0,1.531250615097433
33,34,1.0,0,0,0,0,0,1.5315351278131186
34,33,1.0,0,0,0,0,0,1.5315351278131186
34,35,1.0,0,0,0,0,0,1.5312108511605094
35,34,1.0,0,0,0,0,0,1.5312108511605094
35,36,1.0,0,0,0,0,0,1.5310700153509424
36,35,1.0,0,0,0,0,0,1.5310700153509424
36,37,1.0,0,0,0,0,0,1.530759040195637
37,36,1.0,0,0,0,0,0,1.530759040195637
37,38,1.0,0,0,0,0,0,1.5313272259905997
38,37,1.0,0,0,0,0,0,1.5313272259905997
38,39,1.0,0,0,0,0,0,1.52932610491842
39,38,1.0,0,0,0,0,0,1.52932610491842
39,40,1.0,0,0,0,0,0,1.52077138809841
40,39,1.0,0,0,0,0,0,1.52077138809841
25,41,1.0,0,0,0,0,0,1.4472239826166127
41,25,1.0,0,0,0,0,0,1.4472239826166127
41,42,1.0,1,0,0,0,0,1.3596210905396693
42,41,1.0,1,0,0,0,0,1.3596210905396693
42,43,2.0,1,0,0,0,0,1.2227976373683795
43,42,2.0,1,0,0,0,0,1.2227976373683795
42,44,1.0,0,0,0,0,0,1.508797583463498
44,42,1.0,0,0,0,0,0,1.508797583463498
44,45,1.0,0,0,0,0,0,1.5276445047000116
45,44,1.0,0,0,0,0,0,1.5276445047000116
45,46,1.0,0,0,0,0,0,1.5321366124141211
46,45,1.0,0,0,0,0,0,1.5321366124141211
46,47,1.0,0,0,0,0,0,1.5306010503312664
47,46,1.0,0,0,0,0,0,1.5306010503312664
47,48,1.0,0,0,0,0,0,1.530856122290298
48,47,1.0,0,0,0,0,0,1.530856122290298
48,49,1.0,0,0,0,0,0,1.5312528220352482
49,48,1.0,0,0,0,0,0,1.5312528220352482
49,50,1.0,0,0,0,0,0,1.5305755632136218
50,49,1.0,0,0,0,0,0,1.5305755632136218
