atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538238175449311,1.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056171482041511185,0.9629629629629629
2,6,0,2,4,0,0,0,0,2,12.011,-0.05355769374956196,0.9259259259259259
3,6,0,2,4,0,0,0,0,2,12.011,-0.05302112295305338,0.8888888888888888
4,6,0,2,4,0,0,0,0,2,12.011,-0.04982518931521081,0.8518518518518519
5,6,0,2,4,0,0,0,0,2,12.011,-0.03507346876911375,0.8148148148148148
6,6,0,2,3,0,0,0,0,1,12.011,-0.08853928216145977,0.7777777777777778
7,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215615839,0.7407407407407407
8,6,0,2,4,0,0,0,0,2,12.011,-0.035073467390462444,0.7037037037037037
9,6,0,2,4,0,0,0,0,2,12.011,-0.04982501703072693,0.6666666666666666
10,6,0,2,4,0,0,0,0,2,12.011,-0.05301106351887899,0.6296296296296297
11,6,0,2,4,0,0,0,0,2,12.011,-0.05329502225950564,0.5925925925925926
12,6,0,2,4,0,0,0,0,2,12.011,-0.0533055673283818,0.5555555555555556
13,6,0,2,4,0,0,0,0,2,12.011,-0.053290569491440024,0.5185185185185185
14,6,0,2,4,0,0,0,0,2,12.011,-0.052748009012891554,0.48148148148148145
15,6,0,2,4,0,0,0,0,2,12.011,-0.042783344583570436,0.4444444444444444
16,6,0,2,4,0,0,0,0,2,12.011,0.045502282260711416,0.4074074074074074
17,6,0,3,3,0,0,0,0,0,12.011,0.30537410365294515,0.37037037037037035
18,8,0,1,3,0,0,0,0,0,15.999,-0.2522984328761486,0.4074074074074074
19,8,0,2,3,0,0,0,0,0,15.999,-0.46282291443650997,0.3333333333333333
20,6,0,2,4,0,0,0,0,2,12.011,0.11945247577902988,0.2962962962962963
21,6,0,3,4,0,0,1,1,1,12.011,0.1119996281906715,0.25925925925925924
22,8,0,1,4,0,0,0,0,1,15.999,-0.38713128009083597,0.2962962962962963
23,6,0,2,4,0,0,0,0,2,12.011,0.08790206558104263,0.2222222222222222
24,8,0,2,4,0,0,0,0,0,15.999,-0.28413707548603356,0.18518518518518517
25,15,0,4,4,0,0,0,1,0,30.974,0.4718184965533102,0.14814814814814814
26,8,0,1,3,0,0,0,0,0,15.999,-0.22811648348830618,0.18518518518518517
27,8,0,1,4,0,0,0,0,1,15.999,-0.30249375609049917,0.18518518518518517
28,8,0,2,4,0,0,0,0,0,15.999,-0.28567489181366174,0.1111111111111111
29,6,0,2,4,0,0,0,0,2,12.011,0.07080924067504782,0.07407407407407407
30,6,0,2,4,0,0,0,0,2,12.011,0.016559012934408073,0.037037037037037035
31,7,0,1,4,0,0,0,0,2,14.007,-0.3282338418799216,0.0
