source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.521250801322903
1,0,1.0,0,0,0,0,0,1.521250801322903
1,2,1.0,0,0,0,4,0,1.5011433116206274
2,1,1.0,0,0,0,4,0,1.5011433116206274
2,3,2.0,0,0,2,0,0,1.3436134750935553
3,2,2.0,0,0,2,0,0,1.3436134750935553
3,4,1.0,0,0,0,3,0,1.5018829468184531
4,3,1.0,0,0,0,3,0,1.5018829468184531
4,5,1.0,0,0,0,4,0,1.5018026378704867
5,4,1.0,0,0,0,4,0,1.5018026378704867
5,6,2.0,0,0,2,0,0,1.3443966193976347
6,5,2.0,0,0,2,0,0,1.3443966193976347
6,7,1.0,0,0,0,3,0,1.502164738850599
7,6,1.0,0,0,0,3,0,1.502164738850599
7,8,1.0,0,0,0,4,0,1.503103283951761
8,7,1.0,0,0,0,4,0,1.503103283951761
8,9,2.0,0,0,2,0,0,1.3438257908359739
9,8,2.0,0,0,2,0,0,1.3438257908359739
9,10,1.0,0,0,0,3,0,1.5030052944272287
10,9,1.0,0,0,0,3,0,1.5030052944272287
10,11,1.0,0,0,0,0,0,1.5310492933151065
11,10,1.0,0,0,0,0,0,1.5310492933151065
11,12,1.0,0,0,0,0,0,1.5314239763724058
12,11,1.0,0,0,0,0,0,1.5314239763724058
12,13,1.0,0,0,0,0,0,1.5309478224787856
13,12,1.0,0,0,0,0,0,1.5309478224787856
13,14,1.0,0,0,0,0,0,1.53162873066304
14,13,1.0,0,0,0,0,0,1.53162873066304
14,15,1.0,0,0,0,0,0,1.5307707692881796
15,14,1.0,0,0,0,0,0,1.5307707692881796
15,16,1.0,0,0,0,0,0,1.5266477020688707
16,15,1.0,0,0,0,0,0,1.5266477020688707
16,17,1.0,0,0,0,0,0,1.5093552798964107
17,16,1.0,0,0,0,0,0,1.5093552798964107
17,18,2.0,1,0,0,0,0,1.2233381661849516
18,17,2.0,1,0,0,0,0,1.2233381661849516
17,19,1.0,1,0,0,0,0,1.3596033008018407
19,17,1.0,1,0,0,0,0,1.3596033008018407
19,20,1.0,0,0,0,0,0,1.4370240639471246
20,19,1.0,0,0,0,0,0,1.4370240639471246
20,21,1.0,0,0,0,0,0,1.5345701493620583
21,20,1.0,0,0,0,0,0,1.5345701493620583
21,22,1.0,0,0,0,0,0,1.5327997873421864
22,21,1.0,0,0,0,0,0,1.5327997873421864
22,23,1.0,0,0,0,0,0,1.421565802298431
23,22,1.0,0,0,0,0,0,1.421565802298431
23,24,1.0,0,0,0,0,0,1.6029515672536934
24,23,1.0,0,0,0,0,0,1.6029515672536934
24,25,2.0,0,0,0,0,0,1.4911291506641848
25,24,2.0,0,0,0,0,0,1.4911291506641848
24,26,1.0,0,0,0,0,0,1.6011167750379365
26,24,1.0,0,0,0,0,0,1.6011167750379365
24,27,1.0,0,0,0,0,0,1.6040846258793846
27,24,1.0,0,0,0,0,0,1.6040846258793846
27,28,1.0,0,0,0,0,0,1.4289827790334442
28,27,1.0,0,0,0,0,0,1.4289827790334442
28,29,1.0,0,1,0,0,0,1.5406054615634242
29,28,1.0,0,1,0,0,0,1.5406054615634242
29,30,1.0,0,0,0,0,0,1.4372974270976189
30,29,1.0,0,0,0,0,0,1.4372974270976189
29,31,1.0,0,1,0,0,0,1.541710712572296
31,29,1.0,0,1,0,0,0,1.541710712572296
31,32,1.0,0,0,0,0,0,1.4375678534121685
32,31,1.0,0,0,0,0,0,1.4375678534121685
31,33,1.0,0,1,0,0,0,1.5393988739694477
33,31,1.0,0,1,0,0,0,1.5393988739694477
33,34,1.0,0,0,0,0,0,1.433397775364766
34,33,1.0,0,0,0,0,0,1.433397775364766
33,35,1.0,0,1,0,0,0,1.535095435145885
35,33,1.0,0,1,0,0,0,1.535095435145885
35,36,1.0,0,0,0,0,0,1.4345677518897324
36,35,1.0,0,0,0,0,0,1.4345677518897324
35,37,1.0,0,1,0,0,0,1.5376259916092943
37,35,1.0,0,1,0,0,0,1.5376259916092943
37,38,1.0,0,0,0,0,0,1.4372292346512643
38,37,1.0,0,0,0,0,0,1.4372292346512643
21,39,1.0,0,0,0,0,0,1.4466931115364565
39,21,1.0,0,0,0,0,0,1.4466931115364565
39,40,1.0,1,0,0,0,0,1.3601063961771729
40,39,1.0,1,0,0,0,0,1.3601063961771729
40,41,2.0,1,0,0,0,0,1.2234673158282638
41,40,2.0,1,0,0,0,0,1.2234673158282638
40,42,1.0,0,0,0,0,0,1.5096063520681025
42,40,1.0,0,0,0,0,0,1.5096063520681025
42,43,1.0,0,0,0,0,0,1.5277624460248795
43,42,1.0,0,0,0,0,0,1.5277624460248795
43,44,1.0,0,0,0,0,0,1.5314662904431209
44,43,1.0,0,0,0,0,0,1.5314662904431209
44,45,1.0,0,0,0,0,0,1.5309062511431752
45,44,1.0,0,0,0,0,0,1.5309062511431752
45,46,1.0,0,0,0,0,0,1.5311499287970924
46,45,1.0,0,0,0,0,0,1.5311499287970924
46,47,1.0,0,0,0,0,0,1.532174246256751
47,46,1.0,0,0,0,0,0,1.532174246256751
47,48,1.0,0,0,0,0,0,1.531507046315698
48,47,1.0,0,0,0,0,0,1.531507046315698
48,49,1.0,0,0,0,0,0,1.5322113923130674
49,48,1.0,0,0,0,0,0,1.5322113923130674
49,50,1.0,0,0,0,0,0,1.5324048114765216
50,49,1.0,0,0,0,0,0,1.5324048114765216
50,51,1.0,0,0,0,4,0,1.5028541513052538
51,50,1.0,0,0,0,4,0,1.5028541513052538
51,52,2.0,0,0,2,0,0,1.3432333620306456
52,51,2.0,0,0,2,0,0,1.3432333620306456
52,53,1.0,0,0,0,3,0,1.5039134868660269
53,52,1.0,0,0,0,3,0,1.5039134868660269
53,54,1.0,0,0,0,0,0,1.5318527755479354
54,53,1.0,0,0,0,0,0,1.5318527755479354
54,55,1.0,0,0,0,0,0,1.533046634476921
55,54,1.0,0,0,0,0,0,1.533046634476921
55,56,1.0,0,0,0,0,0,1.5314513117382735
56,55,1.0,0,0,0,0,0,1.5314513117382735
56,57,1.0,0,0,0,0,0,1.5313134940328053
57,56,1.0,0,0,0,0,0,1.5313134940328053
57,58,1.0,0,0,0,0,0,1.5313229485451099
58,57,1.0,0,0,0,0,0,1.5313229485451099
58,59,1.0,0,0,0,0,0,1.530106442413054
59,58,1.0,0,0,0,0,0,1.530106442413054
59,60,1.0,0,0,0,0,0,1.5209014159133845
60,59,1.0,0,0,0,0,0,1.5209014159133845
37,28,1.0,0,1,0,0,0,1.5405206536201816
28,37,1.0,0,1,0,0,0,1.5405206536201816
