source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5211500770832491
1,0,1.0,0,0,0,0,0,1.5211500770832491
1,2,1.0,0,0,0,0,0,1.5304011203485783
2,1,1.0,0,0,0,0,0,1.5304011203485783
2,3,1.0,0,0,0,0,0,1.5308369144192469
3,2,1.0,0,0,0,0,0,1.5308369144192469
3,4,1.0,0,0,0,0,0,1.5305575161793061
4,3,1.0,0,0,0,0,0,1.5305575161793061
4,5,1.0,0,0,0,4,0,1.5026131929329059
5,4,1.0,0,0,0,4,0,1.5026131929329059
5,6,2.0,0,0,2,0,0,1.3430494331942624
6,5,2.0,0,0,2,0,0,1.3430494331942624
6,7,1.0,0,0,0,3,0,1.5028579453929418
7,6,1.0,0,0,0,3,0,1.5028579453929418
7,8,1.0,0,0,0,0,0,1.531347018464315
8,7,1.0,0,0,0,0,0,1.531347018464315
8,9,1.0,0,0,0,0,0,1.5328777055842366
9,8,1.0,0,0,0,0,0,1.5328777055842366
9,10,1.0,0,0,0,0,0,1.5321395573054064
10,9,1.0,0,0,0,0,0,1.5321395573054064
10,11,1.0,0,0,0,0,0,1.5319113615170663
11,10,1.0,0,0,0,0,0,1.5319113615170663
11,12,1.0,0,0,0,0,0,1.5340932400390717
12,11,1.0,0,0,0,0,0,1.5340932400390717
12,13,1.0,0,0,0,0,0,1.533251215091897
13,12,1.0,0,0,0,0,0,1.533251215091897
13,14,1.0,0,0,0,0,0,1.5291921565056874
14,13,1.0,0,0,0,0,0,1.5291921565056874
14,15,1.0,0,0,0,0,0,1.533935475270134
15,14,1.0,0,0,0,0,0,1.533935475270134
15,16,1.0,0,0,0,0,0,1.5265431042523003
16,15,1.0,0,0,0,0,0,1.5265431042523003
16,17,1.0,0,0,0,0,0,1.5083294564131935
17,16,1.0,0,0,0,0,0,1.5083294564131935
17,18,2.0,1,0,0,0,0,1.2232061132645096
18,17,2.0,1,0,0,0,0,1.2232061132645096
17,19,1.0,1,0,0,0,0,1.3585583145222937
19,17,1.0,1,0,0,0,0,1.3585583145222937
19,20,1.0,0,0,0,0,0,1.4470156314468061
20,19,1.0,0,0,0,0,0,1.4470156314468061
20,21,1.0,0,0,0,0,0,1.5360205039835673
21,20,1.0,0,0,0,0,0,1.5360205039835673
21,22,1.0,0,0,0,0,0,1.5309482779806047
22,21,1.0,0,0,0,0,0,1.5309482779806047
22,23,1.0,0,0,0,0,0,1.415696213902805
23,22,1.0,0,0,0,0,0,1.415696213902805
23,24,1.0,0,0,0,0,0,1.6139413273687666
24,23,1.0,0,0,0,0,0,1.6139413273687666
24,25,2.0,0,0,0,0,0,1.50501411769407
25,24,2.0,0,0,0,0,0,1.50501411769407
24,26,1.0,0,0,0,0,0,1.5014946201080022
26,24,1.0,0,0,0,0,0,1.5014946201080022
24,27,1.0,0,0,0,0,0,1.6217358772182302
27,24,1.0,0,0,0,0,0,1.6217358772182302
27,28,1.0,0,0,0,0,0,1.4091248300864816
28,27,1.0,0,0,0,0,0,1.4091248300864816
28,29,1.0,0,0,0,0,0,1.5391662861998412
29,28,1.0,0,0,0,0,0,1.5391662861998412
29,30,1.0,0,0,0,0,0,1.559510909522188
30,29,1.0,0,0,0,0,0,1.559510909522188
30,31,1.0,0,0,0,0,0,1.537573525674606
31,30,1.0,0,0,0,0,0,1.537573525674606
30,32,1.0,0,0,0,0,0,1.5168093456521996
32,30,1.0,0,0,0,0,0,1.5168093456521996
30,33,1.0,0,0,0,0,0,1.5109715270489097
33,30,1.0,0,0,0,0,0,1.5109715270489097
21,34,1.0,0,0,0,0,0,1.4498675651768933
34,21,1.0,0,0,0,0,0,1.4498675651768933
34,35,1.0,1,0,0,0,0,1.3574865255203579
35,34,1.0,1,0,0,0,0,1.3574865255203579
35,36,2.0,1,0,0,0,0,1.22267425792486
36,35,2.0,1,0,0,0,0,1.22267425792486
35,37,1.0,0,0,0,0,0,1.5076231933443924
