source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5207989038707468
1,0,1.0,0,0,0,0,0,1.5207989038707468
1,2,1.0,0,0,0,0,0,1.5301220417952006
2,1,1.0,0,0,0,0,0,1.5301220417952006
2,3,1.0,0,0,0,0,0,1.5315986040650496
3,2,1.0,0,0,0,0,0,1.5315986040650496
3,4,1.0,0,0,0,0,0,1.5315628790771103
4,3,1.0,0,0,0,0,0,1.5315628790771103
4,5,1.0,0,0,0,0,0,1.531405137415546
5,4,1.0,0,0,0,0,0,1.531405137415546
5,6,1.0,0,0,0,0,0,1.5313020115694098
6,5,1.0,0,0,0,0,0,1.5313020115694098
6,7,1.0,0,0,0,0,0,1.5324155625267504
7,6,1.0,0,0,0,0,0,1.5324155625267504
7,8,1.0,0,0,0,0,0,1.5332593243439017
8,7,1.0,0,0,0,0,0,1.5332593243439017
8,9,1.0,0,0,0,0,0,1.5323171874054002
9,8,1.0,0,0,0,0,0,1.5323171874054002
9,10,1.0,0,0,0,4,0,1.503114119005215
10,9,1.0,0,0,0,4,0,1.503114119005215
10,11,2.0,0,0,2,0,0,1.3428759887178399
11,10,2.0,0,0,2,0,0,1.3428759887178399
11,12,1.0,0,0,0,3,0,1.502890674306879
12,11,1.0,0,0,0,3,0,1.502890674306879
12,13,1.0,0,0,0,0,0,1.5312498606733738
13,12,1.0,0,0,0,0,0,1.5312498606733738
13,14,1.0,0,0,0,0,0,1.5326385716130104
14,13,1.0,0,0,0,0,0,1.5326385716130104
14,15,1.0,0,0,0,0,0,1.5314642389070687
15,14,1.0,0,0,0,0,0,1.5314642389070687
15,16,1.0,0,0,0,0,0,1.5315959073775034
16,15,1.0,0,0,0,0,0,1.5315959073775034
16,17,1.0,0,0,0,0,0,1.532940904858504
17,16,1.0,0,0,0,0,0,1.532940904858504
17,18,1.0,0,0,0,0,0,1.5321383527260586
18,17,1.0,0,0,0,0,0,1.5321383527260586
18,19,1.0,0,0,0,0,0,1.5326386607964113
19,18,1.0,0,0,0,0,0,1.5326386607964113
19,20,1.0,0,0,0,0,0,1.5266112185747625
20,19,1.0,0,0,0,0,0,1.5266112185747625
20,21,1.0,0,0,0,0,0,1.5094515140624725
21,20,1.0,0,0,0,0,0,1.5094515140624725
21,22,2.0,1,0,0,0,0,1.2227374261972486
22,21,2.0,1,0,0,0,0,1.2227374261972486
21,23,1.0,1,0,0,0,0,1.3623221908299734
23,21,1.0,1,0,0,0,0,1.3623221908299734
23,24,1.0,0,0,0,0,0,1.4384301434838809
24,23,1.0,0,0,0,0,0,1.4384301434838809
24,25,1.0,0,0,0,0,0,1.5350594743414727
25,24,1.0,0,0,0,0,0,1.5350594743414727
25,26,1.0,0,0,0,0,0,1.5340556761595103
26,25,1.0,0,0,0,0,0,1.5340556761595103
26,27,1.0,0,0,0,0,0,1.4219133104657942
27,26,1.0,0,0,0,0,0,1.4219133104657942
27,28,1.0,0,0,0,0,0,1.602799385985681
28,27,1.0,0,0,0,0,0,1.602799385985681
28,29,2.0,0,0,0,0,0,1.491662464193444
29,28,2.0,0,0,0,0,0,1.491662464193444
28,30,1.0,0,0,0,0,0,1.6016542592314722
30,28,1.0,0,0,0,0,0,1.6016542592314722
28,31,1.0,0,0,0,0,0,1.6049956414325373
31,28,1.0,0,0,0,0,0,1.6049956414325373
31,32,1.0,0,0,0,0,0,1.4215171974747194
32,31,1.0,0,0,0,0,0,1.4215171974747194
32,33,1.0,0,0,0,0,0,1.530683424484253
33,32,1.0,0,0,0,0,0,1.530683424484253
33,34,1.0,0,0,0,0,0,1.435308319691542
34,33,1.0,0,0,0,0,0,1.435308319691542
33,35,1.0,0,0,0,0,0,1.5315456415315996
35,33,1.0,0,0,0,0,0,1.5315456415315996
35,36,1.0,0,0,0,0,0,1.4274097152248841
36,35,1.0,0,0,0,0,0,1.4274097152248841
25,37,1.0,0,0,0,0,0,1.44751601896144
37,25,1.0,0,0,0,0,0,1.44751601896144
37,38,1.0,1,0,0,0,0,1.3610628197908925
38,37,1.0,1,0,0,0,0,1.3610628197908925
38,39,2.0,1,0,0,0,0,1.2237286230121827
39,38,2.0,1,0,0,0,0,1.2237286230121827
38,40,1.0,0,0,0,0,0,1.5098130011596642
40,38,1.0,0,0,0,0,0,1.5098130011596642
40,41,1.0,0,0,0,0,0,1.5277103616073837
41,40,1.0,0,0,0,0,0,1.5277103616073837
41,42,1.0,0,0,0,0,0,1.5320757392494948
42,41,1.0,0,0,0,0,0,1.5320757392494948
42,43,1.0,0,0,0,0,0,1.5322331854865243
43,42,1.0,0,0,0,0,0,1.5322331854865243
43,44,1.0,0,0,0,0,0,1.5322098729161928
44,43,1.0,0,0,0,0,0,1.5322098729161928
44,45,1.0,0,0,0,0,0,1.533103331354395
45,44,1.0,0,0,0,0,0,1.533103331354395
45,46,1.0,0,0,0,0,0,1.5319415559854535
46,45,1.0,0,0,0,0,0,1.5319415559854535
46,47,1.0,0,0,0,0,0,1.5310874780573356
47,46,1.0,0,0,0,0,0,1.5310874780573356
47,48,1.0,0,0,0,0,0,1.5321117684071148
48,47,1.0,0,0,0,0,0,1.5321117684071148
48,49,1.0,0,0,0,0,0,1.5306386577209308
49,48,1.0,0,0,0,0,0,1.5306386577209308
49,50,1.0,0,0,0,0,0,1.5206730241602824
50,49,1.0,0,0,0,0,0,1.5206730241602824
