atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,3,0,0,0,0,0,12.011,0.302839558072693
1,6,0,2,4,0,0,0,0,2,12.011,0.04532394144988647
2,6,0,2,4,0,0,0,0,2,12.011,-0.04277812457053447
3,6,0,2,4,0,0,0,0,2,12.011,-0.052453190910349404
4,6,0,2,4,0,0,0,0,2,12.011,-0.049809427049257296
5,6,0,2,4,0,0,0,0,2,12.011,-0.035061992842194745
6,6,0,2,3,0,0,0,0,1,12.011,-0.08822747977211771
7,6,0,2,3,0,0,0,0,1,12.011,-0.08475245978157184
8,6,0,2,4,0,0,0,0,2,12.011,-0.016907328731466824
9,6,0,2,3,0,0,0,0,1,12.011,-0.08444087689554174
10,6,0,2,3,0,0,0,0,1,12.011,-0.08444087689554174
11,6,0,2,4,0,0,0,0,2,12.011,-0.01690732873147729
12,6,0,2,3,0,0,0,0,1,12.011,-0.08475245978736742
13,6,0,2,3,0,0,0,0,1,12.011,-0.08822748140205196
14,6,0,2,4,0,0,0,0,2,12.011,-0.035062214920595955
15,6,0,2,4,0,0,0,0,2,12.011,-0.04982500069209887
16,6,0,2,4,0,0,0,0,2,12.011,-0.05302112146355889
17,6,0,2,4,0,0,0,0,2,12.011,-0.053557693743913296
18,6,0,2,4,0,0,0,0,2,12.011,-0.056171482041500846
19,6,0,1,4,0,0,0,0,3,12.011,-0.06538238175449311
20,8,0,1,3,0,0,0,0,0,15.999,-0.25248586919416444
21,8,0,1,3,0,0,0,0,1,15.999,-0.48123038978115124
