source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5203048059561204
1,0,1.0,0,0,0,0,0,1.5203048059561204
1,2,1.0,0,0,0,0,0,1.5295084331982358
2,1,1.0,0,0,0,0,0,1.5295084331982358
2,3,1.0,0,0,0,0,0,1.5316159322262801
3,2,1.0,0,0,0,0,0,1.5316159322262801
3,4,1.0,0,0,0,0,0,1.5313309270395545
4,3,1.0,0,0,0,0,0,1.5313309270395545
4,5,1.0,0,0,0,4,0,1.5027517492483689
5,4,1.0,0,0,0,4,0,1.5027517492483689
5,6,2.0,0,0,2,0,0,1.3437905839277509
6,5,2.0,0,0,2,0,0,1.3437905839277509
6,7,1.0,0,0,0,3,0,1.5032516771757662
7,6,1.0,0,0,0,3,0,1.5032516771757662
7,8,1.0,0,0,0,4,0,1.502595025032695
8,7,1.0,0,0,0,4,0,1.502595025032695
8,9,2.0,0,0,2,0,0,1.343824874772586
9,8,2.0,0,0,2,0,0,1.343824874772586
9,10,1.0,0,0,0,3,0,1.5035197349617941
10,9,1.0,0,0,0,3,0,1.5035197349617941
10,11,1.0,0,0,0,0,0,1.531476199891785
11,10,1.0,0,0,0,0,0,1.531476199891785
11,12,1.0,0,0,0,0,0,1.531565457336886
12,11,1.0,0,0,0,0,0,1.531565457336886
12,13,1.0,0,0,0,0,0,1.5309062757776855
13,12,1.0,0,0,0,0,0,1.5309062757776855
13,14,1.0,0,0,0,0,0,1.5305749416624814
14,13,1.0,0,0,0,0,0,1.5305749416624814
14,15,1.0,0,0,0,0,0,1.5313094456736847
15,14,1.0,0,0,0,0,0,1.5313094456736847
15,16,1.0,0,0,0,0,0,1.531074771194983
16,15,1.0,0,0,0,0,0,1.531074771194983
16,17,1.0,0,0,0,0,0,1.5322889069736216
17,16,1.0,0,0,0,0,0,1.5322889069736216
17,18,1.0,0,0,0,0,0,1.5268279459424108
18,17,1.0,0,0,0,0,0,1.5268279459424108
18,19,1.0,0,0,0,0,0,1.5088199324468172
19,18,1.0,0,0,0,0,0,1.5088199324468172
19,20,2.0,1,0,0,0,0,1.2245863995323942
20,19,2.0,1,0,0,0,0,1.2245863995323942
19,21,1.0,1,0,0,0,0,1.3605474903052235
21,19,1.0,1,0,0,0,0,1.3605474903052235
21,22,1.0,0,0,0,0,0,1.438090114353654
22,21,1.0,0,0,0,0,0,1.438090114353654
22,23,1.0,0,0,0,0,0,1.5338808037129945
23,22,1.0,0,0,0,0,0,1.5338808037129945
23,24,1.0,0,0,0,0,0,1.5337902306271558
24,23,1.0,0,0,0,0,0,1.5337902306271558
24,25,1.0,0,0,0,0,0,1.4209822623728514
25,24,1.0,0,0,0,0,0,1.4209822623728514
25,26,1.0,0,0,0,0,0,1.6025706267076416
26,25,1.0,0,0,0,0,0,1.6025706267076416
26,27,2.0,0,0,0,0,0,1.4912375718627926
27,26,2.0,0,0,0,0,0,1.4912375718627926
26,28,1.0,0,0,0,0,0,1.6030945797735874
28,26,1.0,0,0,0,0,0,1.6030945797735874
26,29,1.0,0,0,0,0,0,1.603245648354891
29,26,1.0,0,0,0,0,0,1.603245648354891
29,30,1.0,0,0,0,0,0,1.4290322136493614
30,29,1.0,0,0,0,0,0,1.4290322136493614
30,31,1.0,0,1,0,0,0,1.5441305790902047
31,30,1.0,0,1,0,0,0,1.5441305790902047
31,32,1.0,0,0,0,0,0,1.4372727527252456
32,31,1.0,0,0,0,0,0,1.4372727527252456
31,33,1.0,0,1,0,0,0,1.5403259597059977
33,31,1.0,0,1,0,0,0,1.5403259597059977
33,34,1.0,0,0,0,0,0,1.4377840544567408
34,33,1.0,0,0,0,0,0,1.4377840544567408
33,35,1.0,0,1,0,0,0,1.5361022465179555
35,33,1.0,0,1,0,0,0,1.5361022465179555
35,36,1.0,0,0,0,0,0,1.435701246306
36,35,1.0,0,0,0,0,0,1.435701246306
35,37,1.0,0,1,0,0,0,1.5343653126857855
37,35,1.0,0,1,0,0,0,1.5343653126857855
37,38,1.0,0,0,0,0,0,1.4360900073737395
38,37,1.0,0,0,0,0,0,1.4360900073737395
37,39,1.0,0,1,0,0,0,1.5363605441893922
39,37,1.0,0,1,0,0,0,1.5363605441893922
39,40,1.0,0,0,0,0,0,1.4352064997614868
40,39,1.0,0,0,0,0,0,1.4352064997614868
23,41,1.0,0,0,0,0,0,1.4467042287272478
41,23,1.0,0,0,0,0,0,1.4467042287272478
41,42,1.0,1,0,0,0,0,1.3611458021119467
42,41,1.0,1,0,0,0,0,1.3611458021119467
42,43,2.0,1,0,0,0,0,1.2227955836948763
43,42,2.0,1,0,0,0,0,1.2227955836948763
42,44,1.0,0,0,0,0,0,1.5106548940528355
44,42,1.0,0,0,0,0,0,1.5106548940528355
44,45,1.0,0,0,0,0,0,1.5280670535363896
45,44,1.0,0,0,0,0,0,1.5280670535363896
45,46,1.0,0,0,0,0,0,1.5315707921865505
46,45,1.0,0,0,0,0,0,1.5315707921865505
46,47,1.0,0,0,0,0,0,1.5313066154137784
47,46,1.0,0,0,0,0,0,1.5313066154137784
47,48,1.0,0,0,0,0,0,1.5303774712406264
48,47,1.0,0,0,0,0,0,1.5303774712406264
48,49,1.0,0,0,0,0,0,1.5312465891654046
49,48,1.0,0,0,0,0,0,1.5312465891654046
49,50,1.0,0,0,0,0,0,1.5306793385205808
50,49,1.0,0,0,0,0,0,1.5306793385205808
50,51,1.0,0,0,0,4,0,1.5023579864649648
51,50,1.0,0,0,0,4,0,1.5023579864649648
51,52,2.0,0,0,2,0,0,1.3437059633846884
52,51,2.0,0,0,2,0,0,1.3437059633846884
52,53,1.0,0,0,0,3,0,1.502327632314232
53,52,1.0,0,0,0,3,0,1.502327632314232
53,54,1.0,0,0,0,4,0,1.5021614357482744
54,53,1.0,0,0,0,4,0,1.5021614357482744
54,55,2.0,0,0,2,0,0,1.3436668200344883
55,54,2.0,0,0,2,0,0,1.3436668200344883
55,56,1.0,0,0,0,3,0,1.5027915675531403
56,55,1.0,0,0,0,3,0,1.5027915675531403
56,57,1.0,0,0,0,0,0,1.5316298845647336
57,56,1.0,0,0,0,0,0,1.5316298845647336
57,58,1.0,0,0,0,0,0,1.5318084667088405
58,57,1.0,0,0,0,0,0,1.5318084667088405
58,59,1.0,0,0,0,0,0,1.5296584735080285
59,58,1.0,0,0,0,0,0,1.5296584735080285
59,60,1.0,0,0,0,0,0,1.5208029892300199
60,59,1.0,0,0,0,0,0,1.5208029892300199
39,30,1.0,0,1,0,0,0,1.538101216289739
30,39,1.0,0,1,0,0,0,1.538101216289739
