source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5206102772130394
1,0,1.0,0,0,0,0,0,1.5206102772130394
1,2,1.0,0,0,0,0,0,1.5310334681907365
2,1,1.0,0,0,0,0,0,1.5310334681907365
2,3,1.0,0,0,0,0,0,1.5311821797977179
3,2,1.0,0,0,0,0,0,1.5311821797977179
3,4,1.0,0,0,0,4,0,1.5019583536894552
4,3,1.0,0,0,0,4,0,1.5019583536894552
4,5,2.0,0,0,2,0,0,1.3429298401122483
5,4,2.0,0,0,2,0,0,1.3429298401122483
5,6,1.0,0,0,0,3,0,1.502851590111087
6,5,1.0,0,0,0,3,0,1.502851590111087
6,7,1.0,0,0,0,0,0,1.5317011429220686
7,6,1.0,0,0,0,0,0,1.5317011429220686
7,8,1.0,0,0,0,0,0,1.5325072369721815
8,7,1.0,0,0,0,0,0,1.5325072369721815
8,9,1.0,0,0,0,0,0,1.531836305723667
9,8,1.0,0,0,0,0,0,1.531836305723667
9,10,1.0,0,0,0,0,0,1.5323764878346633
10,9,1.0,0,0,0,0,0,1.5323764878346633
10,11,1.0,0,0,0,0,0,1.5323537718176568
11,10,1.0,0,0,0,0,0,1.5323537718176568
11,12,1.0,0,0,0,0,0,1.5267730989813333
12,11,1.0,0,0,0,0,0,1.5267730989813333
12,13,1.0,0,0,0,0,0,1.5082881419801362
13,12,1.0,0,0,0,0,0,1.5082881419801362
13,14,2.0,1,0,0,0,0,1.222782757469755
14,13,2.0,1,0,0,0,0,1.222782757469755
13,15,1.0,1,0,0,0,0,1.3622520842917383
15,13,1.0,1,0,0,0,0,1.3622520842917383
15,16,1.0,0,0,0,0,0,1.4375776501110384
16,15,1.0,0,0,0,0,0,1.4375776501110384
16,17,1.0,0,0,0,0,0,1.5341037307500847
17,16,1.0,0,0,0,0,0,1.5341037307500847
17,18,1.0,0,0,0,0,0,1.5344393034207406
18,17,1.0,0,0,0,0,0,1.5344393034207406
18,19,1.0,0,0,0,0,0,1.4218993447378234
19,18,1.0,0,0,0,0,0,1.4218993447378234
19,20,1.0,0,0,0,0,0,1.602493294194661
20,19,1.0,0,0,0,0,0,1.602493294194661
20,21,2.0,0,0,0,0,0,1.4919543656826164
21,20,2.0,0,0,0,0,0,1.4919543656826164
20,22,1.0,0,0,0,0,0,1.6011205869698648
22,20,1.0,0,0,0,0,0,1.6011205869698648
20,23,1.0,0,0,0,0,0,1.6036831686332884
23,20,1.0,0,0,0,0,0,1.6036831686332884
23,24,1.0,0,0,0,0,0,1.4222719471974672
24,23,1.0,0,0,0,0,0,1.4222719471974672
24,25,1.0,0,0,0,0,0,1.5310426591324613
25,24,1.0,0,0,0,0,0,1.5310426591324613
25,26,1.0,0,0,0,0,0,1.435923845121634
26,25,1.0,0,0,0,0,0,1.435923845121634
25,27,1.0,0,0,0,0,0,1.5312934732889139
27,25,1.0,0,0,0,0,0,1.5312934732889139
27,28,1.0,0,0,0,0,0,1.4282093971730176
28,27,1.0,0,0,0,0,0,1.4282093971730176
17,29,1.0,0,0,0,0,0,1.4455122999296584
29,17,1.0,0,0,0,0,0,1.4455122999296584
29,30,1.0,1,0,0,0,0,1.36099247337521
30,29,1.0,1,0,0,0,0,1.36099247337521
30,31,2.0,1,0,0,0,0,1.2231171231003206
31,30,2.0,1,0,0,0,0,1.2231171231003206
30,32,1.0,0,0,0,0,0,1.5080245329448114
32,30,1.0,0,0,0,0,0,1.5080245329448114
32,33,1.0,0,0,0,0,0,1.527130600960657
33,32,1.0,0,0,0,0,0,1.527130600960657
33,34,1.0,0,0,0,0,0,1.5329382015797592
34,33,1.0,0,0,0,0,0,1.5329382015797592
34,35,1.0,0,0,0,0,0,1.5319971689639336
35,34,1.0,0,0,0,0,0,1.5319971689639336
35,36,1.0,0,0,0,0,0,1.5318227064464374
36,35,1.0,0,0,0,0,0,1.5318227064464374
36,37,1.0,0,0,0,0,0,1.5317522163068962
37,36,1.0,0,0,0,0,0,1.5317522163068962
37,38,1.0,0,0,0,0,0,1.5319773186631171
38,37,1.0,0,0,0,0,0,1.5319773186631171
38,39,1.0,0,0,0,4,0,1.5028731736887144
39,38,1.0,0,0,0,4,0,1.5028731736887144
39,40,2.0,0,0,2,0,0,1.3424110240558862
40,39,2.0,0,0,2,0,0,1.3424110240558862
40,41,1.0,0,0,0,3,0,1.5031527189393465
41,40,1.0,0,0,0,3,0,1.5031527189393465
41,42,1.0,0,0,0,0,0,1.5320987189248556
42,41,1.0,0,0,0,0,0,1.5320987189248556
42,43,1.0,0,0,0,0,0,1.5321098023061936
43,42,1.0,0,0,0,0,0,1.5321098023061936
43,44,1.0,0,0,0,0,0,1.5326969319514607
44,43,1.0,0,0,0,0,0,1.5326969319514607
44,45,1.0,0,0,0,0,0,1.5319913134508067
45,44,1.0,0,0,0,0,0,1.5319913134508067
45,46,1.0,0,0,0,0,0,1.5315532701986594
46,45,1.0,0,0,0,0,0,1.5315532701986594
46,47,1.0,0,0,0,0,0,1.5300001014771563
47,46,1.0,0,0,0,0,0,1.5300001014771563
47,48,1.0,0,0,0,0,0,1.5207734971216185
48,47,1.0,0,0,0,0,0,1.5207734971216185
