source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.520535630305309
1,0,1.0,0,0,0,0,0,1.520535630305309
1,2,1.0,0,0,0,0,0,1.530136962215703
2,1,1.0,0,0,0,0,0,1.530136962215703
2,3,1.0,0,0,0,0,0,1.531608211919594
3,2,1.0,0,0,0,0,0,1.531608211919594
3,4,1.0,0,0,0,4,0,1.5024849332763517
4,3,1.0,0,0,0,4,0,1.5024849332763517
4,5,2.0,0,0,2,0,0,1.3438168067874057
5,4,2.0,0,0,2,0,0,1.3438168067874057
5,6,1.0,0,0,0,3,0,1.5025658337034324
6,5,1.0,0,0,0,3,0,1.5025658337034324
6,7,1.0,0,0,0,4,0,1.5019017993607062
7,6,1.0,0,0,0,4,0,1.5019017993607062
7,8,2.0,0,0,2,0,0,1.3437396329697129
8,7,2.0,0,0,2,0,0,1.3437396329697129
8,9,1.0,0,0,0,3,0,1.5034740383032643
9,8,1.0,0,0,0,3,0,1.5034740383032643
9,10,1.0,0,0,0,0,0,1.5320837227480042
10,9,1.0,0,0,0,0,0,1.5320837227480042
10,11,1.0,0,0,0,0,0,1.532299278664023
11,10,1.0,0,0,0,0,0,1.532299278664023
11,12,1.0,0,0,0,0,0,1.5320783137704688
12,11,1.0,0,0,0,0,0,1.5320783137704688
12,13,1.0,0,0,0,0,0,1.5303660632282343
13,12,1.0,0,0,0,0,0,1.5303660632282343
13,14,1.0,0,0,0,0,0,1.5322594958656175
14,13,1.0,0,0,0,0,0,1.5322594958656175
14,15,1.0,0,0,0,0,0,1.5278157190433075
15,14,1.0,0,0,0,0,0,1.5278157190433075
15,16,1.0,0,0,0,0,0,1.5091144919863801
16,15,1.0,0,0,0,0,0,1.5091144919863801
16,17,2.0,1,0,0,0,0,1.223220507504595
17,16,2.0,1,0,0,0,0,1.223220507504595
16,18,1.0,1,0,0,0,0,1.360336943851878
18,16,1.0,1,0,0,0,0,1.360336943851878
18,19,1.0,0,0,0,0,0,1.4468463311409028
19,18,1.0,0,0,0,0,0,1.4468463311409028
19,20,1.0,0,0,0,0,0,1.5342927084741202
20,19,1.0,0,0,0,0,0,1.5342927084741202
20,21,1.0,0,0,0,0,0,1.4369543290640292
21,20,1.0,0,0,0,0,0,1.4369543290640292
21,22,1.0,1,0,0,0,0,1.3600322156815028
22,21,1.0,1,0,0,0,0,1.3600322156815028
22,23,2.0,1,0,0,0,0,1.2233747587794124
23,22,2.0,1,0,0,0,0,1.2233747587794124
22,24,1.0,0,0,0,0,0,1.5099986487671808
24,22,1.0,0,0,0,0,0,1.5099986487671808
24,25,1.0,0,0,0,0,0,1.5273638243499301
25,24,1.0,0,0,0,0,0,1.5273638243499301
25,26,1.0,0,0,0,0,0,1.5320492573551328
26,25,1.0,0,0,0,0,0,1.5320492573551328
26,27,1.0,0,0,0,0,0,1.531996503190423
27,26,1.0,0,0,0,0,0,1.531996503190423
27,28,1.0,0,0,0,0,0,1.531522083636542
28,27,1.0,0,0,0,0,0,1.531522083636542
28,29,1.0,0,0,0,0,0,1.5310507988327329
29,28,1.0,0,0,0,0,0,1.5310507988327329
29,30,1.0,0,0,0,0,0,1.531432461553218
30,29,1.0,0,0,0,0,0,1.531432461553218
30,31,1.0,0,0,0,0,0,1.531308277529499
31,30,1.0,0,0,0,0,0,1.531308277529499
31,32,1.0,0,0,0,0,0,1.5325241729696812
32,31,1.0,0,0,0,0,0,1.5325241729696812
32,33,1.0,0,0,0,0,0,1.5322758877347826
33,32,1.0,0,0,0,0,0,1.5322758877347826
33,34,1.0,0,0,0,0,0,1.5319774642466009
34,33,1.0,0,0,0,0,0,1.5319774642466009
34,35,1.0,0,0,0,0,0,1.5317062552919665
35,34,1.0,0,0,0,0,0,1.5317062552919665
35,36,1.0,0,0,0,0,0,1.5312748923434836
36,35,1.0,0,0,0,0,0,1.5312748923434836
36,37,1.0,0,0,0,0,0,1.5314455406484786
37,36,1.0,0,0,0,0,0,1.5314455406484786
37,38,1.0,0,0,0,0,0,1.5311484854232105
38,37,1.0,0,0,0,0,0,1.5311484854232105
38,39,1.0,0,0,0,0,0,1.531226967702246
39,38,1.0,0,0,0,0,0,1.531226967702246
39,40,1.0,0,0,0,0,0,1.5295756848984097
40,39,1.0,0,0,0,0,0,1.5295756848984097
40,41,1.0,0,0,0,0,0,1.520588378182206
41,40,1.0,0,0,0,0,0,1.520588378182206
19,42,1.0,0,0,0,0,0,1.533559180671935
42,19,1.0,0,0,0,0,0,1.533559180671935
42,43,1.0,0,0,0,0,0,1.4197794630549683
43,42,1.0,0,0,0,0,0,1.4197794630549683
43,44,1.0,0,0,0,0,0,1.6019601775211627
44,43,1.0,0,0,0,0,0,1.6019601775211627
44,45,2.0,0,0,0,0,0,1.4915908174963852
45,44,2.0,0,0,0,0,0,1.4915908174963852
44,46,1.0,0,0,0,0,0,1.6011022257513772
46,44,1.0,0,0,0,0,0,1.6011022257513772
44,47,1.0,0,0,0,0,0,1.6041584665601516
47,44,1.0,0,0,0,0,0,1.6041584665601516
47,48,1.0,0,0,0,0,0,1.4281518188510378
48,47,1.0,0,0,0,0,0,1.4281518188510378
48,49,1.0,0,1,0,0,0,1.5427159416519736
49,48,1.0,0,1,0,0,0,1.5427159416519736
49,50,1.0,0,0,0,0,0,1.4365943374206693
50,49,1.0,0,0,0,0,0,1.4365943374206693
49,51,1.0,0,1,0,0,0,1.5421269965685351
51,49,1.0,0,1,0,0,0,1.5421269965685351
51,52,1.0,0,0,0,0,0,1.436918237861343
52,51,1.0,0,0,0,0,0,1.436918237861343
51,53,1.0,0,1,0,0,0,1.5390210830664908
53,51,1.0,0,1,0,0,0,1.5390210830664908
53,54,1.0,0,0,0,0,0,1.434323114103689
54,53,1.0,0,0,0,0,0,1.434323114103689
53,55,1.0,0,1,0,0,0,1.5363709726791028
55,53,1.0,0,1,0,0,0,1.5363709726791028
55,56,1.0,0,0,0,0,0,1.4338000844741454
56,55,1.0,0,0,0,0,0,1.4338000844741454
55,57,1.0,0,1,0,0,0,1.5401454989647778
57,55,1.0,0,1,0,0,0,1.5401454989647778
57,58,1.0,0,0,0,0,0,1.4346599883545679
58,57,1.0,0,0,0,0,0,1.4346599883545679
57,48,1.0,0,1,0,0,0,1.5410607943019068
48,57,1.0,0,1,0,0,0,1.5410607943019068
