source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5209362270221731
1,0,1.0,0,0,0,0,0,1.5209362270221731
1,2,1.0,0,0,0,0,0,1.5313115691621715
2,1,1.0,0,0,0,0,0,1.5313115691621715
2,3,1.0,0,0,0,0,0,1.5321592286436523
3,2,1.0,0,0,0,0,0,1.5321592286436523
3,4,1.0,0,0,0,0,0,1.5305515845385695
4,3,1.0,0,0,0,0,0,1.5305515845385695
4,5,1.0,0,0,0,0,0,1.5325637201737596
5,4,1.0,0,0,0,0,0,1.5325637201737596
5,6,1.0,0,0,0,0,0,1.530623665475774
6,5,1.0,0,0,0,0,0,1.530623665475774
6,7,1.0,0,0,0,0,0,1.5324448923484446
7,6,1.0,0,0,0,0,0,1.5324448923484446
7,8,1.0,0,0,0,0,0,1.5315200617012275
8,7,1.0,0,0,0,0,0,1.5315200617012275
8,9,1.0,0,0,0,0,0,1.532557924435544
9,8,1.0,0,0,0,0,0,1.532557924435544
9,10,1.0,0,0,0,0,0,1.5295261473446462
10,9,1.0,0,0,0,0,0,1.5295261473446462
10,11,1.0,0,0,0,0,0,1.532558811438121
11,10,1.0,0,0,0,0,0,1.532558811438121
11,12,1.0,0,0,0,0,0,1.532275255334617
12,11,1.0,0,0,0,0,0,1.532275255334617
12,13,1.0,0,0,0,0,0,1.5329892474700522
13,12,1.0,0,0,0,0,0,1.5329892474700522
13,14,1.0,0,0,0,0,0,1.531387001496947
14,13,1.0,0,0,0,0,0,1.531387001496947
14,15,1.0,0,0,0,0,0,1.5326741966744677
15,14,1.0,0,0,0,0,0,1.5326741966744677
15,16,1.0,0,0,0,0,0,1.5318642496970032
16,15,1.0,0,0,0,0,0,1.5318642496970032
16,17,1.0,0,0,0,0,0,1.5323194088448735
17,16,1.0,0,0,0,0,0,1.5323194088448735
17,18,1.0,0,0,0,0,0,1.5318618595998383
18,17,1.0,0,0,0,0,0,1.5318618595998383
18,19,1.0,0,0,0,0,0,1.5304414031199967
19,18,1.0,0,0,0,0,0,1.5304414031199967
19,20,1.0,0,0,0,0,0,1.5269647807319815
20,19,1.0,0,0,0,0,0,1.5269647807319815
20,21,1.0,0,0,0,0,0,1.509237419691624
21,20,1.0,0,0,0,0,0,1.509237419691624
21,22,2.0,1,0,0,0,0,1.2239486370492403
22,21,2.0,1,0,0,0,0,1.2239486370492403
21,23,1.0,1,0,0,0,0,1.3594376376085897
23,21,1.0,1,0,0,0,0,1.3594376376085897
23,24,1.0,0,0,0,0,0,1.4474170932480817
24,23,1.0,0,0,0,0,0,1.4474170932480817
24,25,1.0,0,0,0,0,0,1.532489800770873
25,24,1.0,0,0,0,0,0,1.532489800770873
25,26,1.0,0,0,0,0,0,1.4367125651421553
26,25,1.0,0,0,0,0,0,1.4367125651421553
26,27,1.0,1,0,0,0,0,1.3603771055590812
27,26,1.0,1,0,0,0,0,1.3603771055590812
27,28,2.0,1,0,0,0,0,1.2252939203477375
28,27,2.0,1,0,0,0,0,1.2252939203477375
27,29,1.0,0,0,0,0,0,1.5086065188445328
29,27,1.0,0,0,0,0,0,1.5086065188445328
29,30,1.0,0,0,0,0,0,1.5250874072597773
30,29,1.0,0,0,0,0,0,1.5250874072597773
30,31,1.0,0,0,0,0,0,1.532120950844097
31,30,1.0,0,0,0,0,0,1.532120950844097
31,32,1.0,0,0,0,0,0,1.5322960886016939
32,31,1.0,0,0,0,0,0,1.5322960886016939
32,33,1.0,0,0,0,0,0,1.5315104340642023
33,32,1.0,0,0,0,0,0,1.5315104340642023
33,34,1.0,0,0,0,0,0,1.5326261324095125
34,33,1.0,0,0,0,0,0,1.5326261324095125
34,35,1.0,0,0,0,0,0,1.5325872635362796
35,34,1.0,0,0,0,0,0,1.5325872635362796
35,36,1.0,0,0,0,0,0,1.5317908231961563
36,35,1.0,0,0,0,0,0,1.5317908231961563
36,37,1.0,0,0,0,0,0,1.530687343480808
37,36,1.0,0,0,0,0,0,1.530687343480808
37,38,1.0,0,0,0,0,0,1.5303136228859622
38,37,1.0,0,0,0,0,0,1.5303136228859622
38,39,1.0,0,0,0,0,0,1.5208490575467015
39,38,1.0,0,0,0,0,0,1.5208490575467015
24,40,1.0,0,0,0,0,0,1.5316446718874392
40,24,1.0,0,0,0,0,0,1.5316446718874392
40,41,1.0,0,0,0,0,0,1.421138610393129
41,40,1.0,0,0,0,0,0,1.421138610393129
41,42,1.0,0,0,0,0,0,1.61947398195085
42,41,1.0,0,0,0,0,0,1.61947398195085
42,43,2.0,0,0,0,0,0,1.5038711271870515
43,42,2.0,0,0,0,0,0,1.5038711271870515
42,44,1.0,0,0,0,0,0,1.5023393347374965
44,42,1.0,0,0,0,0,0,1.5023393347374965
42,45,1.0,0,0,0,0,0,1.6251750679340076
45,42,1.0,0,0,0,0,0,1.6251750679340076
45,46,1.0,0,0,0,0,0,1.4142808969218867
46,45,1.0,0,0,0,0,0,1.4142808969218867
46,47,1.0,0,0,0,0,0,1.5344868909194487
47,46,1.0,0,0,0,0,0,1.5344868909194487
47,48,1.0,0,0,0,0,0,1.5517658711678408
48,47,1.0,0,0,0,0,0,1.5517658711678408
48,49,1.0,0,0,0,0,0,1.5182639345557876
49,48,1.0,0,0,0,0,0,1.5182639345557876
48,50,1.0,0,0,0,0,0,1.5166835067768476
50,48,1.0,0,0,0,0,0,1.5166835067768476
48,51,1.0,0,0,0,0,0,1.5318349661051878
51,48,1.0,0,0,0,0,0,1.5318349661051878
