source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5214080732539106
1,0,1.0,0,0,0,0,0,1.5214080732539106
1,2,1.0,0,0,0,0,0,1.5291333873426878
2,1,1.0,0,0,0,0,0,1.5291333873426878
2,3,1.0,0,0,0,0,0,1.533105482659732
3,2,1.0,0,0,0,0,0,1.533105482659732
3,4,1.0,0,0,0,0,0,1.5330103275802462
4,3,1.0,0,0,0,0,0,1.5330103275802462
4,5,1.0,0,0,0,4,0,1.5019489202765917
5,4,1.0,0,0,0,4,0,1.5019489202765917
5,6,2.0,0,0,2,0,0,1.3437623541561987
6,5,2.0,0,0,2,0,0,1.3437623541561987
6,7,1.0,0,0,0,3,0,1.5004825513668074
7,6,1.0,0,0,0,3,0,1.5004825513668074
7,8,1.0,0,0,0,4,0,1.503242048428266
8,7,1.0,0,0,0,4,0,1.503242048428266
8,9,2.0,0,0,2,0,0,1.3437065094063136
9,8,2.0,0,0,2,0,0,1.3437065094063136
9,10,1.0,0,0,0,3,0,1.5014438582893546
10,9,1.0,0,0,0,3,0,1.5014438582893546
10,11,1.0,0,0,0,0,0,1.532085796772664
11,10,1.0,0,0,0,0,0,1.532085796772664
11,12,1.0,0,0,0,0,0,1.5335491507057968
12,11,1.0,0,0,0,0,0,1.5335491507057968
12,13,1.0,0,0,0,0,0,1.5315299417320867
13,12,1.0,0,0,0,0,0,1.5315299417320867
13,14,1.0,0,0,0,0,0,1.5342057762005024
14,13,1.0,0,0,0,0,0,1.5342057762005024
14,15,1.0,0,0,0,0,0,1.532376850059484
15,14,1.0,0,0,0,0,0,1.532376850059484
15,16,1.0,0,0,0,0,0,1.5312288005471257
16,15,1.0,0,0,0,0,0,1.5312288005471257
16,17,1.0,0,0,0,0,0,1.5322238552166256
17,16,1.0,0,0,0,0,0,1.5322238552166256
17,18,1.0,0,0,0,0,0,1.5270622545154013
18,17,1.0,0,0,0,0,0,1.5270622545154013
18,19,1.0,0,0,0,0,0,1.5094261428726983
19,18,1.0,0,0,0,0,0,1.5094261428726983
19,20,2.0,1,0,0,0,0,1.223118935732069
20,19,2.0,1,0,0,0,0,1.223118935732069
19,21,1.0,1,0,0,0,0,1.359886427423616
21,19,1.0,1,0,0,0,0,1.359886427423616
21,22,1.0,0,0,0,0,0,1.4421338047214982
22,21,1.0,0,0,0,0,0,1.4421338047214982
22,23,1.0,0,0,0,0,0,1.5362468778735083
23,22,1.0,0,0,0,0,0,1.5362468778735083
23,24,1.0,0,0,0,0,0,1.5321664864576874
24,23,1.0,0,0,0,0,0,1.5321664864576874
24,25,1.0,0,0,0,0,0,1.4195200324219985
25,24,1.0,0,0,0,0,0,1.4195200324219985
25,26,1.0,0,0,0,0,0,1.6138833135169979
26,25,1.0,0,0,0,0,0,1.6138833135169979
26,27,2.0,0,0,0,0,0,1.505456113363212
27,26,2.0,0,0,0,0,0,1.505456113363212
26,28,1.0,0,0,0,0,0,1.5028592022820761
28,26,1.0,0,0,0,0,0,1.5028592022820761
26,29,1.0,0,0,0,0,0,1.6267012198033806
29,26,1.0,0,0,0,0,0,1.6267012198033806
29,30,1.0,0,0,0,0,0,1.4175325054356591
30,29,1.0,0,0,0,0,0,1.4175325054356591
30,31,1.0,0,0,0,0,0,1.5348057985604884
31,30,1.0,0,0,0,0,0,1.5348057985604884
31,32,1.0,0,0,0,0,0,1.5520209031838437
32,31,1.0,0,0,0,0,0,1.5520209031838437
32,33,1.0,0,0,0,0,0,1.5232347357498053
33,32,1.0,0,0,0,0,0,1.5232347357498053
32,34,1.0,0,0,0,0,0,1.5237632298181143
34,32,1.0,0,0,0,0,0,1.5237632298181143
32,35,1.0,0,0,0,0,0,1.519818013803427
35,32,1.0,0,0,0,0,0,1.519818013803427
23,36,1.0,0,0,0,0,0,1.4494312168399313
36,23,1.0,0,0,0,0,0,1.4494312168399313
36,37,1.0,1,0,0,0,0,1.361246003537592
37,36,1.0,1,0,0,0,0,1.361246003537592
37,38,2.0,1,0,0,0,0,1.2229762770595707
38,37,2.0,1,0,0,0,0,1.2229762770595707
37,39,1.0,0,0,0,0,0,1.5093786521279873
39,37,1.0,0,0,0,0,0,1.5093786521279873
39,40,1.0,0,0,0,0,0,1.5269511830958917
40,39,1.0,0,0,0,0,0,1.5269511830958917
40,41,1.0,0,0,0,0,0,1.530938765019214
41,40,1.0,0,0,0,0,0,1.530938765019214
41,42,1.0,0,0,0,0,0,1.5309764738653329
42,41,1.0,0,0,0,0,0,1.5309764738653329
42,43,1.0,0,0,0,0,0,1.5318313610033705
43,42,1.0,0,0,0,0,0,1.5318313610033705
43,44,1.0,0,0,0,0,0,1.5316663781120214
44,43,1.0,0,0,0,0,0,1.5316663781120214
44,45,1.0,0,0,0,0,0,1.5314487087051372
45,44,1.0,0,0,0,0,0,1.5314487087051372
45,46,1.0,0,0,0,0,0,1.531748475768029
46,45,1.0,0,0,0,0,0,1.531748475768029
46,47,1.0,0,0,0,0,0,1.5319902693678833
47,46,1.0,0,0,0,0,0,1.5319902693678833
47,48,1.0,0,0,0,0,0,1.5326822854778566
48,47,1.0,0,0,0,0,0,1.5326822854778566
48,49,1.0,0,0,0,0,0,1.530895851377846
49,48,1.0,0,0,0,0,0,1.530895851377846
49,50,1.0,0,0,0,0,0,1.5193102585107991
50,49,1.0,0,0,0,0,0,1.5193102585107991
