source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5213999947350245
1,0,1.0,0,0,0,0,0,1.5213999947350245
1,2,1.0,0,0,0,0,0,1.5308652243050778
2,1,1.0,0,0,0,0,0,1.5308652243050778
2,3,1.0,0,0,0,0,0,1.531925026342743
3,2,1.0,0,0,0,0,0,1.531925026342743
3,4,1.0,0,0,0,0,0,1.5313266190260864
4,3,1.0,0,0,0,0,0,1.5313266190260864
4,5,1.0,0,0,0,0,0,1.5316699538170302
5,4,1.0,0,0,0,0,0,1.5316699538170302
5,6,1.0,0,0,0,0,0,1.5322839357885694
6,5,1.0,0,0,0,0,0,1.5322839357885694
6,7,1.0,0,0,0,0,0,1.533364511108352
7,6,1.0,0,0,0,0,0,1.533364511108352
7,8,1.0,0,0,0,0,0,1.5333699974604487
8,7,1.0,0,0,0,0,0,1.5333699974604487
8,9,1.0,0,0,0,4,0,1.5045292808103978
9,8,1.0,0,0,0,4,0,1.5045292808103978
9,10,2.0,1,0,3,0,0,1.3414362087215321
10,9,2.0,1,0,3,0,0,1.3414362087215321
10,11,1.0,1,0,0,4,0,1.4444611668037437
11,10,1.0,1,0,0,4,0,1.4444611668037437
11,12,2.0,1,0,3,0,0,1.3427842563326464
12,11,2.0,1,0,3,0,0,1.3427842563326464
12,13,1.0,0,0,0,4,0,1.507714426330954
13,12,1.0,0,0,0,4,0,1.507714426330954
13,14,1.0,0,0,0,0,0,1.433152698968419
14,13,1.0,0,0,0,0,0,1.433152698968419
13,15,1.0,0,0,0,0,0,1.5562337475433523
15,13,1.0,0,0,0,0,0,1.5562337475433523
15,16,1.0,0,0,0,0,0,1.544682866381011
16,15,1.0,0,0,0,0,0,1.544682866381011
16,17,1.0,0,0,0,0,0,1.4320263916915257
17,16,1.0,0,0,0,0,0,1.4320263916915257
17,18,1.0,0,0,0,0,0,1.431014658406745
18,17,1.0,0,0,0,0,0,1.431014658406745
18,19,1.0,0,1,0,0,0,1.427094779722556
19,18,1.0,0,1,0,0,0,1.427094779722556
19,20,1.0,0,1,0,0,0,1.4373720766684528
20,19,1.0,0,1,0,0,0,1.4373720766684528
20,21,1.0,0,0,0,0,0,1.5364910753811163
21,20,1.0,0,0,0,0,0,1.5364910753811163
21,22,1.0,0,0,0,0,0,1.4262934917898227
22,21,1.0,0,0,0,0,0,1.4262934917898227
20,23,1.0,0,1,0,0,0,1.537620497699031
23,20,1.0,0,1,0,0,0,1.537620497699031
23,24,1.0,0,0,0,0,0,1.435842093100667
24,23,1.0,0,0,0,0,0,1.435842093100667
23,25,1.0,0,1,0,0,0,1.5319114773262628
25,23,1.0,0,1,0,0,0,1.5319114773262628
25,26,1.0,0,0,0,0,0,1.436650357810778
26,25,1.0,0,0,0,0,0,1.436650357810778
25,27,1.0,0,1,0,0,0,1.5361355008445028
27,25,1.0,0,1,0,0,0,1.5361355008445028
27,28,1.0,0,0,0,0,0,1.438549007563503
28,27,1.0,0,0,0,0,0,1.438549007563503
15,29,1.0,0,0,0,0,0,1.4717238564730888
29,15,1.0,0,0,0,0,0,1.4717238564730888
29,30,1.0,1,0,0,0,0,1.3766189986772877
30,29,1.0,1,0,0,0,0,1.3766189986772877
30,31,2.0,1,0,0,0,0,1.2292138278722413
31,30,2.0,1,0,0,0,0,1.2292138278722413
30,32,1.0,0,0,0,0,0,1.5405644481898857
32,30,1.0,0,0,0,0,0,1.5405644481898857
