source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5208255690743249
1,0,1.0,0,0,0,0,0,1.5208255690743249
1,2,1.0,0,0,0,0,0,1.529865953536652
2,1,1.0,0,0,0,0,0,1.529865953536652
2,3,1.0,0,0,0,0,0,1.531940580966697
3,2,1.0,0,0,0,0,0,1.531940580966697
3,4,1.0,0,0,0,0,0,1.5317930311406185
4,3,1.0,0,0,0,0,0,1.5317930311406185
4,5,1.0,0,0,0,0,0,1.53240068683853
5,4,1.0,0,0,0,0,0,1.53240068683853
5,6,1.0,0,0,0,0,0,1.5321244441945592
6,5,1.0,0,0,0,0,0,1.5321244441945592
6,7,1.0,0,0,0,0,0,1.5315675881016049
7,6,1.0,0,0,0,0,0,1.5315675881016049
7,8,1.0,0,0,0,0,0,1.5319152132995795
8,7,1.0,0,0,0,0,0,1.5319152132995795
8,9,1.0,0,0,0,0,0,1.5319278481303304
9,8,1.0,0,0,0,0,0,1.5319278481303304
9,10,1.0,0,0,0,0,0,1.53217989547429
10,9,1.0,0,0,0,0,0,1.53217989547429
10,11,1.0,0,0,0,0,0,1.5312703877338376
11,10,1.0,0,0,0,0,0,1.5312703877338376
11,12,1.0,0,0,0,0,0,1.531663845504215
12,11,1.0,0,0,0,0,0,1.531663845504215
12,13,1.0,0,0,0,0,0,1.5321863853064266
13,12,1.0,0,0,0,0,0,1.5321863853064266
13,14,1.0,0,0,0,0,0,1.5322895752960166
14,13,1.0,0,0,0,0,0,1.5322895752960166
14,15,1.0,0,0,0,0,0,1.5330691588738141
15,14,1.0,0,0,0,0,0,1.5330691588738141
15,16,1.0,0,0,0,0,0,1.5269705624173207
16,15,1.0,0,0,0,0,0,1.5269705624173207
16,17,1.0,0,0,0,0,0,1.5090425739361273
17,16,1.0,0,0,0,0,0,1.5090425739361273
17,18,2.0,1,0,0,0,0,1.223830562007932
18,17,2.0,1,0,0,0,0,1.223830562007932
17,19,1.0,1,0,0,0,0,1.359431164860463
19,17,1.0,1,0,0,0,0,1.359431164860463
19,20,1.0,0,0,0,0,0,1.440990458647083
20,19,1.0,0,0,0,0,0,1.440990458647083
20,21,1.0,0,0,0,0,0,1.533346315008766
21,20,1.0,0,0,0,0,0,1.533346315008766
21,22,1.0,0,0,0,0,0,1.4382568967129152
22,21,1.0,0,0,0,0,0,1.4382568967129152
21,23,1.0,0,0,0,0,0,1.5308780549824117
23,21,1.0,0,0,0,0,0,1.5308780549824117
23,24,1.0,0,0,0,0,0,1.4215101934361556
24,23,1.0,0,0,0,0,0,1.4215101934361556
24,25,1.0,0,0,0,0,0,1.6159672489336987
25,24,1.0,0,0,0,0,0,1.6159672489336987
25,26,2.0,0,0,0,0,0,1.504683082371782
26,25,2.0,0,0,0,0,0,1.504683082371782
25,27,1.0,0,0,0,0,0,1.503866463973462
27,25,1.0,0,0,0,0,0,1.503866463973462
25,28,1.0,0,0,0,0,0,1.6240648169499035
28,25,1.0,0,0,0,0,0,1.6240648169499035
28,29,1.0,0,0,0,0,0,1.414418258892702
29,28,1.0,0,0,0,0,0,1.414418258892702
29,30,1.0,0,0,0,0,0,1.5344673304786929
30,29,1.0,0,0,0,0,0,1.5344673304786929
30,31,1.0,0,0,0,0,0,1.5538891309080292
31,30,1.0,0,0,0,0,0,1.5538891309080292
31,32,1.0,0,0,0,0,0,1.5214566529816032
32,31,1.0,0,0,0,0,0,1.5214566529816032
31,33,1.0,0,0,0,0,0,1.5251071668174034
33,31,1.0,0,0,0,0,0,1.5251071668174034
31,34,1.0,0,0,0,0,0,1.5208148971371809
34,31,1.0,0,0,0,0,0,1.5208148971371809
