source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.520847702395407
1,0,1.0,0,0,0,0,0,1.520847702395407
1,2,1.0,0,0,0,0,0,1.5300657701186213
2,1,1.0,0,0,0,0,0,1.5300657701186213
2,3,1.0,0,0,0,0,0,1.5319803858439136
3,2,1.0,0,0,0,0,0,1.5319803858439136
3,4,1.0,0,0,0,0,0,1.5317022270752088
4,3,1.0,0,0,0,0,0,1.5317022270752088
4,5,1.0,0,0,0,4,0,1.5030251499632947
5,4,1.0,0,0,0,4,0,1.5030251499632947
5,6,2.0,0,0,2,0,0,1.3438748883935276
6,5,2.0,0,0,2,0,0,1.3438748883935276
6,7,1.0,0,0,0,3,0,1.5027878799555219
7,6,1.0,0,0,0,3,0,1.5027878799555219
7,8,1.0,0,0,0,4,0,1.5025312226671548
8,7,1.0,0,0,0,4,0,1.5025312226671548
8,9,2.0,0,0,2,0,0,1.3438477350760851
9,8,2.0,0,0,2,0,0,1.3438477350760851
9,10,1.0,0,0,0,3,0,1.5039599502804115
10,9,1.0,0,0,0,3,0,1.5039599502804115
10,11,1.0,0,0,0,0,0,1.5326182752811943
11,10,1.0,0,0,0,0,0,1.5326182752811943
11,12,1.0,0,0,0,0,0,1.5327390381945005
12,11,1.0,0,0,0,0,0,1.5327390381945005
12,13,1.0,0,0,0,0,0,1.5314026056884473
13,12,1.0,0,0,0,0,0,1.5314026056884473
13,14,1.0,0,0,0,0,0,1.5315757261525522
14,13,1.0,0,0,0,0,0,1.5315757261525522
14,15,1.0,0,0,0,0,0,1.5317153663747027
15,14,1.0,0,0,0,0,0,1.5317153663747027
15,16,1.0,0,0,0,0,0,1.5267540679727172
16,15,1.0,0,0,0,0,0,1.5267540679727172
16,17,1.0,0,0,0,0,0,1.5091062695348665
17,16,1.0,0,0,0,0,0,1.5091062695348665
17,18,2.0,1,0,0,0,0,1.223284211217711
18,17,2.0,1,0,0,0,0,1.223284211217711
17,19,1.0,1,0,0,0,0,1.3582918973770894
19,17,1.0,1,0,0,0,0,1.3582918973770894
19,20,1.0,0,0,0,0,0,1.4476848731530374
20,19,1.0,0,0,0,0,0,1.4476848731530374
20,21,1.0,0,0,0,0,0,1.5351236669108033
21,20,1.0,0,0,0,0,0,1.5351236669108033
21,22,1.0,0,0,0,0,0,1.4339266814588378
22,21,1.0,0,0,0,0,0,1.4339266814588378
22,23,1.0,1,0,0,4,0,1.3659515101395516
23,22,1.0,1,0,0,4,0,1.3659515101395516
23,24,2.0,1,0,2,0,0,1.3385739172722935
24,23,2.0,1,0,2,0,0,1.3385739172722935
24,25,1.0,0,0,0,3,0,1.5031447282548729
25,24,1.0,0,0,0,3,0,1.5031447282548729
25,26,1.0,0,0,0,0,0,1.5319640704058084
26,25,1.0,0,0,0,0,0,1.5319640704058084
26,27,1.0,0,0,0,0,0,1.5322137236646756
27,26,1.0,0,0,0,0,0,1.5322137236646756
27,28,1.0,0,0,0,0,0,1.531767735359042
28,27,1.0,0,0,0,0,0,1.531767735359042
28,29,1.0,0,0,0,0,0,1.53125849714651
29,28,1.0,0,0,0,0,0,1.53125849714651
29,30,1.0,0,0,0,0,0,1.532085265553861
30,29,1.0,0,0,0,0,0,1.532085265553861
30,31,1.0,0,0,0,0,0,1.5311813262276983
31,30,1.0,0,0,0,0,0,1.5311813262276983
31,32,1.0,0,0,0,0,0,1.5317244461590662
32,31,1.0,0,0,0,0,0,1.5317244461590662
32,33,1.0,0,0,0,0,0,1.5317786540808291
33,32,1.0,0,0,0,0,0,1.5317786540808291
33,34,1.0,0,0,0,0,0,1.5319247578937456
34,33,1.0,0,0,0,0,0,1.5319247578937456
34,35,1.0,0,0,0,0,0,1.5310196673657994
35,34,1.0,0,0,0,0,0,1.5310196673657994
35,36,1.0,0,0,0,0,0,1.53145662508658
36,35,1.0,0,0,0,0,0,1.53145662508658
36,37,1.0,0,0,0,0,0,1.5296149700403476
37,36,1.0,0,0,0,0,0,1.5296149700403476
37,38,1.0,0,0,0,0,0,1.5208363384376038
38,37,1.0,0,0,0,0,0,1.5208363384376038
20,39,1.0,0,0,0,0,0,1.5310462010372663
39,20,1.0,0,0,0,0,0,1.5310462010372663
39,40,1.0,0,0,0,0,0,1.4190443425651735
40,39,1.0,0,0,0,0,0,1.4190443425651735
40,41,1.0,0,0,0,0,0,1.6157365349413422
41,40,1.0,0,0,0,0,0,1.6157365349413422
41,42,2.0,0,0,0,0,0,1.5038191671201828
42,41,2.0,0,0,0,0,0,1.5038191671201828
41,43,1.0,0,0,0,0,0,1.5056598337477207
43,41,1.0,0,0,0,0,0,1.5056598337477207
41,44,1.0,0,0,0,0,0,1.6256786342063525
44,41,1.0,0,0,0,0,0,1.6256786342063525
44,45,1.0,0,0,0,0,0,1.4147584174431287
45,44,1.0,0,0,0,0,0,1.4147584174431287
45,46,1.0,0,0,0,0,0,1.5340809738032049
46,45,1.0,0,0,0,0,0,1.5340809738032049
46,47,1.0,0,0,0,0,0,1.5541803538827401
47,46,1.0,0,0,0,0,0,1.5541803538827401
47,48,1.0,0,0,0,0,0,1.5202128786595779
48,47,1.0,0,0,0,0,0,1.5202128786595779
47,49,1.0,0,0,0,0,0,1.5215073878657703
49,47,1.0,0,0,0,0,0,1.5215073878657703
47,50,1.0,0,0,0,0,0,1.523905661378746
50,47,1.0,0,0,0,0,0,1.523905661378746
