source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5206925234925044
1,0,1.0,0,0,0,0,0,1.5206925234925044
1,2,1.0,0,0,0,0,0,1.5306196989457526
2,1,1.0,0,0,0,0,0,1.5306196989457526
2,3,1.0,0,0,0,0,0,1.5311171632670144
3,2,1.0,0,0,0,0,0,1.5311171632670144
3,4,1.0,0,0,0,4,0,1.5026593717984165
4,3,1.0,0,0,0,4,0,1.5026593717984165
4,5,2.0,0,0,2,0,0,1.3428895033570665
5,4,2.0,0,0,2,0,0,1.3428895033570665
5,6,1.0,0,0,0,3,0,1.5023906615446738
6,5,1.0,0,0,0,3,0,1.5023906615446738
6,7,1.0,0,0,0,0,0,1.5315403348904704
7,6,1.0,0,0,0,0,0,1.5315403348904704
7,8,1.0,0,0,0,0,0,1.531777601033916
8,7,1.0,0,0,0,0,0,1.531777601033916
8,9,1.0,0,0,0,0,0,1.5324212136756084
9,8,1.0,0,0,0,0,0,1.5324212136756084
9,10,1.0,0,0,0,0,0,1.5323485688704712
10,9,1.0,0,0,0,0,0,1.5323485688704712
10,11,1.0,0,0,0,0,0,1.5319104413084086
11,10,1.0,0,0,0,0,0,1.5319104413084086
11,12,1.0,0,0,0,0,0,1.5266969836930968
12,11,1.0,0,0,0,0,0,1.5266969836930968
12,13,1.0,0,0,0,0,0,1.5086327301125544
13,12,1.0,0,0,0,0,0,1.5086327301125544
13,14,2.0,1,0,0,0,0,1.2225534074016955
14,13,2.0,1,0,0,0,0,1.2225534074016955
13,15,1.0,1,0,0,0,0,1.3606810724899854
15,13,1.0,1,0,0,0,0,1.3606810724899854
15,16,1.0,0,0,0,0,0,1.43801275739826
16,15,1.0,0,0,0,0,0,1.43801275739826
16,17,1.0,0,0,0,0,0,1.5358629659423313
17,16,1.0,0,0,0,0,0,1.5358629659423313
17,18,1.0,0,0,0,0,0,1.5344559665798077
18,17,1.0,0,0,0,0,0,1.5344559665798077
18,19,1.0,0,0,0,0,0,1.42150187882503
19,18,1.0,0,0,0,0,0,1.42150187882503
19,20,1.0,0,0,0,0,0,1.6045417139903657
20,19,1.0,0,0,0,0,0,1.6045417139903657
20,21,2.0,0,0,0,0,0,1.4917466324788142
21,20,2.0,0,0,0,0,0,1.4917466324788142
20,22,1.0,0,0,0,0,0,1.6014734865277382
22,20,1.0,0,0,0,0,0,1.6014734865277382
20,23,1.0,0,0,0,0,0,1.6038364979860535
23,20,1.0,0,0,0,0,0,1.6038364979860535
23,24,1.0,0,0,0,0,0,1.4202768687408127
24,23,1.0,0,0,0,0,0,1.4202768687408127
24,25,1.0,0,0,0,0,0,1.5317663731509588
25,24,1.0,0,0,0,0,0,1.5317663731509588
25,26,1.0,0,0,0,0,0,1.43579476585406
26,25,1.0,0,0,0,0,0,1.43579476585406
25,27,1.0,0,0,0,0,0,1.5324970961618856
27,25,1.0,0,0,0,0,0,1.5324970961618856
27,28,1.0,0,0,0,0,0,1.4248467745744013
28,27,1.0,0,0,0,0,0,1.4248467745744013
17,29,1.0,0,0,0,0,0,1.4461778795233349
29,17,1.0,0,0,0,0,0,1.4461778795233349
29,30,1.0,1,0,0,0,0,1.3602216719363525
30,29,1.0,1,0,0,0,0,1.3602216719363525
30,31,2.0,1,0,0,0,0,1.223299798712342
31,30,2.0,1,0,0,0,0,1.223299798712342
30,32,1.0,0,0,0,0,0,1.508728995500479
32,30,1.0,0,0,0,0,0,1.508728995500479
32,33,1.0,0,0,0,0,0,1.5267459293906152
33,32,1.0,0,0,0,0,0,1.5267459293906152
33,34,1.0,0,0,0,0,0,1.5317567246848924
34,33,1.0,0,0,0,0,0,1.5317567246848924
34,35,1.0,0,0,0,0,0,1.532265257896284
35,34,1.0,0,0,0,0,0,1.532265257896284
35,36,1.0,0,0,0,0,0,1.5316425098642246
36,35,1.0,0,0,0,0,0,1.5316425098642246
36,37,1.0,0,0,0,0,0,1.5310958600396278
37,36,1.0,0,0,0,0,0,1.5310958600396278
37,38,1.0,0,0,0,0,0,1.5316356129656468
38,37,1.0,0,0,0,0,0,1.5316356129656468
38,39,1.0,0,0,0,0,0,1.5329216143009106
39,38,1.0,0,0,0,0,0,1.5329216143009106
39,40,1.0,0,0,0,0,0,1.5313149137160726
40,39,1.0,0,0,0,0,0,1.5313149137160726
40,41,1.0,0,0,0,0,0,1.5319335348529757
41,40,1.0,0,0,0,0,0,1.5319335348529757
41,42,1.0,0,0,0,0,0,1.5324448794435033
42,41,1.0,0,0,0,0,0,1.5324448794435033
42,43,1.0,0,0,0,0,0,1.5317813498149158
43,42,1.0,0,0,0,0,0,1.5317813498149158
43,44,1.0,0,0,0,0,0,1.5314544033965813
44,43,1.0,0,0,0,0,0,1.5314544033965813
44,45,1.0,0,0,0,0,0,1.5324343937949887
45,44,1.0,0,0,0,0,0,1.5324343937949887
45,46,1.0,0,0,0,0,0,1.532554727461183
46,45,1.0,0,0,0,0,0,1.532554727461183
46,47,1.0,0,0,0,0,0,1.5312734701744763
47,46,1.0,0,0,0,0,0,1.5312734701744763
47,48,1.0,0,0,0,0,0,1.532477366621964
48,47,1.0,0,0,0,0,0,1.532477366621964
48,49,1.0,0,0,0,0,0,1.529705264441856
49,48,1.0,0,0,0,0,0,1.529705264441856
49,50,1.0,0,0,0,0,0,1.521008566444615
50,49,1.0,0,0,0,0,0,1.521008566444615
