source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.520985729600936
1,0,1.0,0,0,0,0,0,1.520985729600936
1,2,1.0,0,0,0,0,0,1.5299948817301148
2,1,1.0,0,0,0,0,0,1.5299948817301148
2,3,1.0,0,0,0,0,0,1.530817908661569
3,2,1.0,0,0,0,0,0,1.530817908661569
3,4,1.0,0,0,0,4,0,1.5029652695192708
4,3,1.0,0,0,0,4,0,1.5029652695192708
4,5,2.0,0,0,2,0,0,1.3436745088276476
5,4,2.0,0,0,2,0,0,1.3436745088276476
5,6,1.0,0,0,0,3,0,1.503246983398395
6,5,1.0,0,0,0,3,0,1.503246983398395
6,7,1.0,0,0,0,4,0,1.5019709328876651
7,6,1.0,0,0,0,4,0,1.5019709328876651
7,8,2.0,0,0,2,0,0,1.3436333079293248
8,7,2.0,0,0,2,0,0,1.3436333079293248
8,9,1.0,0,0,0,3,0,1.5036825249568575
9,8,1.0,0,0,0,3,0,1.5036825249568575
9,10,1.0,0,0,0,0,0,1.5311086619729015
10,9,1.0,0,0,0,0,0,1.5311086619729015
10,11,1.0,0,0,0,0,0,1.5320631843618542
11,10,1.0,0,0,0,0,0,1.5320631843618542
11,12,1.0,0,0,0,0,0,1.53148505766109
12,11,1.0,0,0,0,0,0,1.53148505766109
12,13,1.0,0,0,0,0,0,1.5304895516279275
13,12,1.0,0,0,0,0,0,1.5304895516279275
13,14,1.0,0,0,0,0,0,1.5314416687054822
14,13,1.0,0,0,0,0,0,1.5314416687054822
14,15,1.0,0,0,0,0,0,1.5272518302242246
15,14,1.0,0,0,0,0,0,1.5272518302242246
15,16,1.0,0,0,0,0,0,1.5090747147986998
16,15,1.0,0,0,0,0,0,1.5090747147986998
16,17,2.0,1,0,0,0,0,1.2241409797357088
17,16,2.0,1,0,0,0,0,1.2241409797357088
16,18,1.0,1,0,0,0,0,1.358381735458038
18,16,1.0,1,0,0,0,0,1.358381735458038
18,19,1.0,0,0,0,0,0,1.4472843114604488
19,18,1.0,0,0,0,0,0,1.4472843114604488
19,20,1.0,0,0,0,0,0,1.5353324118019027
20,19,1.0,0,0,0,0,0,1.5353324118019027
20,21,1.0,0,0,0,0,0,1.4398775259108816
21,20,1.0,0,0,0,0,0,1.4398775259108816
21,22,1.0,1,0,0,0,0,1.358823563544807
22,21,1.0,1,0,0,0,0,1.358823563544807
22,23,2.0,1,0,0,0,0,1.224454939953704
23,22,2.0,1,0,0,0,0,1.224454939953704
22,24,1.0,0,0,0,0,0,1.5098229339199665
24,22,1.0,0,0,0,0,0,1.5098229339199665
24,25,1.0,0,0,0,0,0,1.5268151280486477
25,24,1.0,0,0,0,0,0,1.5268151280486477
25,26,1.0,0,0,0,0,0,1.5313417885851877
26,25,1.0,0,0,0,0,0,1.5313417885851877
26,27,1.0,0,0,0,0,0,1.5318914522949652
27,26,1.0,0,0,0,0,0,1.5318914522949652
27,28,1.0,0,0,0,0,0,1.5311596572631212
28,27,1.0,0,0,0,0,0,1.5311596572631212
28,29,1.0,0,0,0,0,0,1.5302405880111771
29,28,1.0,0,0,0,0,0,1.5302405880111771
29,30,1.0,0,0,0,0,0,1.5320116036359284
30,29,1.0,0,0,0,0,0,1.5320116036359284
30,31,1.0,0,0,0,0,0,1.531662785489331
31,30,1.0,0,0,0,0,0,1.531662785489331
31,32,1.0,0,0,0,0,0,1.531797552907977
32,31,1.0,0,0,0,0,0,1.531797552907977
32,33,1.0,0,0,0,0,0,1.5316727429669876
33,32,1.0,0,0,0,0,0,1.5316727429669876
33,34,1.0,0,0,0,0,0,1.5311810683674523
34,33,1.0,0,0,0,0,0,1.5311810683674523
34,35,1.0,0,0,0,0,0,1.5313729133838692
35,34,1.0,0,0,0,0,0,1.5313729133838692
35,36,1.0,0,0,0,0,0,1.530347218041997
36,35,1.0,0,0,0,0,0,1.530347218041997
36,37,1.0,0,0,0,0,0,1.5310742487210507
37,36,1.0,0,0,0,0,0,1.5310742487210507
37,38,1.0,0,0,0,0,0,1.5301302840732145
38,37,1.0,0,0,0,0,0,1.5301302840732145
38,39,1.0,0,0,0,0,0,1.520824396354456
39,38,1.0,0,0,0,0,0,1.520824396354456
19,40,1.0,0,0,0,0,0,1.5332539797253062
40,19,1.0,0,0,0,0,0,1.5332539797253062
40,41,1.0,0,0,0,0,0,1.4181835382089854
41,40,1.0,0,0,0,0,0,1.4181835382089854
41,42,1.0,0,0,0,0,0,1.6165172108823316
42,41,1.0,0,0,0,0,0,1.6165172108823316
42,43,2.0,0,0,0,0,0,1.5037005544115514
43,42,2.0,0,0,0,0,0,1.5037005544115514
42,44,1.0,0,0,0,0,0,1.5038894177265447
44,42,1.0,0,0,0,0,0,1.5038894177265447
42,45,1.0,0,0,0,0,0,1.6244846735787302
45,42,1.0,0,0,0,0,0,1.6244846735787302
45,46,1.0,0,0,0,0,0,1.4124775313624058
46,45,1.0,0,0,0,0,0,1.4124775313624058
46,47,1.0,0,0,0,0,0,1.5309147980085684
47,46,1.0,0,0,0,0,0,1.5309147980085684
47,48,1.0,0,0,0,0,0,1.5541278841782513
48,47,1.0,0,0,0,0,0,1.5541278841782513
48,49,1.0,0,0,0,0,0,1.522813730950067
49,48,1.0,0,0,0,0,0,1.522813730950067
48,50,1.0,0,0,0,0,0,1.5213716894411837
50,48,1.0,0,0,0,0,0,1.5213716894411837
48,51,1.0,0,0,0,0,0,1.5207268725508427
51,48,1.0,0,0,0,0,0,1.5207268725508427
