source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.6035540320319341
1,0,1.0,0,0,0,0,0,1.6035540320319341
1,2,1.0,0,0,0,0,0,1.4200274920378442
2,1,1.0,0,0,0,0,0,1.4200274920378442
2,3,1.0,0,0,0,0,0,1.5326959841650478
3,2,1.0,0,0,0,0,0,1.5326959841650478
3,4,1.0,0,0,0,0,0,1.4489204532925075
4,3,1.0,0,0,0,0,0,1.4489204532925075
4,5,1.0,1,0,0,0,0,1.3603120841215717
5,4,1.0,1,0,0,0,0,1.3603120841215717
5,6,1.0,0,0,0,0,0,1.5086466441574058
6,5,1.0,0,0,0,0,0,1.5086466441574058
6,7,1.0,0,0,0,0,0,1.526767429812264
7,6,1.0,0,0,0,0,0,1.526767429812264
7,8,1.0,0,0,0,0,0,1.529769303991964
8,7,1.0,0,0,0,0,0,1.529769303991964
8,9,1.0,0,0,0,0,0,1.5312722733836974
9,8,1.0,0,0,0,0,0,1.5312722733836974
9,10,1.0,0,0,0,0,0,1.531117020555492
10,9,1.0,0,0,0,0,0,1.531117020555492
10,11,1.0,0,0,0,0,0,1.5313369848393916
11,10,1.0,0,0,0,0,0,1.5313369848393916
11,12,1.0,0,0,0,0,0,1.5316135377063982
12,11,1.0,0,0,0,0,0,1.5316135377063982
12,13,1.0,0,0,0,0,0,1.5308439812827772
13,12,1.0,0,0,0,0,0,1.5308439812827772
13,14,1.0,0,0,0,0,0,1.5311467487944033
14,13,1.0,0,0,0,0,0,1.5311467487944033
14,15,1.0,0,0,0,0,0,1.5312854953152373
15,14,1.0,0,0,0,0,0,1.5312854953152373
15,16,1.0,0,0,0,0,0,1.5318828286666855
16,15,1.0,0,0,0,0,0,1.5318828286666855
16,17,1.0,0,0,0,0,0,1.531133900213049
17,16,1.0,0,0,0,0,0,1.531133900213049
17,18,1.0,0,0,0,0,0,1.530567738655964
18,17,1.0,0,0,0,0,0,1.530567738655964
18,19,1.0,0,0,0,0,0,1.5297136866947345
19,18,1.0,0,0,0,0,0,1.5297136866947345
19,20,1.0,0,0,0,0,0,1.5209795045693237
20,19,1.0,0,0,0,0,0,1.5209795045693237
5,21,2.0,1,0,0,0,0,1.222982824922621
21,5,2.0,1,0,0,0,0,1.222982824922621
3,22,1.0,0,0,0,0,0,1.5365528062328928
22,3,1.0,0,0,0,0,0,1.5365528062328928
22,23,1.0,0,0,0,0,0,1.439076622942955
23,22,1.0,0,0,0,0,0,1.439076622942955
23,24,1.0,1,0,0,0,0,1.360364055935625
24,23,1.0,1,0,0,0,0,1.360364055935625
24,25,1.0,0,0,0,0,0,1.510160083313497
25,24,1.0,0,0,0,0,0,1.510160083313497
25,26,1.0,0,0,0,0,0,1.5291202873446077
26,25,1.0,0,0,0,0,0,1.5291202873446077
