source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5206107471392514
1,0,1.0,0,0,0,0,0,1.5206107471392514
1,2,1.0,0,0,0,0,0,1.5292928887038382
2,1,1.0,0,0,0,0,0,1.5292928887038382
2,3,1.0,0,0,0,0,0,1.5313122169775366
3,2,1.0,0,0,0,0,0,1.5313122169775366
3,4,1.0,0,0,0,0,0,1.5313858476115854
4,3,1.0,0,0,0,0,0,1.5313858476115854
4,5,1.0,0,0,0,0,0,1.531732603842078
5,4,1.0,0,0,0,0,0,1.531732603842078
5,6,1.0,0,0,0,0,0,1.5319522996167114
6,5,1.0,0,0,0,0,0,1.5319522996167114
6,7,1.0,0,0,0,0,0,1.5310507773311153
7,6,1.0,0,0,0,0,0,1.5310507773311153
7,8,1.0,0,0,0,0,0,1.5312099161772263
8,7,1.0,0,0,0,0,0,1.5312099161772263
8,9,1.0,0,0,0,0,0,1.5317840123052082
9,8,1.0,0,0,0,0,0,1.5317840123052082
9,10,1.0,0,0,0,0,0,1.5311974889323612
10,9,1.0,0,0,0,0,0,1.5311974889323612
10,11,1.0,0,0,0,0,0,1.5318049908734113
11,10,1.0,0,0,0,0,0,1.5318049908734113
11,12,1.0,0,0,0,0,0,1.531381570166824
12,11,1.0,0,0,0,0,0,1.531381570166824
12,13,1.0,0,0,0,0,0,1.5328780205264183
13,12,1.0,0,0,0,0,0,1.5328780205264183
13,14,1.0,0,0,0,0,0,1.52774732809592
14,13,1.0,0,0,0,0,0,1.52774732809592
14,15,1.0,0,0,0,0,0,1.5101381460969707
15,14,1.0,0,0,0,0,0,1.5101381460969707
15,16,2.0,1,0,0,0,0,1.223213075729884
16,15,2.0,1,0,0,0,0,1.223213075729884
15,17,1.0,1,0,0,0,0,1.3599718177148263
17,15,1.0,1,0,0,0,0,1.3599718177148263
17,18,1.0,0,0,0,0,0,1.438598965903407
18,17,1.0,0,0,0,0,0,1.438598965903407
18,19,1.0,0,0,0,0,0,1.5334641101554078
19,18,1.0,0,0,0,0,0,1.5334641101554078
19,20,1.0,0,0,0,0,0,1.5324045074288613
20,19,1.0,0,0,0,0,0,1.5324045074288613
20,21,1.0,0,0,0,0,0,1.419185293909557
21,20,1.0,0,0,0,0,0,1.419185293909557
21,22,1.0,0,0,0,0,0,1.6157075850780687
22,21,1.0,0,0,0,0,0,1.6157075850780687
22,23,2.0,0,0,0,0,0,1.5020634091292426
23,22,2.0,0,0,0,0,0,1.5020634091292426
22,24,1.0,0,0,0,0,0,1.5061614010842952
24,22,1.0,0,0,0,0,0,1.5061614010842952
22,25,1.0,0,0,0,0,0,1.6264971481990531
25,22,1.0,0,0,0,0,0,1.6264971481990531
25,26,1.0,0,0,0,0,0,1.4137700045911772
26,25,1.0,0,0,0,0,0,1.4137700045911772
26,27,1.0,0,0,0,0,0,1.5354304674875372
27,26,1.0,0,0,0,0,0,1.5354304674875372
27,28,1.0,0,0,0,0,0,1.5548974520363283
28,27,1.0,0,0,0,0,0,1.5548974520363283
28,29,1.0,0,0,0,0,0,1.5211147687266326
29,28,1.0,0,0,0,0,0,1.5211147687266326
28,30,1.0,0,0,0,0,0,1.5193148267049021
30,28,1.0,0,0,0,0,0,1.5193148267049021
28,31,1.0,0,0,0,0,0,1.5251838248824232
31,28,1.0,0,0,0,0,0,1.5251838248824232
19,32,1.0,0,0,0,0,0,1.4485974032881264
32,19,1.0,0,0,0,0,0,1.4485974032881264
32,33,1.0,1,0,0,0,0,1.3573607361082913
33,32,1.0,1,0,0,0,0,1.3573607361082913
33,34,2.0,1,0,0,0,0,1.2235131455448558
34,33,2.0,1,0,0,0,0,1.2235131455448558
33,35,1.0,0,0,0,0,0,1.509089323246128
35,33,1.0,0,0,0,0,0,1.509089323246128
35,36,1.0,0,0,0,0,0,1.527119579249059
36,35,1.0,0,0,0,0,0,1.527119579249059
36,37,1.0,0,0,0,0,0,1.5320106507370912
37,36,1.0,0,0,0,0,0,1.5320106507370912
37,38,1.0,0,0,0,0,0,1.5310945760085923
38,37,1.0,0,0,0,0,0,1.5310945760085923
38,39,1.0,0,0,0,0,0,1.5322396225812276
39,38,1.0,0,0,0,0,0,1.5322396225812276
39,40,1.0,0,0,0,0,0,1.5308574774083934
40,39,1.0,0,0,0,0,0,1.5308574774083934
40,41,1.0,0,0,0,0,0,1.5310804652459589
41,40,1.0,0,0,0,0,0,1.5310804652459589
41,42,1.0,0,0,0,0,0,1.5307704031436036
42,41,1.0,0,0,0,0,0,1.5307704031436036
42,43,1.0,0,0,0,0,0,1.5310467150894207
43,42,1.0,0,0,0,0,0,1.5310467150894207
43,44,1.0,0,0,0,0,0,1.5312801258621072
44,43,1.0,0,0,0,0,0,1.5312801258621072
44,45,1.0,0,0,0,0,0,1.5307667677726426
45,44,1.0,0,0,0,0,0,1.5307667677726426
45,46,1.0,0,0,0,0,0,1.5292104747565705
46,45,1.0,0,0,0,0,0,1.5292104747565705
46,47,1.0,0,0,0,0,0,1.5205984946877138
47,46,1.0,0,0,0,0,0,1.5205984946877138
