source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5208653133085872
1,0,1.0,0,0,0,0,0,1.5208653133085872
1,2,1.0,0,0,0,0,0,1.5312164995928348
2,1,1.0,0,0,0,0,0,1.5312164995928348
2,3,1.0,0,0,0,0,0,1.533494530830245
3,2,1.0,0,0,0,0,0,1.533494530830245
3,4,1.0,0,0,0,0,0,1.531387423994166
4,3,1.0,0,0,0,0,0,1.531387423994166
4,5,1.0,0,0,0,4,0,1.5025742494372576
5,4,1.0,0,0,0,4,0,1.5025742494372576
5,6,2.0,0,0,2,0,0,1.344590990686932
6,5,2.0,0,0,2,0,0,1.344590990686932
6,7,1.0,0,0,0,3,0,1.5029180761871166
7,6,1.0,0,0,0,3,0,1.5029180761871166
7,8,1.0,0,0,0,4,0,1.5017466728286508
8,7,1.0,0,0,0,4,0,1.5017466728286508
8,9,2.0,0,0,2,0,0,1.3445274349359564
9,8,2.0,0,0,2,0,0,1.3445274349359564
9,10,1.0,0,0,0,3,0,1.5019430390684305
10,9,1.0,0,0,0,3,0,1.5019430390684305
10,11,1.0,0,0,0,4,0,1.5026096463882825
11,10,1.0,0,0,0,4,0,1.5026096463882825
11,12,2.0,0,0,2,0,0,1.3446921423839293
12,11,2.0,0,0,2,0,0,1.3446921423839293
12,13,1.0,0,0,0,3,0,1.5015472046392833
13,12,1.0,0,0,0,3,0,1.5015472046392833
13,14,1.0,0,0,0,4,0,1.5030524813494919
14,13,1.0,0,0,0,4,0,1.5030524813494919
14,15,2.0,0,0,2,0,0,1.3438793292105522
15,14,2.0,0,0,2,0,0,1.3438793292105522
15,16,1.0,0,0,0,3,0,1.502852470624026
16,15,1.0,0,0,0,3,0,1.502852470624026
16,17,1.0,0,0,0,0,0,1.5325220212863968
17,16,1.0,0,0,0,0,0,1.5325220212863968
17,18,1.0,0,0,0,0,0,1.529020389588613
18,17,1.0,0,0,0,0,0,1.529020389588613
18,19,1.0,0,0,0,0,0,1.5105744305228916
19,18,1.0,0,0,0,0,0,1.5105744305228916
