source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5207490570017987
1,0,1.0,0,0,0,0,0,1.5207490570017987
1,2,1.0,0,0,0,4,0,1.502229232589241
2,1,1.0,0,0,0,4,0,1.502229232589241
2,3,2.0,0,0,2,0,0,1.3437755887055403
3,2,2.0,0,0,2,0,0,1.3437755887055403
3,4,1.0,0,0,0,3,0,1.5019118188428795
4,3,1.0,0,0,0,3,0,1.5019118188428795
4,5,1.0,0,0,0,4,0,1.5029188931118533
5,4,1.0,0,0,0,4,0,1.5029188931118533
5,6,2.0,0,0,2,0,0,1.3448365330582157
6,5,2.0,0,0,2,0,0,1.3448365330582157
6,7,1.0,0,0,0,3,0,1.5025983451822378
7,6,1.0,0,0,0,3,0,1.5025983451822378
7,8,1.0,0,0,0,4,0,1.502516984139738
8,7,1.0,0,0,0,4,0,1.502516984139738
8,9,2.0,0,0,2,0,0,1.343879925380866
9,8,2.0,0,0,2,0,0,1.343879925380866
9,10,1.0,0,0,0,3,0,1.5030968348044655
10,9,1.0,0,0,0,3,0,1.5030968348044655
10,11,1.0,0,0,0,0,0,1.532282636236441
11,10,1.0,0,0,0,0,0,1.532282636236441
11,12,1.0,0,0,0,0,0,1.5321904006940654
12,11,1.0,0,0,0,0,0,1.5321904006940654
12,13,1.0,0,0,0,0,0,1.5321368793552925
13,12,1.0,0,0,0,0,0,1.5321368793552925
13,14,1.0,0,0,0,0,0,1.5317673254991744
14,13,1.0,0,0,0,0,0,1.5317673254991744
14,15,1.0,0,0,0,0,0,1.5328583948969918
15,14,1.0,0,0,0,0,0,1.5328583948969918
15,16,1.0,0,0,0,0,0,1.527954276534438
16,15,1.0,0,0,0,0,0,1.527954276534438
16,17,1.0,0,0,0,0,0,1.5113063651449115
17,16,1.0,0,0,0,0,0,1.5113063651449115
17,18,2.0,1,0,0,0,0,1.2242134818703811
18,17,2.0,1,0,0,0,0,1.2242134818703811
17,19,1.0,1,0,0,0,0,1.35943503537661
19,17,1.0,1,0,0,0,0,1.35943503537661
19,20,1.0,0,0,0,0,0,1.4404447012513129
20,19,1.0,0,0,0,0,0,1.4404447012513129
20,21,1.0,0,0,0,0,0,1.53515606405492
21,20,1.0,0,0,0,0,0,1.53515606405492
21,22,1.0,0,0,0,0,0,1.5322229543413655
22,21,1.0,0,0,0,0,0,1.5322229543413655
22,23,1.0,0,0,0,0,0,1.4169568506531902
23,22,1.0,0,0,0,0,0,1.4169568506531902
23,24,1.0,0,0,0,0,0,1.6158027361130536
24,23,1.0,0,0,0,0,0,1.6158027361130536
24,25,2.0,0,0,0,0,0,1.5043692997882063
25,24,2.0,0,0,0,0,0,1.5043692997882063
24,26,1.0,0,0,0,0,0,1.504697740102309
26,24,1.0,0,0,0,0,0,1.504697740102309
24,27,1.0,0,0,0,0,0,1.6256591986772766
27,24,1.0,0,0,0,0,0,1.6256591986772766
27,28,1.0,0,0,0,0,0,1.413790067884407
28,27,1.0,0,0,0,0,0,1.413790067884407
28,29,1.0,0,0,0,0,0,1.5323543238641748
29,28,1.0,0,0,0,0,0,1.5323543238641748
29,30,1.0,0,0,0,0,0,1.5514734972952602
30,29,1.0,0,0,0,0,0,1.5514734972952602
30,31,1.0,0,0,0,0,0,1.5252321764646175
31,30,1.0,0,0,0,0,0,1.5252321764646175
30,32,1.0,0,0,0,0,0,1.5222967229124285
32,30,1.0,0,0,0,0,0,1.5222967229124285
