atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.024390243902439025
2,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.04878048780487805
3,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.07317073170731707
4,6,0,2,4,0,0,0,0,2,12.011,-0.05330614506314383,0.0975609756097561
5,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416582441,0.12195121951219512
6,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278877653,0.14634146341463414
7,6,0,2,4,0,0,0,0,2,12.011,-0.05330597131934254,0.17073170731707318
8,6,0,2,4,0,0,0,0,2,12.011,-0.0533057877565554,0.1951219512195122
9,6,0,2,4,0,0,0,0,2,12.011,-0.053295023814834905,0.21951219512195122
10,6,0,2,4,0,0,0,0,2,12.011,-0.05301105057711353,0.24390243902439024
11,6,0,2,4,0,0,0,0,2,12.011,-0.04982338336896546,0.2682926829268293
12,6,0,2,4,0,0,0,0,2,12.011,-0.03497676143244272,0.2926829268292683
13,6,0,2,3,0,0,0,0,1,12.011,-0.08590738000156142,0.3170731707317073
14,6,0,2,3,0,0,0,0,1,12.011,-0.05806095652124595,0.34146341463414637
15,6,0,3,4,0,0,1,1,1,12.011,0.09450368372877142,0.36585365853658536
16,8,0,1,4,0,0,0,0,1,15.999,-0.386799836159615,0.3902439024390244
17,6,0,3,4,0,0,2,1,1,12.011,0.08177399437939711,0.3902439024390244
18,6,0,2,4,0,0,0,0,2,12.011,0.07299895150922968,0.4146341463414634
19,8,0,2,4,0,0,0,0,0,15.999,-0.34761917221383515,0.43902439024390244
20,6,0,3,4,0,1,2,1,1,12.011,0.1863042036011066,0.4634146341463415
21,8,0,2,4,0,1,0,0,0,15.999,-0.34139493349457706,0.4878048780487805
22,6,0,3,4,0,1,2,1,1,12.011,0.11235432161378518,0.5121951219512195
23,6,0,2,4,0,0,0,0,2,12.011,0.07213334758841662,0.5365853658536586
24,8,0,1,4,0,0,0,0,1,15.999,-0.3935665056577505,0.5609756097560976
25,6,0,3,4,0,1,2,1,1,12.011,0.11294224638321812,0.5365853658536586
26,8,0,1,4,0,0,0,0,1,15.999,-0.3874296432169322,0.5609756097560976
27,6,0,3,4,0,1,2,1,1,12.011,0.13860389796291117,0.5121951219512195
28,8,0,2,4,0,0,0,0,0,15.999,-0.23916110467181007,0.5365853658536586
29,16,0,4,4,0,0,0,0,0,32.067,0.39731170600228577,0.5609756097560976
30,8,0,1,3,0,0,0,0,0,15.999,-0.16937592783698008,0.5853658536585366
31,8,0,1,3,0,0,0,0,0,15.999,-0.16937592783698008,0.5853658536585366
32,8,0,1,4,0,0,0,0,1,15.999,-0.2635179396269278,0.5853658536585366
33,6,0,3,4,0,1,1,1,1,12.011,0.13509602802554332,0.4878048780487805
34,8,0,1,4,0,0,0,0,1,15.999,-0.3849168017259642,0.5121951219512195
35,7,0,2,3,0,0,0,0,1,14.007,-0.34808875926481364,0.4146341463414634
36,6,0,3,3,0,0,0,0,0,12.011,0.2198920728397932,0.43902439024390244
37,8,0,1,3,0,0,0,0,0,15.999,-0.27513200731473714,0.4634146341463415
38,6,0,2,4,0,0,0,0,2,12.011,0.0264765528518165,0.4634146341463415
39,6,0,2,4,0,0,0,0,2,12.011,-0.044496077936315145,0.4878048780487805
40,6,0,2,4,0,0,0,0,2,12.011,-0.052812493042959416,0.5121951219512195
41,6,0,2,4,0,0,0,0,2,12.011,-0.05329166571213524,0.5365853658536586
42,6,0,2,4,0,0,0,0,2,12.011,-0.05330576107435889,0.5609756097560976
43,6,0,2,4,0,0,0,0,2,12.011,-0.05330597121778762,0.5853658536585366
44,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278333657,0.6097560975609756
45,6,0,2,4,0,0,0,0,2,12.011,-0.053305972789105295,0.6341463414634146
46,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157,0.6585365853658537
47,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157,0.6829268292682927
48,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157,0.7073170731707317
49,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157,0.7317073170731707
50,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157,0.7560975609756098
51,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157,0.7804878048780488
52,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278911572,0.8048780487804879
53,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278912536,0.8292682926829268
54,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694,0.8536585365853658
55,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466,0.8780487804878049
56,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844,0.9024390243902439
57,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.926829268292683
58,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.9512195121951219
59,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.975609756097561
60,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
