source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5206495222080771
1,0,1.0,0,0,0,0,0,1.5206495222080771
1,2,1.0,0,0,0,0,0,1.5305559885467388
2,1,1.0,0,0,0,0,0,1.5305559885467388
2,3,1.0,0,0,0,0,0,1.531753073346222
3,2,1.0,0,0,0,0,0,1.531753073346222
3,4,1.0,0,0,0,0,0,1.5303565860692403
4,3,1.0,0,0,0,0,0,1.5303565860692403
4,5,1.0,0,0,0,0,0,1.5316807973021662
5,4,1.0,0,0,0,0,0,1.5316807973021662
5,6,1.0,0,0,0,0,0,1.5315645080024978
6,5,1.0,0,0,0,0,0,1.5315645080024978
6,7,1.0,0,0,0,0,0,1.530506281347617
7,6,1.0,0,0,0,0,0,1.530506281347617
7,8,1.0,0,0,0,0,0,1.531857907870875
8,7,1.0,0,0,0,0,0,1.531857907870875
8,9,1.0,0,0,0,0,0,1.5316917383376754
9,8,1.0,0,0,0,0,0,1.5316917383376754
9,10,1.0,0,0,0,0,0,1.5303125257357102
10,9,1.0,0,0,0,0,0,1.5303125257357102
10,11,1.0,0,0,0,0,0,1.5314688825503442
11,10,1.0,0,0,0,0,0,1.5314688825503442
11,12,1.0,0,0,0,0,0,1.5325842178542255
12,11,1.0,0,0,0,0,0,1.5325842178542255
12,13,1.0,0,0,0,0,0,1.5317699967367524
13,12,1.0,0,0,0,0,0,1.5317699967367524
13,14,1.0,0,0,0,0,0,1.5321427988745164
14,13,1.0,0,0,0,0,0,1.5321427988745164
14,15,1.0,0,0,0,0,0,1.5311684447244873
15,14,1.0,0,0,0,0,0,1.5311684447244873
15,16,1.0,0,0,0,0,0,1.5275604906877605
16,15,1.0,0,0,0,0,0,1.5275604906877605
16,17,1.0,0,0,0,0,0,1.5092245730884273
17,16,1.0,0,0,0,0,0,1.5092245730884273
17,18,2.0,1,0,0,0,0,1.2242009486301604
18,17,2.0,1,0,0,0,0,1.2242009486301604
17,19,1.0,1,0,0,0,0,1.3571876348393335
19,17,1.0,1,0,0,0,0,1.3571876348393335
19,20,1.0,0,0,0,0,0,1.4476238254236424
20,19,1.0,0,0,0,0,0,1.4476238254236424
20,21,1.0,0,0,0,0,0,1.534280813092261
21,20,1.0,0,0,0,0,0,1.534280813092261
21,22,1.0,0,0,0,0,0,1.4377670618013574
22,21,1.0,0,0,0,0,0,1.4377670618013574
22,23,1.0,1,0,0,0,0,1.3612166601273108
23,22,1.0,1,0,0,0,0,1.3612166601273108
23,24,2.0,1,0,0,0,0,1.2242609404821614
24,23,2.0,1,0,0,0,0,1.2242609404821614
23,25,1.0,0,0,0,0,0,1.51056775784661
25,23,1.0,0,0,0,0,0,1.51056775784661
25,26,1.0,0,0,0,0,0,1.5272276958321793
26,25,1.0,0,0,0,0,0,1.5272276958321793
26,27,1.0,0,0,0,0,0,1.5318702494273815
27,26,1.0,0,0,0,0,0,1.5318702494273815
27,28,1.0,0,0,0,0,0,1.5316439448852117
28,27,1.0,0,0,0,0,0,1.5316439448852117
28,29,1.0,0,0,0,0,0,1.5313086513600858
29,28,1.0,0,0,0,0,0,1.5313086513600858
29,30,1.0,0,0,0,0,0,1.5308931767490974
30,29,1.0,0,0,0,0,0,1.5308931767490974
30,31,1.0,0,0,0,0,0,1.5317430469472295
31,30,1.0,0,0,0,0,0,1.5317430469472295
31,32,1.0,0,0,0,0,0,1.5312572596956922
32,31,1.0,0,0,0,0,0,1.5312572596956922
32,33,1.0,0,0,0,0,0,1.5315829926735671
33,32,1.0,0,0,0,0,0,1.5315829926735671
33,34,1.0,0,0,0,0,0,1.5293238406544485
34,33,1.0,0,0,0,0,0,1.5293238406544485
34,35,1.0,0,0,0,0,0,1.520573763397264
35,34,1.0,0,0,0,0,0,1.520573763397264
20,36,1.0,0,0,0,0,0,1.5333124448665738
36,20,1.0,0,0,0,0,0,1.5333124448665738
36,37,1.0,0,0,0,0,0,1.420321146510752
37,36,1.0,0,0,0,0,0,1.420321146510752
37,38,1.0,0,0,0,0,0,1.6171856325184002
38,37,1.0,0,0,0,0,0,1.6171856325184002
38,39,2.0,0,0,0,0,0,1.5021290313410023
39,38,2.0,0,0,0,0,0,1.5021290313410023
38,40,1.0,0,0,0,0,0,1.5055700517097064
40,38,1.0,0,0,0,0,0,1.5055700517097064
38,41,1.0,0,0,0,0,0,1.6240031744984436
41,38,1.0,0,0,0,0,0,1.6240031744984436
41,42,1.0,0,0,0,0,0,1.4118859402150876
42,41,1.0,0,0,0,0,0,1.4118859402150876
42,43,1.0,0,0,0,0,0,1.5325356307752689
43,42,1.0,0,0,0,0,0,1.5325356307752689
43,44,1.0,0,0,0,0,0,1.5511472654690244
44,43,1.0,0,0,0,0,0,1.5511472654690244
44,45,1.0,0,0,0,0,0,1.5191415199515006
45,44,1.0,0,0,0,0,0,1.5191415199515006
44,46,1.0,0,0,0,0,0,1.5197397681707017
46,44,1.0,0,0,0,0,0,1.5197397681707017
44,47,1.0,0,0,0,0,0,1.5284107665156834
47,44,1.0,0,0,0,0,0,1.5284107665156834
