source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.520539423756815
1,0,1.0,0,0,0,0,0,1.520539423756815
1,2,1.0,0,0,0,0,0,1.5292991101465785
2,1,1.0,0,0,0,0,0,1.5292991101465785
2,3,1.0,0,0,0,0,0,1.5319086569701237
3,2,1.0,0,0,0,0,0,1.5319086569701237
3,4,1.0,0,0,0,0,0,1.5320106296860883
4,3,1.0,0,0,0,0,0,1.5320106296860883
4,5,1.0,0,0,0,4,0,1.5029452201477214
5,4,1.0,0,0,0,4,0,1.5029452201477214
5,6,2.0,0,0,2,0,0,1.3441082319974214
6,5,2.0,0,0,2,0,0,1.3441082319974214
6,7,1.0,0,0,0,3,0,1.5028899277119583
7,6,1.0,0,0,0,3,0,1.5028899277119583
7,8,1.0,0,0,0,4,0,1.5038440705777878
8,7,1.0,0,0,0,4,0,1.5038440705777878
8,9,2.0,0,0,2,0,0,1.3441655419290757
9,8,2.0,0,0,2,0,0,1.3441655419290757
9,10,1.0,0,0,0,3,0,1.504058298713418
10,9,1.0,0,0,0,3,0,1.504058298713418
10,11,1.0,0,0,0,0,0,1.5317202057707286
11,10,1.0,0,0,0,0,0,1.5317202057707286
11,12,1.0,0,0,0,0,0,1.532390208536214
12,11,1.0,0,0,0,0,0,1.532390208536214
12,13,1.0,0,0,0,0,0,1.53214790610314
13,12,1.0,0,0,0,0,0,1.53214790610314
13,14,1.0,0,0,0,0,0,1.5320780196001091
14,13,1.0,0,0,0,0,0,1.5320780196001091
14,15,1.0,0,0,0,0,0,1.5319484630515465
15,14,1.0,0,0,0,0,0,1.5319484630515465
15,16,1.0,0,0,0,0,0,1.5276520224268326
16,15,1.0,0,0,0,0,0,1.5276520224268326
16,17,1.0,0,0,0,0,0,1.5104991319853256
17,16,1.0,0,0,0,0,0,1.5104991319853256
17,18,2.0,1,0,0,0,0,1.2227039048092903
18,17,2.0,1,0,0,0,0,1.2227039048092903
17,19,1.0,1,0,0,0,0,1.3604955538445602
19,17,1.0,1,0,0,0,0,1.3604955538445602
19,20,1.0,0,0,0,0,0,1.4388843559788946
20,19,1.0,0,0,0,0,0,1.4388843559788946
20,21,1.0,0,0,0,0,0,1.5360941658674105
21,20,1.0,0,0,0,0,0,1.5360941658674105
21,22,1.0,0,0,0,0,0,1.532421966358548
22,21,1.0,0,0,0,0,0,1.532421966358548
22,23,1.0,0,0,0,0,0,1.4205675150160544
23,22,1.0,0,0,0,0,0,1.4205675150160544
23,24,1.0,0,0,0,0,0,1.6038975696637947
24,23,1.0,0,0,0,0,0,1.6038975696637947
24,25,2.0,0,0,0,0,0,1.4923426925837686
25,24,2.0,0,0,0,0,0,1.4923426925837686
24,26,1.0,0,0,0,0,0,1.6027781751592354
26,24,1.0,0,0,0,0,0,1.6027781751592354
24,27,1.0,0,0,0,0,0,1.6027460690069468
27,24,1.0,0,0,0,0,0,1.6027460690069468
27,28,1.0,0,0,0,0,0,1.421581698774935
28,27,1.0,0,0,0,0,0,1.421581698774935
28,29,1.0,0,0,0,0,0,1.5319806207918467
29,28,1.0,0,0,0,0,0,1.5319806207918467
29,30,1.0,0,0,0,0,0,1.4346283323938507
30,29,1.0,0,0,0,0,0,1.4346283323938507
29,31,1.0,0,0,0,0,0,1.5345006111811337
31,29,1.0,0,0,0,0,0,1.5345006111811337
31,32,1.0,0,0,0,0,0,1.4211693641312004
32,31,1.0,0,0,0,0,0,1.4211693641312004
32,33,1.0,0,0,0,0,0,1.6033593985268546
33,32,1.0,0,0,0,0,0,1.6033593985268546
33,34,2.0,0,0,0,0,0,1.4925079514907638
34,33,2.0,0,0,0,0,0,1.4925079514907638
33,35,1.0,0,0,0,0,0,1.6006903427913008
35,33,1.0,0,0,0,0,0,1.6006903427913008
33,36,1.0,0,0,0,0,0,1.6012552490668444
36,33,1.0,0,0,0,0,0,1.6012552490668444
36,37,1.0,0,0,0,0,0,1.4222140249106887
37,36,1.0,0,0,0,0,0,1.4222140249106887
37,38,1.0,0,0,0,0,0,1.5334801451340503
38,37,1.0,0,0,0,0,0,1.5334801451340503
38,39,1.0,0,0,0,0,0,1.5345507306411048
39,38,1.0,0,0,0,0,0,1.5345507306411048
39,40,1.0,0,0,0,0,0,1.4369033818919459
40,39,1.0,0,0,0,0,0,1.4369033818919459
40,41,1.0,1,0,0,0,0,1.3623802948890935
41,40,1.0,1,0,0,0,0,1.3623802948890935
41,42,2.0,1,0,0,0,0,1.223135040437986
42,41,2.0,1,0,0,0,0,1.223135040437986
41,43,1.0,0,0,0,0,0,1.508522787002118
43,41,1.0,0,0,0,0,0,1.508522787002118
43,44,1.0,0,0,0,0,0,1.526443941944074
44,43,1.0,0,0,0,0,0,1.526443941944074
44,45,1.0,0,0,0,0,0,1.531060707516317
45,44,1.0,0,0,0,0,0,1.531060707516317
45,46,1.0,0,0,0,0,0,1.530980602749378
46,45,1.0,0,0,0,0,0,1.530980602749378
46,47,1.0,0,0,0,0,0,1.531139837453917
47,46,1.0,0,0,0,0,0,1.531139837453917
47,48,1.0,0,0,0,0,0,1.5315672887710687
48,47,1.0,0,0,0,0,0,1.5315672887710687
48,49,1.0,0,0,0,0,0,1.5310864833804376
49,48,1.0,0,0,0,0,0,1.5310864833804376
49,50,1.0,0,0,0,4,0,1.5026637963651213
50,49,1.0,0,0,0,4,0,1.5026637963651213
50,51,2.0,0,0,2,0,0,1.3428147344393115
51,50,2.0,0,0,2,0,0,1.3428147344393115
51,52,1.0,0,0,0,3,0,1.5028627703674888
52,51,1.0,0,0,0,3,0,1.5028627703674888
