atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717801,0.7419354838709677
1,7,1,4,4,0,0,0,0,0,14.007,-0.3289927434826589,0.7096774193548387
2,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717801,0.7419354838709677
3,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717801,0.7419354838709677
4,6,0,2,4,0,0,0,0,2,12.011,0.1022921036882134,0.6774193548387096
5,6,0,2,4,0,0,0,0,2,12.011,0.1042843292682759,0.6451612903225806
6,8,0,2,4,0,0,0,0,0,15.999,-0.3124811045073562,0.6129032258064516
7,15,0,4,4,0,0,0,1,0,30.974,0.26767245661148253,0.5806451612903226
8,8,0,1,3,0,0,0,0,0,15.999,-0.27632797671704756,0.6129032258064516
9,8,-1,1,4,0,0,0,0,0,15.999,-0.7561177949371791,0.6129032258064516
10,8,0,2,4,0,0,0,0,0,15.999,-0.31555150878555743,0.5483870967741935
11,6,0,2,4,0,0,0,0,2,12.011,0.08481371123257461,0.5161290322580645
12,6,0,3,4,0,0,1,1,1,12.011,0.1153364995495901,0.4838709677419355
13,6,0,2,4,0,0,0,0,2,12.011,0.11972753069825619,0.45161290322580644
14,8,0,2,3,0,0,0,0,0,15.999,-0.462812343802454,0.41935483870967744
15,6,0,3,3,0,0,0,0,0,12.011,0.30537425898648834,0.3870967741935484
16,8,0,1,3,0,0,0,0,0,15.999,-0.25229843153403747,0.41935483870967744
17,6,0,2,4,0,0,0,0,2,12.011,0.045502285024507046,0.3548387096774194
18,6,0,2,4,0,0,0,0,2,12.011,-0.042783170844958765,0.3225806451612903
19,6,0,2,4,0,0,0,0,2,12.011,-0.052737876405299526,0.2903225806451613
20,6,0,2,4,0,0,0,0,2,12.011,-0.053026582036100695,0.25806451612903225
21,6,0,2,4,0,0,0,0,2,12.011,-0.050436762007103016,0.22580645161290322
22,6,0,3,4,0,1,0,1,1,12.011,-0.04113374483671627,0.1935483870967742
23,6,0,2,4,0,1,0,0,2,12.011,-0.05015245345013156,0.16129032258064516
24,6,0,2,4,0,1,0,0,2,12.011,-0.049622397131561656,0.12903225806451613
25,6,0,3,4,0,1,0,1,1,12.011,-0.034876083393981704,0.0967741935483871
26,6,0,3,4,0,1,0,1,1,12.011,-0.03463289316984798,0.12903225806451613
27,6,0,2,4,0,1,0,0,2,12.011,-0.04702914540089584,0.16129032258064516
28,6,0,3,4,0,1,0,1,1,12.011,-0.03179027210524349,0.0967741935483871
29,6,0,3,4,0,1,0,1,1,12.011,-0.03488557296637608,0.06451612903225806
30,6,0,2,4,0,1,0,0,2,12.011,-0.04960181965650299,0.03225806451612903
31,6,0,2,4,0,1,0,0,2,12.011,-0.0496018210530665,0.0
32,6,0,3,4,0,1,0,1,1,12.011,-0.034885743828059326,0.03225806451612903
33,6,0,3,4,0,1,0,1,1,12.011,-0.03179994186768732,0.06451612903225806
34,8,0,2,4,0,0,0,0,0,15.999,-0.37223518262889516,0.5161290322580645
35,6,0,2,4,0,0,0,0,2,12.011,0.04722969159256999,0.5483870967741935
36,6,0,2,4,0,0,0,0,2,12.011,-0.02958326963295753,0.5806451612903226
37,6,0,2,4,0,0,0,0,2,12.011,-0.05111389834802749,0.6129032258064516
38,6,0,2,4,0,0,0,0,2,12.011,-0.05322174853861009,0.6451612903225806
39,6,0,2,4,0,0,0,0,2,12.011,-0.053304354499448196,0.6774193548387096
40,6,0,2,4,0,0,0,0,2,12.011,-0.0532958285279143,0.7096774193548387
41,6,0,2,4,0,0,0,0,2,12.011,-0.053041983767929866,0.7419354838709677
42,6,0,2,4,0,0,0,0,2,12.011,-0.05043698244926223,0.7741935483870968
43,6,0,3,4,0,1,0,1,1,12.011,-0.041133746442871266,0.8064516129032258
44,6,0,2,4,0,1,0,0,2,12.011,-0.05015245345600822,0.8387096774193549
45,6,0,2,4,0,1,0,0,2,12.011,-0.04962239713157221,0.8709677419354839
46,6,0,3,4,0,1,0,1,1,12.011,-0.03487608339398173,0.9032258064516129
47,6,0,3,4,0,1,0,1,1,12.011,-0.034632893169858556,0.8709677419354839
48,6,0,2,4,0,1,0,0,2,12.011,-0.047029145406772443,0.8387096774193549
49,6,0,3,4,0,1,0,1,1,12.011,-0.03179027210524351,0.9032258064516129
50,6,0,3,4,0,1,0,1,1,12.011,-0.03488557296637608,0.9354838709677419
51,6,0,2,4,0,1,0,0,2,12.011,-0.04960181965650299,0.967741935483871
52,6,0,2,4,0,1,0,0,2,12.011,-0.0496018210530665,1.0
53,6,0,3,4,0,1,0,1,1,12.011,-0.034885743828059326,0.967741935483871
54,6,0,3,4,0,1,0,1,1,12.011,-0.03179994186768732,0.9354838709677419
