atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063182704,0.9655172413793104
2,6,0,2,4,0,0,0,0,2,12.011,-0.05356864271905036,0.9310344827586207
3,6,0,2,4,0,0,0,0,2,12.011,-0.053316030800072294,0.896551724137931
4,6,0,2,4,0,0,0,0,2,12.011,-0.053305960030673456,0.8620689655172413
5,6,0,2,4,0,0,0,0,2,12.011,-0.053295025240741124,0.8275862068965517
6,6,0,2,4,0,0,0,0,2,12.011,-0.05301106352997276,0.7931034482758621
7,6,0,2,4,0,0,0,0,2,12.011,-0.04982501703074705,0.7586206896551724
8,6,0,2,4,0,0,0,0,2,12.011,-0.035073467390462444,0.7241379310344828
9,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884,0.6896551724137931
10,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215613828,0.6551724137931034
11,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461364,0.6206896551724138
12,6,0,2,4,0,0,0,0,2,12.011,-0.049825015426065926,0.5862068965517241
13,6,0,2,4,0,0,0,0,2,12.011,-0.05301084309648355,0.5517241379310345
14,6,0,2,4,0,0,0,0,2,12.011,-0.05327962203837409,0.5172413793103449
15,6,0,2,4,0,0,0,0,2,12.011,-0.05274782398648839,0.4827586206896552
16,6,0,2,4,0,0,0,0,2,12.011,-0.04278334311358692,0.4482758620689655
17,6,0,2,4,0,0,0,0,2,12.011,0.045502282266327645,0.41379310344827586
18,6,0,3,3,0,0,0,0,0,12.011,0.30537410365295586,0.3793103448275862
19,8,0,1,3,0,0,0,0,0,15.999,-0.2522984328761486,0.41379310344827586
20,8,0,2,3,0,0,0,0,0,15.999,-0.4628229144365099,0.3448275862068966
21,6,0,2,4,0,0,0,0,2,12.011,0.11945247577907528,0.3103448275862069
22,6,0,3,4,0,0,1,1,1,12.011,0.1119996282139087,0.27586206896551724
23,8,0,1,4,0,0,0,0,1,15.999,-0.3871312800907905,0.3103448275862069
24,6,0,2,4,0,0,0,0,2,12.011,0.08790207139828066,0.2413793103448276
25,8,0,2,4,0,0,0,0,0,15.999,-0.28413652290066754,0.20689655172413793
26,15,0,4,4,0,0,0,1,0,30.974,0.47186709337686555,0.1724137931034483
27,8,0,1,3,0,0,0,0,0,15.999,-0.22811560919828958,0.20689655172413793
28,8,0,1,4,0,0,0,0,1,15.999,-0.30249320318800715,0.20689655172413793
29,8,0,2,4,0,0,0,0,0,15.999,-0.2841835403648474,0.13793103448275862
30,6,0,2,4,0,0,0,0,2,12.011,0.0868000275354141,0.10344827586206896
31,6,0,3,4,0,0,1,1,1,12.011,0.10096203262087908,0.06896551724137931
32,8,0,1,4,0,0,0,0,1,15.999,-0.38830060765318686,0.10344827586206896
33,6,0,2,4,0,0,0,0,2,12.011,0.07136047919860153,0.034482758620689655
34,8,0,1,4,0,0,0,0,1,15.999,-0.39359285974989117,0.0
