source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5209527949463064
1,0,1.0,0,0,0,0,0,1.5209527949463064
1,2,1.0,0,0,0,0,0,1.5306474794497427
2,1,1.0,0,0,0,0,0,1.5306474794497427
2,3,1.0,0,0,0,0,0,1.5316971236427843
3,2,1.0,0,0,0,0,0,1.5316971236427843
3,4,1.0,0,0,0,0,0,1.5324691808061104
4,3,1.0,0,0,0,0,0,1.5324691808061104
4,5,1.0,0,0,0,0,0,1.5313568070624597
5,4,1.0,0,0,0,0,0,1.5313568070624597
5,6,1.0,0,0,0,0,0,1.532821102580594
6,5,1.0,0,0,0,0,0,1.532821102580594
6,7,1.0,0,0,0,0,0,1.5329040631578121
7,6,1.0,0,0,0,0,0,1.5329040631578121
7,8,1.0,0,0,0,0,0,1.5319947732325223
8,7,1.0,0,0,0,0,0,1.5319947732325223
8,9,1.0,0,0,0,0,0,1.5310535187510075
9,8,1.0,0,0,0,0,0,1.5310535187510075
9,10,1.0,0,0,0,0,0,1.5321115481905665
10,9,1.0,0,0,0,0,0,1.5321115481905665
10,11,1.0,0,0,0,0,0,1.5327843648836996
11,10,1.0,0,0,0,0,0,1.5327843648836996
11,12,1.0,0,0,0,0,0,1.531059895440751
12,11,1.0,0,0,0,0,0,1.531059895440751
12,13,1.0,0,0,0,4,0,1.5035109158171576
13,12,1.0,0,0,0,4,0,1.5035109158171576
13,14,2.0,0,0,3,0,0,1.3437851674960488
14,13,2.0,0,0,3,0,0,1.3437851674960488
14,15,1.0,0,0,0,4,0,1.5086106903198346
15,14,1.0,0,0,0,4,0,1.5086106903198346
15,16,1.0,0,0,0,0,0,1.4323338619413197
16,15,1.0,0,0,0,0,0,1.4323338619413197
15,17,1.0,0,0,0,0,0,1.5588817354483617
17,15,1.0,0,0,0,0,0,1.5588817354483617
17,18,1.0,0,0,0,0,0,1.5447216265618393
18,17,1.0,0,0,0,0,0,1.5447216265618393
18,19,1.0,0,0,0,0,0,1.432782913561131
19,18,1.0,0,0,0,0,0,1.432782913561131
19,20,1.0,0,0,0,0,0,1.4304989388361906
20,19,1.0,0,0,0,0,0,1.4304989388361906
20,21,1.0,0,1,0,0,0,1.4292839602424618
21,20,1.0,0,1,0,0,0,1.4292839602424618
21,22,1.0,0,1,0,0,0,1.4341441315999446
22,21,1.0,0,1,0,0,0,1.4341441315999446
22,23,1.0,0,0,0,0,0,1.5338082094282721
23,22,1.0,0,0,0,0,0,1.5338082094282721
23,24,1.0,0,0,0,0,0,1.424451000354311
24,23,1.0,0,0,0,0,0,1.424451000354311
22,25,1.0,0,1,0,0,0,1.5387077762315964
25,22,1.0,0,1,0,0,0,1.5387077762315964
25,26,1.0,0,0,0,0,0,1.4377093060700004
26,25,1.0,0,0,0,0,0,1.4377093060700004
25,27,1.0,0,1,0,0,0,1.5340911612437451
27,25,1.0,0,1,0,0,0,1.5340911612437451
27,28,1.0,0,0,0,0,0,1.437798677767739
28,27,1.0,0,0,0,0,0,1.437798677767739
27,29,1.0,0,1,0,0,0,1.5313623585633667
29,27,1.0,0,1,0,0,0,1.5313623585633667
29,30,1.0,0,0,0,0,0,1.4377330920291889
30,29,1.0,0,0,0,0,0,1.4377330920291889
17,31,1.0,0,0,0,0,0,1.4740364557658907
31,17,1.0,0,0,0,0,0,1.4740364557658907
31,32,1.0,1,0,0,0,0,1.3775067015525675
32,31,1.0,1,0,0,0,0,1.3775067015525675
32,33,2.0,1,0,0,0,0,1.2256516991661022
33,32,2.0,1,0,0,0,0,1.2256516991661022
32,34,1.0,0,0,0,0,0,1.517357882197695
34,32,1.0,0,0,0,0,0,1.517357882197695
34,35,1.0,0,0,0,0,0,1.5278939892038748
35,34,1.0,0,0,0,0,0,1.5278939892038748
35,36,1.0,0,0,0,0,0,1.5309105893971156
36,35,1.0,0,0,0,0,0,1.5309105893971156
36,37,1.0,0,0,0,0,0,1.5322887520656217
37,36,1.0,0,0,0,0,0,1.5322887520656217
37,38,1.0,0,0,0,0,0,1.5330041364780205
38,37,1.0,0,0,0,0,0,1.5330041364780205
38,39,1.0,0,0,0,0,0,1.5315680387171664
39,38,1.0,0,0,0,0,0,1.5315680387171664
39,40,1.0,0,0,0,0,0,1.532617899635211
40,39,1.0,0,0,0,0,0,1.532617899635211
40,41,1.0,0,0,0,0,0,1.5319899142525761
41,40,1.0,0,0,0,0,0,1.5319899142525761
41,42,1.0,0,0,0,0,0,1.5306648899075141
42,41,1.0,0,0,0,0,0,1.5306648899075141
42,43,1.0,0,0,0,0,0,1.5316842325899382
43,42,1.0,0,0,0,0,0,1.5316842325899382
43,44,1.0,0,0,0,0,0,1.5315999220877259
44,43,1.0,0,0,0,0,0,1.5315999220877259
44,45,1.0,0,0,0,0,0,1.531429504450843
45,44,1.0,0,0,0,0,0,1.531429504450843
45,46,1.0,0,0,0,0,0,1.531867750906277
46,45,1.0,0,0,0,0,0,1.531867750906277
46,47,1.0,0,0,0,0,0,1.5297407831298204
47,46,1.0,0,0,0,0,0,1.5297407831298204
47,48,1.0,0,0,0,0,0,1.5208437901908416
48,47,1.0,0,0,0,0,0,1.5208437901908416
29,20,1.0,0,1,0,0,0,1.547311894000511
20,29,1.0,0,1,0,0,0,1.547311894000511
