source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5203956418227915
1,0,1.0,0,0,0,0,0,1.5203956418227915
1,2,1.0,0,0,0,0,0,1.5296191754981678
2,1,1.0,0,0,0,0,0,1.5296191754981678
2,3,1.0,0,0,0,0,0,1.5329211279518502
3,2,1.0,0,0,0,0,0,1.5329211279518502
3,4,1.0,0,0,0,0,0,1.5325143671639085
4,3,1.0,0,0,0,0,0,1.5325143671639085
4,5,1.0,0,0,0,4,0,1.502752735416392
5,4,1.0,0,0,0,4,0,1.502752735416392
5,6,2.0,0,0,2,0,0,1.3428521828327564
6,5,2.0,0,0,2,0,0,1.3428521828327564
6,7,1.0,0,0,0,3,0,1.5024636654637782
7,6,1.0,0,0,0,3,0,1.5024636654637782
7,8,1.0,0,0,0,0,0,1.5324213254663899
8,7,1.0,0,0,0,0,0,1.5324213254663899
8,9,1.0,0,0,0,0,0,1.5322975094933111
9,8,1.0,0,0,0,0,0,1.5322975094933111
9,10,1.0,0,0,0,0,0,1.5309659245269962
10,9,1.0,0,0,0,0,0,1.5309659245269962
10,11,1.0,0,0,0,0,0,1.5320472188920793
11,10,1.0,0,0,0,0,0,1.5320472188920793
11,12,1.0,0,0,0,0,0,1.5328934617255345
12,11,1.0,0,0,0,0,0,1.5328934617255345
12,13,1.0,0,0,0,0,0,1.527789527294397
13,12,1.0,0,0,0,0,0,1.527789527294397
13,14,1.0,0,0,0,0,0,1.509493019087916
14,13,1.0,0,0,0,0,0,1.509493019087916
14,15,2.0,1,0,0,0,0,1.222951185804648
15,14,2.0,1,0,0,0,0,1.222951185804648
14,16,1.0,1,0,0,0,0,1.3628546492828468
16,14,1.0,1,0,0,0,0,1.3628546492828468
16,17,1.0,0,0,0,0,0,1.4367815242234854
17,16,1.0,0,0,0,0,0,1.4367815242234854
17,18,1.0,0,0,0,0,0,1.5360820287121524
18,17,1.0,0,0,0,0,0,1.5360820287121524
18,19,1.0,0,0,0,0,0,1.5337340189643958
19,18,1.0,0,0,0,0,0,1.5337340189643958
19,20,1.0,0,0,0,0,0,1.4210793474931978
20,19,1.0,0,0,0,0,0,1.4210793474931978
20,21,1.0,0,0,0,0,0,1.6031872076967069
21,20,1.0,0,0,0,0,0,1.6031872076967069
21,22,2.0,0,0,0,0,0,1.49220588783976
22,21,2.0,0,0,0,0,0,1.49220588783976
21,23,1.0,0,0,0,0,0,1.6007408776014471
23,21,1.0,0,0,0,0,0,1.6007408776014471
21,24,1.0,0,0,0,0,0,1.6041561790419336
24,21,1.0,0,0,0,0,0,1.6041561790419336
24,25,1.0,0,0,0,0,0,1.423684674937763
25,24,1.0,0,0,0,0,0,1.423684674937763
25,26,1.0,0,0,0,0,0,1.530685798588186
26,25,1.0,0,0,0,0,0,1.530685798588186
26,27,1.0,0,0,0,0,0,1.4332860696124363
27,26,1.0,0,0,0,0,0,1.4332860696124363
26,28,1.0,0,0,0,0,0,1.5304673193418559
28,26,1.0,0,0,0,0,0,1.5304673193418559
28,29,1.0,0,0,0,0,0,1.4245590205454115
29,28,1.0,0,0,0,0,0,1.4245590205454115
18,30,1.0,0,0,0,0,0,1.4471385828759473
30,18,1.0,0,0,0,0,0,1.4471385828759473
30,31,1.0,1,0,0,0,0,1.3619940190037216
31,30,1.0,1,0,0,0,0,1.3619940190037216
31,32,2.0,1,0,0,0,0,1.22322099904409
32,31,2.0,1,0,0,0,0,1.22322099904409
31,33,1.0,0,0,0,0,0,1.5101258118295446
33,31,1.0,0,0,0,0,0,1.5101258118295446
33,34,1.0,0,0,0,0,0,1.5277570856653024
34,33,1.0,0,0,0,0,0,1.5277570856653024
34,35,1.0,0,0,0,0,0,1.5316976256562729
35,34,1.0,0,0,0,0,0,1.5316976256562729
35,36,1.0,0,0,0,0,0,1.5316409983133858
36,35,1.0,0,0,0,0,0,1.5316409983133858
36,37,1.0,0,0,0,0,0,1.532106067232459
37,36,1.0,0,0,0,0,0,1.532106067232459
37,38,1.0,0,0,0,0,0,1.5312935662524902
38,37,1.0,0,0,0,0,0,1.5312935662524902
38,39,1.0,0,0,0,0,0,1.5325602342692954
39,38,1.0,0,0,0,0,0,1.5325602342692954
39,40,1.0,0,0,0,0,0,1.53315326382181
40,39,1.0,0,0,0,0,0,1.53315326382181
40,41,1.0,0,0,0,0,0,1.530901463401171
41,40,1.0,0,0,0,0,0,1.530901463401171
41,42,1.0,0,0,0,0,0,1.5325758946746666
42,41,1.0,0,0,0,0,0,1.5325758946746666
42,43,1.0,0,0,0,0,0,1.5317647824347558
43,42,1.0,0,0,0,0,0,1.5317647824347558
43,44,1.0,0,0,0,0,0,1.5312625635134745
44,43,1.0,0,0,0,0,0,1.5312625635134745
44,45,1.0,0,0,0,0,0,1.5319866662158603
45,44,1.0,0,0,0,0,0,1.5319866662158603
45,46,1.0,0,0,0,0,0,1.5317407763689221
46,45,1.0,0,0,0,0,0,1.5317407763689221
46,47,1.0,0,0,0,0,0,1.5316634846891042
47,46,1.0,0,0,0,0,0,1.5316634846891042
47,48,1.0,0,0,0,0,0,1.5314091247725288
48,47,1.0,0,0,0,0,0,1.5314091247725288
48,49,1.0,0,0,0,0,0,1.5295618495693932
49,48,1.0,0,0,0,0,0,1.5295618495693932
49,50,1.0,0,0,0,0,0,1.5210643049547072
50,49,1.0,0,0,0,0,0,1.5210643049547072
