atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,4,0,0,2,1,1,12.011,0.08177399437939711
1,6,0,2,4,0,0,0,0,2,12.011,0.07299895150922968
2,8,0,2,4,0,0,0,0,0,15.999,-0.34761917221383515
3,6,0,3,4,0,1,1,1,1,12.011,0.1863042036011066
4,6,0,3,4,0,1,2,1,1,12.011,0.13509602802554332
5,8,0,1,4,0,0,0,0,1,15.999,-0.3849168017259642
6,6,0,3,4,0,1,1,1,1,12.011,0.13860389796291117
7,8,0,2,4,0,0,0,0,0,15.999,-0.23916110467181007
8,16,0,4,4,0,0,0,0,0,32.067,0.39731170600228577
9,8,0,1,3,0,0,0,0,0,15.999,-0.16937592783698008
10,8,0,1,4,0,0,0,0,1,15.999,-0.2635179396269278
11,8,0,1,3,0,0,0,0,0,15.999,-0.16937592783698008
12,6,0,3,4,0,1,1,1,1,12.011,0.11294224638321812
13,8,0,1,4,0,0,0,0,1,15.999,-0.3874296432169322
14,6,0,3,4,0,1,1,1,1,12.011,0.11235432161378518
15,6,0,2,4,0,0,0,0,2,12.011,0.07213334758841662
16,8,0,1,4,0,0,0,0,1,15.999,-0.3935665056577505
17,8,0,2,4,0,1,0,0,0,15.999,-0.34139493349457706
18,7,0,2,3,0,0,0,0,1,14.007,-0.34808875926481364
19,6,0,3,3,0,0,0,0,0,12.011,0.2198920728397932
20,6,0,2,4,0,0,0,0,2,12.011,0.0264765528518165
21,6,0,2,4,0,0,0,0,2,12.011,-0.044496077936315145
22,6,0,2,4,0,0,0,0,2,12.011,-0.052812493042959416
23,6,0,2,4,0,0,0,0,2,12.011,-0.05329166571213524
24,6,0,2,4,0,0,0,0,2,12.011,-0.05330576107435888
25,6,0,2,4,0,0,0,0,2,12.011,-0.05330597121777735
26,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727777437
27,6,0,2,4,0,0,0,0,2,12.011,-0.053305971319322555
28,6,0,2,4,0,0,0,0,2,12.011,-0.053305787756645524
29,6,0,2,4,0,0,0,0,2,12.011,-0.053295023864022184
30,6,0,2,4,0,0,0,0,2,12.011,-0.05301106352471906
31,6,0,2,4,0,0,0,0,2,12.011,-0.049825017030737405
32,6,0,2,4,0,0,0,0,2,12.011,-0.035073467390462444
33,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884
34,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884
35,6,0,2,4,0,0,0,0,2,12.011,-0.0350734673904721
36,6,0,2,4,0,0,0,0,2,12.011,-0.049825017035991674
37,6,0,2,4,0,0,0,0,2,12.011,-0.053011064901440766
38,6,0,2,4,0,0,0,0,2,12.011,-0.053295196138035676
39,6,0,2,4,0,0,0,0,2,12.011,-0.053315847237370526
40,6,0,2,4,0,0,0,0,2,12.011,-0.05356864125486327
41,6,0,2,4,0,0,0,0,2,12.011,-0.056171667057600655
42,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322278243
43,8,0,1,3,0,0,0,0,0,15.999,-0.27513200731473714
44,6,0,3,4,0,0,2,1,1,12.011,0.09450368372877142
45,8,0,1,4,0,0,0,0,1,15.999,-0.386799836159615
46,6,0,2,3,0,0,0,0,1,12.011,-0.05806095652124595
47,6,0,2,3,0,0,0,0,1,12.011,-0.08590738000156142
48,6,0,2,4,0,0,0,0,2,12.011,-0.03497676143244272
49,6,0,2,4,0,0,0,0,2,12.011,-0.04982338336896546
50,6,0,2,4,0,0,0,0,2,12.011,-0.05301105057711353
51,6,0,2,4,0,0,0,0,2,12.011,-0.053295023814834905
52,6,0,2,4,0,0,0,0,2,12.011,-0.0533057877565554
53,6,0,2,4,0,0,0,0,2,12.011,-0.05330597131934254
54,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278877653
55,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416582441
56,6,0,2,4,0,0,0,0,2,12.011,-0.05330614506314383
57,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505
58,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206
59,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
60,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
