source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.520934676465156
1,0,1.0,0,0,0,0,0,1.520934676465156
1,2,1.0,0,0,0,0,0,1.5292945384538754
2,1,1.0,0,0,0,0,0,1.5292945384538754
2,3,1.0,0,0,0,0,0,1.5307434704394278
3,2,1.0,0,0,0,0,0,1.5307434704394278
3,4,1.0,0,0,0,0,0,1.5312609245816093
4,3,1.0,0,0,0,0,0,1.5312609245816093
4,5,1.0,0,0,0,0,0,1.530061086602062
5,4,1.0,0,0,0,0,0,1.530061086602062
5,6,1.0,0,0,0,4,0,1.503246900410773
6,5,1.0,0,0,0,4,0,1.503246900410773
6,7,2.0,0,0,2,0,0,1.3428685236515858
7,6,2.0,0,0,2,0,0,1.3428685236515858
7,8,1.0,0,0,0,3,0,1.5020829309609198
8,7,1.0,0,0,0,3,0,1.5020829309609198
8,9,1.0,0,0,0,0,0,1.5321980221940503
9,8,1.0,0,0,0,0,0,1.5321980221940503
9,10,1.0,0,0,0,0,0,1.5328049726068689
10,9,1.0,0,0,0,0,0,1.5328049726068689
10,11,1.0,0,0,0,0,0,1.5309685551607273
11,10,1.0,0,0,0,0,0,1.5309685551607273
11,12,1.0,0,0,0,0,0,1.5323842355486037
12,11,1.0,0,0,0,0,0,1.5323842355486037
12,13,1.0,0,0,0,0,0,1.5322134494693807
13,12,1.0,0,0,0,0,0,1.5322134494693807
13,14,1.0,0,0,0,0,0,1.526603580953557
14,13,1.0,0,0,0,0,0,1.526603580953557
14,15,1.0,0,0,0,0,0,1.5086310079089762
15,14,1.0,0,0,0,0,0,1.5086310079089762
15,16,2.0,1,0,0,0,0,1.2228724719048036
16,15,2.0,1,0,0,0,0,1.2228724719048036
15,17,1.0,1,0,0,0,0,1.360625249752039
17,15,1.0,1,0,0,0,0,1.360625249752039
17,18,1.0,0,0,0,0,0,1.4402438226353924
18,17,1.0,0,0,0,0,0,1.4402438226353924
18,19,1.0,0,0,0,0,0,1.535978026649497
19,18,1.0,0,0,0,0,0,1.535978026649497
19,20,1.0,0,0,0,0,0,1.533425483367443
20,19,1.0,0,0,0,0,0,1.533425483367443
20,21,1.0,0,0,0,0,0,1.4185951376469383
21,20,1.0,0,0,0,0,0,1.4185951376469383
21,22,1.0,0,0,0,0,0,1.60498817826791
22,21,1.0,0,0,0,0,0,1.60498817826791
22,23,2.0,0,0,0,0,0,1.4922476323519236
23,22,2.0,0,0,0,0,0,1.4922476323519236
22,24,1.0,0,0,0,0,0,1.600039207642696
24,22,1.0,0,0,0,0,0,1.600039207642696
22,25,1.0,0,0,0,0,0,1.6039999877635034
25,22,1.0,0,0,0,0,0,1.6039999877635034
25,26,1.0,0,0,0,0,0,1.4230458095523275
26,25,1.0,0,0,0,0,0,1.4230458095523275
26,27,1.0,0,0,0,0,0,1.530442632041415
27,26,1.0,0,0,0,0,0,1.530442632041415
27,28,1.0,0,0,0,0,0,1.4364830627212921
28,27,1.0,0,0,0,0,0,1.4364830627212921
27,29,1.0,0,0,0,0,0,1.5299351403033534
29,27,1.0,0,0,0,0,0,1.5299351403033534
29,30,1.0,0,0,0,0,0,1.4257262358283866
30,29,1.0,0,0,0,0,0,1.4257262358283866
19,31,1.0,0,0,0,0,0,1.4468028143036107
31,19,1.0,0,0,0,0,0,1.4468028143036107
31,32,1.0,1,0,0,0,0,1.3598315577419302
32,31,1.0,1,0,0,0,0,1.3598315577419302
32,33,2.0,1,0,0,0,0,1.2234739683027023
33,32,2.0,1,0,0,0,0,1.2234739683027023
32,34,1.0,0,0,0,0,0,1.507831681855821
34,32,1.0,0,0,0,0,0,1.507831681855821
34,35,1.0,0,0,0,0,0,1.5263100476971705
35,34,1.0,0,0,0,0,0,1.5263100476971705
35,36,1.0,0,0,0,0,0,1.5331661921172217
36,35,1.0,0,0,0,0,0,1.5331661921172217
36,37,1.0,0,0,0,0,0,1.5311451507125766
37,36,1.0,0,0,0,0,0,1.5311451507125766
37,38,1.0,0,0,0,0,0,1.5324095002394915
38,37,1.0,0,0,0,0,0,1.5324095002394915
38,39,1.0,0,0,0,0,0,1.5338799947785164
39,38,1.0,0,0,0,0,0,1.5338799947785164
39,40,1.0,0,0,0,0,0,1.5315422577088198
40,39,1.0,0,0,0,0,0,1.5315422577088198
40,41,1.0,0,0,0,4,0,1.5036059459556317
41,40,1.0,0,0,0,4,0,1.5036059459556317
41,42,2.0,0,0,2,0,0,1.3430296412709632
42,41,2.0,0,0,2,0,0,1.3430296412709632
42,43,1.0,0,0,0,3,0,1.5029606013190897
43,42,1.0,0,0,0,3,0,1.5029606013190897
43,44,1.0,0,0,0,0,0,1.5321801322798585
44,43,1.0,0,0,0,0,0,1.5321801322798585
44,45,1.0,0,0,0,0,0,1.5331268124654318
45,44,1.0,0,0,0,0,0,1.5331268124654318
45,46,1.0,0,0,0,0,0,1.5303075167842644
46,45,1.0,0,0,0,0,0,1.5303075167842644
46,47,1.0,0,0,0,0,0,1.5321609954065285
47,46,1.0,0,0,0,0,0,1.5321609954065285
47,48,1.0,0,0,0,0,0,1.5299459544037308
48,47,1.0,0,0,0,0,0,1.5299459544037308
48,49,1.0,0,0,0,0,0,1.5206266548408474
49,48,1.0,0,0,0,0,0,1.5206266548408474
