atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,2,4,0,0,0,0,2,12.011,0.07300069865037583
1,6,0,3,4,0,0,2,1,1,12.011,0.08187223632872352
2,7,0,2,3,0,0,0,0,1,14.007,-0.3458387780400951
3,6,0,3,3,0,0,0,0,0,12.011,0.2487380007583527
4,6,0,3,4,0,0,2,1,1,12.011,0.1323307868428338
5,8,0,1,4,0,0,0,0,1,15.999,-0.38327715798498846
6,6,0,2,4,0,0,0,0,2,12.011,-0.017869911128735733
7,6,0,2,4,0,0,0,0,2,12.011,-0.05032307454074992
8,6,0,2,4,0,0,0,0,2,12.011,-0.05319577088522712
9,6,0,2,4,0,0,0,0,2,12.011,-0.05330411483708255
10,6,0,2,4,0,0,0,0,2,12.011,-0.05330595804691169
11,6,0,2,4,0,0,0,0,2,12.011,-0.05330597273304752
12,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278902254
13,6,0,2,4,0,0,0,0,2,12.011,-0.05330597279436929
14,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466
15,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844
16,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505
17,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206
18,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
19,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
20,8,0,1,3,0,0,0,0,0,15.999,-0.27209175165817323
21,6,0,3,4,0,0,2,1,1,12.011,0.09450562537776531
22,8,0,1,4,0,0,0,0,1,15.999,-0.3867998196546329
23,6,0,2,3,0,0,0,0,1,12.011,-0.05804978476743241
24,6,0,2,3,0,0,0,0,1,12.011,-0.08559965834910044
25,6,0,2,4,0,0,0,0,2,12.011,-0.03149256452014667
26,6,0,2,4,0,0,0,0,2,12.011,-0.03133920790921953
27,6,0,2,3,0,0,0,0,1,12.011,-0.08530275518498322
28,6,0,3,3,0,0,0,0,0,12.011,-0.07730346706263622
29,6,0,1,4,0,0,0,0,3,12.011,-0.04393507941965198
30,6,0,2,4,0,0,0,0,2,12.011,-0.03230831558862428
31,6,0,2,4,0,0,0,0,2,12.011,-0.04956867555394438
32,6,0,2,4,0,0,0,0,2,12.011,-0.05300123307619171
33,6,0,2,4,0,0,0,0,2,12.011,-0.05329502778212664
34,6,0,2,4,0,0,0,0,2,12.011,-0.05331584589216264
35,6,0,2,4,0,0,0,0,2,12.011,-0.053568641249730285
36,6,0,2,4,0,0,0,0,2,12.011,-0.056171667057591225
37,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322278242
38,8,0,2,4,0,0,0,0,0,15.999,-0.34762035910148487
39,6,0,3,4,0,1,1,1,1,12.011,0.18623756572818648
40,6,0,3,4,0,1,2,1,1,12.011,0.1332524127837038
41,8,0,1,4,0,0,0,0,1,15.999,-0.38498534394571804
42,6,0,3,4,0,1,1,1,1,12.011,0.11334314839311219
43,8,0,1,4,0,0,0,0,1,15.999,-0.38739495524835454
44,6,0,3,4,0,1,2,1,1,12.011,0.11109641054634938
45,8,0,1,4,0,0,0,0,1,15.999,-0.3874976331817879
46,6,0,3,4,0,1,1,1,1,12.011,0.11228808949242253
47,6,0,2,4,0,0,0,0,2,12.011,0.07213220226041495
48,8,0,1,4,0,0,0,0,1,15.999,-0.393566515099624
49,8,0,2,4,0,1,0,0,0,15.999,-0.34139729329150603
