source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5207557971817174
1,0,1.0,0,0,0,0,0,1.5207557971817174
1,2,1.0,0,0,0,0,0,1.5301760651463283
2,1,1.0,0,0,0,0,0,1.5301760651463283
2,3,1.0,0,0,0,0,0,1.531766034688235
3,2,1.0,0,0,0,0,0,1.531766034688235
3,4,1.0,0,0,0,0,0,1.5327118236539525
4,3,1.0,0,0,0,0,0,1.5327118236539525
4,5,1.0,0,0,0,0,0,1.5324666024552063
5,4,1.0,0,0,0,0,0,1.5324666024552063
5,6,1.0,0,0,0,4,0,1.5037046029684038
6,5,1.0,0,0,0,4,0,1.5037046029684038
6,7,2.0,0,0,2,0,0,1.3431368270970445
7,6,2.0,0,0,2,0,0,1.3431368270970445
7,8,1.0,0,0,0,3,0,1.5032809111296566
8,7,1.0,0,0,0,3,0,1.5032809111296566
8,9,1.0,0,0,0,0,0,1.5314269213888498
9,8,1.0,0,0,0,0,0,1.5314269213888498
9,10,1.0,0,0,0,0,0,1.5322165645786838
10,9,1.0,0,0,0,0,0,1.5322165645786838
10,11,1.0,0,0,0,0,0,1.5322859088095062
11,10,1.0,0,0,0,0,0,1.5322859088095062
11,12,1.0,0,0,0,0,0,1.5323994505973797
12,11,1.0,0,0,0,0,0,1.5323994505973797
12,13,1.0,0,0,0,0,0,1.5325617983677782
13,12,1.0,0,0,0,0,0,1.5325617983677782
13,14,1.0,0,0,0,0,0,1.5283926551697529
14,13,1.0,0,0,0,0,0,1.5283926551697529
14,15,1.0,0,0,0,0,0,1.5110298434950589
15,14,1.0,0,0,0,0,0,1.5110298434950589
15,16,2.0,1,0,0,0,0,1.2228701804208364
16,15,2.0,1,0,0,0,0,1.2228701804208364
15,17,1.0,1,0,0,0,0,1.359334835245091
17,15,1.0,1,0,0,0,0,1.359334835245091
17,18,1.0,0,0,0,0,0,1.447830353205023
18,17,1.0,0,0,0,0,0,1.447830353205023
18,19,1.0,0,0,0,0,0,1.5335858698695468
19,18,1.0,0,0,0,0,0,1.5335858698695468
19,20,1.0,0,0,0,0,0,1.436444935178303
20,19,1.0,0,0,0,0,0,1.436444935178303
20,21,1.0,1,0,0,0,0,1.3624919787377965
21,20,1.0,1,0,0,0,0,1.3624919787377965
21,22,2.0,1,0,0,0,0,1.2221296662260994
22,21,2.0,1,0,0,0,0,1.2221296662260994
21,23,1.0,0,0,0,0,0,1.5090033877373612
23,21,1.0,0,0,0,0,0,1.5090033877373612
23,24,1.0,0,0,0,0,0,1.5271251242736936
24,23,1.0,0,0,0,0,0,1.5271251242736936
24,25,1.0,0,0,0,0,0,1.5311697590947002
25,24,1.0,0,0,0,0,0,1.5311697590947002
25,26,1.0,0,0,0,0,0,1.5332536292876993
26,25,1.0,0,0,0,0,0,1.5332536292876993
26,27,1.0,0,0,0,0,0,1.5326247856943642
27,26,1.0,0,0,0,0,0,1.5326247856943642
27,28,1.0,0,0,0,0,0,1.5323279369535905
28,27,1.0,0,0,0,0,0,1.5323279369535905
28,29,1.0,0,0,0,0,0,1.5324664719395495
29,28,1.0,0,0,0,0,0,1.5324664719395495
29,30,1.0,0,0,0,0,0,1.5328090225217754
30,29,1.0,0,0,0,0,0,1.5328090225217754
30,31,1.0,0,0,0,0,0,1.531107973896075
31,30,1.0,0,0,0,0,0,1.531107973896075
31,32,1.0,0,0,0,4,0,1.5028908034348234
32,31,1.0,0,0,0,4,0,1.5028908034348234
32,33,2.0,0,0,2,0,0,1.3430029573030797
33,32,2.0,0,0,2,0,0,1.3430029573030797
33,34,1.0,0,0,0,3,0,1.502890131843645
34,33,1.0,0,0,0,3,0,1.502890131843645
34,35,1.0,0,0,0,0,0,1.531560723165414
35,34,1.0,0,0,0,0,0,1.531560723165414
35,36,1.0,0,0,0,0,0,1.5336241404886155
36,35,1.0,0,0,0,0,0,1.5336241404886155
36,37,1.0,0,0,0,0,0,1.5317168139614048
37,36,1.0,0,0,0,0,0,1.5317168139614048
37,38,1.0,0,0,0,0,0,1.5320629437591633
38,37,1.0,0,0,0,0,0,1.5320629437591633
38,39,1.0,0,0,0,0,0,1.532114478447759
39,38,1.0,0,0,0,0,0,1.532114478447759
39,40,1.0,0,0,0,0,0,1.530388271687984
40,39,1.0,0,0,0,0,0,1.530388271687984
40,41,1.0,0,0,0,0,0,1.520352739741994
41,40,1.0,0,0,0,0,0,1.520352739741994
18,42,1.0,0,0,0,0,0,1.5329488892056573
42,18,1.0,0,0,0,0,0,1.5329488892056573
42,43,1.0,0,0,0,0,0,1.4197996062140863
43,42,1.0,0,0,0,0,0,1.4197996062140863
43,44,1.0,0,0,0,0,0,1.6025160838923604
44,43,1.0,0,0,0,0,0,1.6025160838923604
44,45,2.0,0,0,0,0,0,1.49255746827354
45,44,2.0,0,0,0,0,0,1.49255746827354
44,46,1.0,0,0,0,0,0,1.6015595298371887
46,44,1.0,0,0,0,0,0,1.6015595298371887
44,47,1.0,0,0,0,0,0,1.6038856194097164
47,44,1.0,0,0,0,0,0,1.6038856194097164
47,48,1.0,0,0,0,0,0,1.4211743533895078
48,47,1.0,0,0,0,0,0,1.4211743533895078
48,49,1.0,0,0,0,0,0,1.5340868675152488
49,48,1.0,0,0,0,0,0,1.5340868675152488
49,50,1.0,0,0,0,0,0,1.4846216679995359
50,49,1.0,0,0,0,0,0,1.4846216679995359
49,51,1.0,0,0,0,0,0,1.5324719759241483
51,49,1.0,0,0,0,0,0,1.5324719759241483
51,52,2.0,1,0,0,0,0,1.2230144530664013
52,51,2.0,1,0,0,0,0,1.2230144530664013
51,53,1.0,1,0,0,0,0,1.350083839844951
53,51,1.0,1,0,0,0,0,1.350083839844951
