source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5214353534177374
1,0,1.0,0,0,0,0,0,1.5214353534177374
1,2,1.0,0,0,0,0,0,1.5296960073813766
2,1,1.0,0,0,0,0,0,1.5296960073813766
2,3,1.0,0,0,0,0,0,1.5317606616443702
3,2,1.0,0,0,0,0,0,1.5317606616443702
3,4,1.0,0,0,0,0,0,1.532473842546198
4,3,1.0,0,0,0,0,0,1.532473842546198
4,5,1.0,0,0,0,4,0,1.5026109293536913
5,4,1.0,0,0,0,4,0,1.5026109293536913
5,6,2.0,0,0,2,0,0,1.3441109375637745
6,5,2.0,0,0,2,0,0,1.3441109375637745
6,7,1.0,0,0,0,3,0,1.502523428824754
7,6,1.0,0,0,0,3,0,1.502523428824754
7,8,1.0,0,0,0,4,0,1.5015542403289173
8,7,1.0,0,0,0,4,0,1.5015542403289173
8,9,2.0,0,0,2,0,0,1.343809285727165
9,8,2.0,0,0,2,0,0,1.343809285727165
9,10,1.0,0,0,0,3,0,1.5026099242355369
10,9,1.0,0,0,0,3,0,1.5026099242355369
10,11,1.0,0,0,0,4,0,1.5038010584083479
11,10,1.0,0,0,0,4,0,1.5038010584083479
11,12,2.0,0,0,2,0,0,1.344639833375526
12,11,2.0,0,0,2,0,0,1.344639833375526
12,13,1.0,0,0,0,3,0,1.5040805346126753
13,12,1.0,0,0,0,3,0,1.5040805346126753
13,14,1.0,0,0,0,0,0,1.5309859461405455
14,13,1.0,0,0,0,0,0,1.5309859461405455
14,15,1.0,0,0,0,0,0,1.5322622042144673
15,14,1.0,0,0,0,0,0,1.5322622042144673
15,16,1.0,0,0,0,0,0,1.5307516488543924
16,15,1.0,0,0,0,0,0,1.5307516488543924
16,17,1.0,0,0,0,0,0,1.534536216302019
17,16,1.0,0,0,0,0,0,1.534536216302019
17,18,1.0,0,0,0,0,0,1.526986833367153
18,17,1.0,0,0,0,0,0,1.526986833367153
18,19,1.0,0,0,0,0,0,1.5077126349086505
19,18,1.0,0,0,0,0,0,1.5077126349086505
19,20,2.0,1,0,0,0,0,1.2224165504821716
20,19,2.0,1,0,0,0,0,1.2224165504821716
19,21,1.0,1,0,0,0,0,1.3576081749874072
21,19,1.0,1,0,0,0,0,1.3576081749874072
21,22,1.0,0,0,0,0,0,1.4493960122015954
22,21,1.0,0,0,0,0,0,1.4493960122015954
22,23,1.0,0,0,0,0,0,1.5319928219226644
23,22,1.0,0,0,0,0,0,1.5319928219226644
23,24,1.0,0,0,0,0,0,1.4364457022766433
24,23,1.0,0,0,0,0,0,1.4364457022766433
24,25,1.0,1,0,0,0,0,1.3632332969165897
25,24,1.0,1,0,0,0,0,1.3632332969165897
25,26,2.0,1,0,0,0,0,1.22304916371608
26,25,2.0,1,0,0,0,0,1.22304916371608
25,27,1.0,0,0,0,0,0,1.5106709422960567
27,25,1.0,0,0,0,0,0,1.5106709422960567
27,28,1.0,0,0,0,0,0,1.528981812110337
28,27,1.0,0,0,0,0,0,1.528981812110337
28,29,1.0,0,0,0,0,0,1.5352148497250633
29,28,1.0,0,0,0,0,0,1.5352148497250633
29,30,1.0,0,0,0,0,0,1.5351991508004672
30,29,1.0,0,0,0,0,0,1.5351991508004672
30,31,1.0,0,0,0,0,0,1.5343994163696886
31,30,1.0,0,0,0,0,0,1.5343994163696886
31,32,1.0,0,0,0,0,0,1.5292734766199725
32,31,1.0,0,0,0,0,0,1.5292734766199725
32,33,1.0,0,0,0,0,0,1.530507653397975
33,32,1.0,0,0,0,0,0,1.530507653397975
33,34,1.0,0,0,0,0,0,1.533401282381226
34,33,1.0,0,0,0,0,0,1.533401282381226
34,35,1.0,0,0,0,0,0,1.531878131991271
35,34,1.0,0,0,0,0,0,1.531878131991271
35,36,1.0,0,0,0,4,0,1.5044452040227065
36,35,1.0,0,0,0,4,0,1.5044452040227065
36,37,2.0,0,0,2,0,0,1.343679353301869
37,36,2.0,0,0,2,0,0,1.343679353301869
37,38,1.0,0,0,0,3,0,1.5031702536673601
38,37,1.0,0,0,0,3,0,1.5031702536673601
38,39,1.0,0,0,0,0,0,1.5328532957989385
39,38,1.0,0,0,0,0,0,1.5328532957989385
39,40,1.0,0,0,0,0,0,1.534088932586369
40,39,1.0,0,0,0,0,0,1.534088932586369
40,41,1.0,0,0,0,0,0,1.5294093823894055
41,40,1.0,0,0,0,0,0,1.5294093823894055
41,42,1.0,0,0,0,0,0,1.5302820719160934
42,41,1.0,0,0,0,0,0,1.5302820719160934
42,43,1.0,0,0,0,0,0,1.5209076136448028
43,42,1.0,0,0,0,0,0,1.5209076136448028
22,44,1.0,0,0,0,0,0,1.5376887158163433
44,22,1.0,0,0,0,0,0,1.5376887158163433
44,45,1.0,0,0,0,0,0,1.4225303470891548
45,44,1.0,0,0,0,0,0,1.4225303470891548
45,46,1.0,0,0,0,0,0,1.6143393111420963
46,45,1.0,0,0,0,0,0,1.6143393111420963
46,47,2.0,0,0,0,0,0,1.50689486668675
47,46,2.0,0,0,0,0,0,1.50689486668675
46,48,1.0,0,0,0,0,0,1.5043007776414539
48,46,1.0,0,0,0,0,0,1.5043007776414539
46,49,1.0,0,0,0,0,0,1.6236016478765478
49,46,1.0,0,0,0,0,0,1.6236016478765478
49,50,1.0,0,0,0,0,0,1.4196702642924857
50,49,1.0,0,0,0,0,0,1.4196702642924857
50,51,1.0,0,0,0,0,0,1.5395382340658599
51,50,1.0,0,0,0,0,0,1.5395382340658599
51,52,1.0,0,0,0,0,0,1.556253804641256
52,51,1.0,0,0,0,0,0,1.556253804641256
52,53,1.0,0,0,0,0,0,1.5340540394092987
53,52,1.0,0,0,0,0,0,1.5340540394092987
52,54,1.0,0,0,0,0,0,1.5093623612043416
54,52,1.0,0,0,0,0,0,1.5093623612043416
52,55,1.0,0,0,0,0,0,1.5220956305488444
55,52,1.0,0,0,0,0,0,1.5220956305488444
