atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.065371434292695,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.055876722330081764,0.027777777777777776
2,6,0,2,4,0,0,0,0,2,12.011,-0.05008764720437865,0.05555555555555555
3,6,0,2,4,0,0,0,0,2,12.011,-0.03508353483841016,0.08333333333333333
4,6,0,2,3,0,0,0,0,1,12.011,-0.08853945726910752,0.1111111111111111
5,6,0,2,3,0,0,0,0,1,12.011,-0.08853928352510519,0.1388888888888889
6,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738986101,0.16666666666666666
7,6,0,2,4,0,0,0,0,2,12.011,-0.04982501542607562,0.19444444444444445
8,6,0,2,4,0,0,0,0,2,12.011,-0.05301084309648352,0.2222222222222222
9,6,0,2,4,0,0,0,0,2,12.011,-0.05327962203832768,0.25
10,6,0,2,4,0,0,0,0,2,12.011,-0.0527478239612063,0.2777777777777778
11,6,0,2,4,0,0,0,0,2,12.011,-0.04278333650097698,0.3055555555555556
12,6,0,2,4,0,0,0,0,2,12.011,0.045503081092636906,0.3333333333333333
13,6,0,3,3,0,0,0,0,0,12.011,0.30541557297050537,0.3611111111111111
14,8,0,1,3,0,0,0,0,0,15.999,-0.2522976415584404,0.3888888888888889
15,8,0,2,3,0,0,0,0,0,15.999,-0.46162819380772513,0.3888888888888889
16,6,0,2,4,0,0,0,0,2,12.011,0.13055430787945388,0.4166666666666667
17,6,0,3,4,0,0,2,1,1,12.011,0.15940082766407826,0.4444444444444444
18,6,0,2,4,0,0,0,0,2,12.011,0.09570182344250244,0.4722222222222222
19,8,0,2,4,0,0,0,0,0,15.999,-0.3143765704279218,0.5
20,15,0,4,4,0,0,0,1,0,30.974,0.26771287042628134,0.5277777777777778
21,8,0,1,3,0,0,0,0,0,15.999,-0.27632726281919995,0.5555555555555556
22,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385699724,0.5555555555555556
23,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532907322,0.5555555555555556
24,6,0,2,4,0,0,0,0,2,12.011,0.104284334043464,0.5833333333333334
25,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672,0.6111111111111112
26,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864,0.6388888888888888
27,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.6666666666666666
28,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.6666666666666666
29,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.6666666666666666
30,8,0,2,3,0,0,0,0,0,15.999,-0.45622082289612587,0.4722222222222222
31,6,0,3,3,0,0,0,0,0,12.011,0.3057658044200764,0.5
32,8,0,1,3,0,0,0,0,0,15.999,-0.25228433701321973,0.5277777777777778
33,6,0,2,4,0,0,0,0,2,12.011,0.04551623833314572,0.5277777777777778
34,6,0,2,4,0,0,0,0,2,12.011,-0.0427831176093492,0.5555555555555556
35,6,0,2,4,0,0,0,0,2,12.011,-0.05274782226163418,0.5833333333333334
36,6,0,2,4,0,0,0,0,2,12.011,-0.0532796220319439,0.6111111111111112
37,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096471874,0.6388888888888888
38,6,0,2,4,0,0,0,0,2,12.011,-0.04982501542606592,0.6666666666666666
39,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461364,0.6944444444444444
40,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215613828,0.7222222222222222
41,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884,0.75
42,6,0,2,4,0,0,0,0,2,12.011,-0.035073467390462444,0.7777777777777778
43,6,0,2,4,0,0,0,0,2,12.011,-0.04982501703074705,0.8055555555555556
44,6,0,2,4,0,0,0,0,2,12.011,-0.05301106352997276,0.8333333333333334
45,6,0,2,4,0,0,0,0,2,12.011,-0.053295025240741124,0.8611111111111112
46,6,0,2,4,0,0,0,0,2,12.011,-0.053305960030673456,0.8888888888888888
47,6,0,2,4,0,0,0,0,2,12.011,-0.053316030800072294,0.9166666666666666
48,6,0,2,4,0,0,0,0,2,12.011,-0.05356864271905036,0.9444444444444444
49,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063182704,0.9722222222222222
50,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
