source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,2.0,1,0,0,0,0,1.3393037427526173
1,0,2.0,1,0,0,0,0,1.3393037427526173
1,2,1.0,1,0,0,0,0,1.4790732758344132
2,1,1.0,1,0,0,0,0,1.4790732758344132
2,3,2.0,1,0,0,0,0,1.2203915850584701
3,2,2.0,1,0,0,0,0,1.2203915850584701
2,4,1.0,1,0,0,0,0,1.3518500979247707
4,2,1.0,1,0,0,0,0,1.3518500979247707
4,5,1.0,0,0,0,0,0,1.4483588569130543
5,4,1.0,0,0,0,0,0,1.4483588569130543
5,6,1.0,0,0,0,0,0,1.53457835692202
6,5,1.0,0,0,0,0,0,1.53457835692202
6,7,1.0,0,0,0,0,0,1.4409295648700595
7,6,1.0,0,0,0,0,0,1.4409295648700595
7,8,1.0,1,0,0,0,0,1.3598190308432012
8,7,1.0,1,0,0,0,0,1.3598190308432012
8,9,2.0,1,0,0,0,0,1.2234114011421564
9,8,2.0,1,0,0,0,0,1.2234114011421564
8,10,1.0,0,0,0,0,0,1.5081110998604281
10,8,1.0,0,0,0,0,0,1.5081110998604281
10,11,1.0,0,0,0,0,0,1.5258110659569695
11,10,1.0,0,0,0,0,0,1.5258110659569695
11,12,1.0,0,0,0,0,0,1.5326204286344236
12,11,1.0,0,0,0,0,0,1.5326204286344236
12,13,1.0,0,0,0,0,0,1.531859957405701
13,12,1.0,0,0,0,0,0,1.531859957405701
13,14,1.0,0,0,0,0,0,1.5316255917157604
14,13,1.0,0,0,0,0,0,1.5316255917157604
14,15,1.0,0,0,0,0,0,1.5318367352869884
15,14,1.0,0,0,0,0,0,1.5318367352869884
15,16,1.0,0,0,0,0,0,1.531940036609464
16,15,1.0,0,0,0,0,0,1.531940036609464
16,17,1.0,0,0,0,0,0,1.5323240462414471
17,16,1.0,0,0,0,0,0,1.5323240462414471
17,18,1.0,0,0,0,0,0,1.532065383683809
18,17,1.0,0,0,0,0,0,1.532065383683809
18,19,1.0,0,0,0,0,0,1.5315951890659731
19,18,1.0,0,0,0,0,0,1.5315951890659731
19,20,1.0,0,0,0,0,0,1.5315471775255078
20,19,1.0,0,0,0,0,0,1.5315471775255078
20,21,1.0,0,0,0,0,0,1.5302556093326989
21,20,1.0,0,0,0,0,0,1.5302556093326989
21,22,1.0,0,0,0,0,0,1.520800996584949
22,21,1.0,0,0,0,0,0,1.520800996584949
5,23,1.0,0,0,0,0,0,1.5304359090326287
23,5,1.0,0,0,0,0,0,1.5304359090326287
23,24,1.0,0,0,0,0,0,1.4192912640110786
24,23,1.0,0,0,0,0,0,1.4192912640110786
24,25,1.0,0,0,0,0,0,1.6141223428571796
25,24,1.0,0,0,0,0,0,1.6141223428571796
25,26,2.0,0,0,0,0,0,1.5048007961271888
26,25,2.0,0,0,0,0,0,1.5048007961271888
25,27,1.0,0,0,0,0,0,1.5050008600548892
27,25,1.0,0,0,0,0,0,1.5050008600548892
25,28,1.0,0,0,0,0,0,1.6255682621098049
28,25,1.0,0,0,0,0,0,1.6255682621098049
28,29,1.0,0,0,0,0,0,1.4153198657415105
29,28,1.0,0,0,0,0,0,1.4153198657415105
29,30,1.0,0,0,0,0,0,1.5354093773006754
30,29,1.0,0,0,0,0,0,1.5354093773006754
30,31,1.0,0,0,0,0,0,1.5536385673325674
31,30,1.0,0,0,0,0,0,1.5536385673325674
31,32,1.0,0,0,0,0,0,1.5258119477153804
32,31,1.0,0,0,0,0,0,1.5258119477153804
31,33,1.0,0,0,0,0,0,1.5206383330679962
33,31,1.0,0,0,0,0,0,1.5206383330679962
31,34,1.0,0,0,0,0,0,1.5202992901941355
34,31,1.0,0,0,0,0,0,1.5202992901941355
