atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,4,0,0,2,1,1,12.011,0.15953034100268254
1,6,0,2,4,0,0,0,0,2,12.011,0.09906639178516113
2,8,0,2,4,0,0,0,0,0,15.999,-0.28295178197940385
3,15,0,4,4,0,0,0,1,0,30.974,0.47185923902497584
4,8,0,1,3,0,0,0,0,0,15.999,-0.22811573216615202
5,8,0,1,4,0,0,0,0,1,15.999,-0.302493280978392
6,8,0,2,4,0,0,0,0,0,15.999,-0.2856744169745546
7,6,0,2,4,0,0,0,0,2,12.011,0.0708092457307307
8,6,0,2,4,0,0,0,0,2,12.011,0.01655901295458745
9,7,0,1,4,0,0,0,0,2,14.007,-0.32823384187988364
10,8,0,2,3,0,0,0,0,0,15.999,-0.45621842036133037
11,6,0,3,3,0,0,0,0,0,12.011,0.30576582160090876
12,6,0,2,4,0,0,0,0,2,12.011,0.04551623840167549
13,6,0,2,4,0,0,0,0,2,12.011,-0.04278311907919144
14,6,0,2,4,0,0,0,0,2,12.011,-0.05274800728803722
15,6,0,2,4,0,0,0,0,2,12.011,-0.05329056948500983
16,6,0,2,4,0,0,0,0,2,12.011,-0.05330556732837011
17,6,0,2,4,0,0,0,0,2,12.011,-0.05329502225950563
18,6,0,2,4,0,0,0,0,2,12.011,-0.05301106351887899
19,6,0,2,4,0,0,0,0,2,12.011,-0.04982501703072693
20,6,0,2,4,0,0,0,0,2,12.011,-0.03507346739046242
21,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884
22,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884
23,6,0,2,4,0,0,0,0,2,12.011,-0.035073467390462444
24,6,0,2,4,0,0,0,0,2,12.011,-0.04982501703073741
25,6,0,2,4,0,0,0,0,2,12.011,-0.05301106352472871
26,6,0,2,4,0,0,0,0,2,12.011,-0.05329502386927587
27,6,0,2,4,0,0,0,0,2,12.011,-0.053305789133364485
28,6,0,2,4,0,0,0,0,2,12.011,-0.05330614359336111
29,6,0,2,4,0,0,0,0,2,12.011,-0.053316032264262195
30,6,0,2,4,0,0,0,0,2,12.011,-0.05356864272463295
31,6,0,2,4,0,0,0,0,2,12.011,-0.05617166706319294
32,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
33,8,0,1,3,0,0,0,0,0,15.999,-0.25228433694092306
34,6,0,2,4,0,0,0,0,2,12.011,0.1305566763231715
35,8,0,2,3,0,0,0,0,0,15.999,-0.46162817343596224
36,6,0,3,3,0,0,0,0,0,12.011,0.3054155730404699
37,6,0,2,4,0,0,0,0,2,12.011,0.04550308108716672
38,6,0,2,4,0,0,0,0,2,12.011,-0.04278333797097062
39,6,0,2,4,0,0,0,0,2,12.011,-0.052748008993202346
40,6,0,2,4,0,0,0,0,2,12.011,-0.0532905709611763
41,6,0,2,4,0,0,0,0,2,12.011,-0.053305752360851666
42,6,0,2,4,0,0,0,0,2,12.011,-0.053305971184608794
43,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278852935
44,6,0,2,4,0,0,0,0,2,12.011,-0.053305974165824194
45,6,0,2,4,0,0,0,0,2,12.011,-0.05330614506314383
46,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505
47,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206
48,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
49,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
50,8,0,1,3,0,0,0,0,0,15.999,-0.25229764155829826
