source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5212494178485618
1,0,1.0,0,0,0,0,0,1.5212494178485618
1,2,1.0,0,0,0,0,0,1.529668739857391
2,1,1.0,0,0,0,0,0,1.529668739857391
2,3,1.0,0,0,0,0,0,1.5320299354900775
3,2,1.0,0,0,0,0,0,1.5320299354900775
3,4,1.0,0,0,0,0,0,1.530956974844802
4,3,1.0,0,0,0,0,0,1.530956974844802
4,5,1.0,0,0,0,4,0,1.502880732422668
5,4,1.0,0,0,0,4,0,1.502880732422668
5,6,2.0,0,0,2,0,0,1.3435430042532712
6,5,2.0,0,0,2,0,0,1.3435430042532712
6,7,1.0,0,0,0,3,0,1.5012141763370361
7,6,1.0,0,0,0,3,0,1.5012141763370361
7,8,1.0,0,0,0,4,0,1.5023158585014968
8,7,1.0,0,0,0,4,0,1.5023158585014968
8,9,2.0,0,0,2,0,0,1.344319556425258
9,8,2.0,0,0,2,0,0,1.344319556425258
9,10,1.0,0,0,0,3,0,1.5014711948392725
10,9,1.0,0,0,0,3,0,1.5014711948392725
10,11,1.0,0,0,0,4,0,1.5038605939697847
11,10,1.0,0,0,0,4,0,1.5038605939697847
11,12,2.0,0,0,2,0,0,1.343674680204302
12,11,2.0,0,0,2,0,0,1.343674680204302
12,13,1.0,0,0,0,3,0,1.5027325596255128
13,12,1.0,0,0,0,3,0,1.5027325596255128
13,14,1.0,0,0,0,0,0,1.5324572677084844
14,13,1.0,0,0,0,0,0,1.5324572677084844
14,15,1.0,0,0,0,0,0,1.5321704252722672
15,14,1.0,0,0,0,0,0,1.5321704252722672
15,16,1.0,0,0,0,0,0,1.5275349532063278
16,15,1.0,0,0,0,0,0,1.5275349532063278
16,17,1.0,0,0,0,0,0,1.5097579467818825
17,16,1.0,0,0,0,0,0,1.5097579467818825
17,18,2.0,1,0,0,0,0,1.2247415413544478
18,17,2.0,1,0,0,0,0,1.2247415413544478
