atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,2,4,0,0,0,0,2,12.011,0.07300069865037583
1,6,0,3,4,0,0,2,1,1,12.011,0.08187223632872352
2,7,0,2,3,0,0,0,0,1,14.007,-0.3458387780400951
3,6,0,3,3,0,0,0,0,0,12.011,0.2487380007583527
4,6,0,3,4,0,0,2,1,1,12.011,0.1323307868428338
5,8,0,1,4,0,0,0,0,1,15.999,-0.38327715798498846
6,6,0,2,4,0,0,0,0,2,12.011,-0.017869911128735733
7,6,0,2,4,0,0,0,0,2,12.011,-0.05032307454074992
8,6,0,2,4,0,0,0,0,2,12.011,-0.05319577088522712
9,6,0,2,4,0,0,0,0,2,12.011,-0.05330411483708255
10,6,0,2,4,0,0,0,0,2,12.011,-0.05330595804691169
11,6,0,2,4,0,0,0,0,2,12.011,-0.053305972733047505
12,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278901289
13,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278911561
14,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157
15,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157
16,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157
17,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278911572
18,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278912536
19,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694
20,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466
21,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844
22,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505
23,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206
24,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
25,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
26,8,0,1,3,0,0,0,0,0,15.999,-0.27209175165817323
27,6,0,3,4,0,0,2,1,1,12.011,0.09450562537776531
28,8,0,1,4,0,0,0,0,1,15.999,-0.3867998196546329
29,6,0,2,3,0,0,0,0,1,12.011,-0.05804978476743241
30,6,0,2,3,0,0,0,0,1,12.011,-0.08559965834910044
31,6,0,2,4,0,0,0,0,2,12.011,-0.03149256452014667
32,6,0,2,4,0,0,0,0,2,12.011,-0.03133920790921953
33,6,0,2,3,0,0,0,0,1,12.011,-0.08530275518498322
34,6,0,3,3,0,0,0,0,0,12.011,-0.07730346706263617
35,6,0,1,4,0,0,0,0,3,12.011,-0.04393507941965198
36,6,0,2,4,0,0,0,0,2,12.011,-0.03230831558861461
37,6,0,2,4,0,0,0,0,2,12.011,-0.04956867554869974
38,6,0,2,4,0,0,0,0,2,12.011,-0.05300123170472372
39,6,0,2,4,0,0,0,0,2,12.011,-0.053294856884832306
40,6,0,2,4,0,0,0,0,2,12.011,-0.05330595868546559
41,6,0,2,4,0,0,0,0,2,12.011,-0.05331603079493928
42,6,0,2,4,0,0,0,0,2,12.011,-0.05356864271904094
43,6,0,2,4,0,0,0,0,2,12.011,-0.05617166706318269
44,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
45,8,0,2,4,0,0,0,0,0,15.999,-0.34762035910148487
46,6,0,3,4,0,1,1,1,1,12.011,0.18623756572818648
47,6,0,3,4,0,1,2,1,1,12.011,0.1332524127837038
48,8,0,1,4,0,0,0,0,1,15.999,-0.38498534394571804
49,6,0,3,4,0,1,1,1,1,12.011,0.11334314839311219
50,8,0,1,4,0,0,0,0,1,15.999,-0.38739495524835454
51,6,0,3,4,0,1,2,1,1,12.011,0.11109641054634938
52,8,0,1,4,0,0,0,0,1,15.999,-0.3874976331817879
53,6,0,3,4,0,1,1,1,1,12.011,0.11228808949242253
54,6,0,2,4,0,0,0,0,2,12.011,0.07213220226041495
55,8,0,1,4,0,0,0,0,1,15.999,-0.393566515099624
56,8,0,2,4,0,1,0,0,0,15.999,-0.34139729329150603
