source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5201514842429993
1,0,1.0,0,0,0,0,0,1.5201514842429993
1,2,1.0,0,0,0,0,0,1.53050500631741
2,1,1.0,0,0,0,0,0,1.53050500631741
2,3,1.0,0,0,0,0,0,1.5315007589073333
3,2,1.0,0,0,0,0,0,1.5315007589073333
3,4,1.0,0,0,0,4,0,1.5028848216099981
4,3,1.0,0,0,0,4,0,1.5028848216099981
4,5,2.0,0,0,2,0,0,1.3437687335191824
5,4,2.0,0,0,2,0,0,1.3437687335191824
5,6,1.0,0,0,0,3,0,1.5024364960528493
6,5,1.0,0,0,0,3,0,1.5024364960528493
6,7,1.0,0,0,0,4,0,1.5031254478750886
7,6,1.0,0,0,0,4,0,1.5031254478750886
7,8,2.0,0,0,2,0,0,1.3440410029537593
8,7,2.0,0,0,2,0,0,1.3440410029537593
8,9,1.0,0,0,0,3,0,1.5028267728964217
9,8,1.0,0,0,0,3,0,1.5028267728964217
9,10,1.0,0,0,0,0,0,1.5311523394552828
10,9,1.0,0,0,0,0,0,1.5311523394552828
10,11,1.0,0,0,0,0,0,1.5325247516760965
11,10,1.0,0,0,0,0,0,1.5325247516760965
11,12,1.0,0,0,0,0,0,1.5311458940530278
12,11,1.0,0,0,0,0,0,1.5311458940530278
12,13,1.0,0,0,0,0,0,1.5322860263228661
13,12,1.0,0,0,0,0,0,1.5322860263228661
13,14,1.0,0,0,0,0,0,1.5311919523626931
14,13,1.0,0,0,0,0,0,1.5311919523626931
14,15,1.0,0,0,0,0,0,1.5271436655946224
15,14,1.0,0,0,0,0,0,1.5271436655946224
15,16,1.0,0,0,0,0,0,1.5088005671189997
16,15,1.0,0,0,0,0,0,1.5088005671189997
16,17,2.0,1,0,0,0,0,1.222969670403706
17,16,2.0,1,0,0,0,0,1.222969670403706
16,18,1.0,1,0,0,0,0,1.3591248197827657
18,16,1.0,1,0,0,0,0,1.3591248197827657
18,19,1.0,0,0,0,0,0,1.4384089576557442
19,18,1.0,0,0,0,0,0,1.4384089576557442
19,20,1.0,0,0,0,0,0,1.5357632325993533
20,19,1.0,0,0,0,0,0,1.5357632325993533
20,21,1.0,0,0,0,0,0,1.5324004737474277
21,20,1.0,0,0,0,0,0,1.5324004737474277
21,22,1.0,0,0,0,0,0,1.4186243159958059
22,21,1.0,0,0,0,0,0,1.4186243159958059
22,23,1.0,0,0,0,0,0,1.617005620998075
23,22,1.0,0,0,0,0,0,1.617005620998075
23,24,2.0,0,0,0,0,0,1.5034547111179721
24,23,2.0,0,0,0,0,0,1.5034547111179721
23,25,1.0,0,0,0,0,0,1.504974595262951
25,23,1.0,0,0,0,0,0,1.504974595262951
23,26,1.0,0,0,0,0,0,1.6259284102467084
26,23,1.0,0,0,0,0,0,1.6259284102467084
26,27,1.0,0,0,0,0,0,1.4133930917271684
27,26,1.0,0,0,0,0,0,1.4133930917271684
27,28,1.0,0,0,0,0,0,1.535327189003633
28,27,1.0,0,0,0,0,0,1.535327189003633
28,29,1.0,0,0,0,0,0,1.5561014120246655
29,28,1.0,0,0,0,0,0,1.5561014120246655
29,30,1.0,0,0,0,0,0,1.5181650158909075
